FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,design_pressure,thickness,K_material,fatigue_limit,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_repair,K_total,0243_low_total_cycles,0243_high_total_cycles,0243_low_fatigue_damage,0243_high_fatigue_damage,0243_D_base,0243_D_final_org,0243_D_final,0243_remaining_life_years,0461_low_total_cycles,0461_high_total_cycles,0461_low_fatigue_damage,0461_high_fatigue_damage,0461_D_base,0461_D_final_org,0461_D_final,0461_remaining_life_years,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final_org,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final_org,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final_org,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final_org,0520_D_final,0520_remaining_life_years
SA002,313693,2723061000,35803035,54000,1,50,48,,0,0,2005060000000.0,1,,313693,SA006,,246261,B,240,520,P0,0,,STS,2005-06-30,,2005-06-30,7370.0,20.177960301163587,2.0,2.8,0.7,1000000,0.9653426409720027,1.4035592060232718,1.0,1.0,1.05,17.857142857142858,2.585714285714286,0.0,2.5750170041111895,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.014701802083272425,0.014701802083272425,67.01887240325394,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.008355930178340808,0.008355930178340808,118.67548539264656,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.013319146702914923,0.013319146702914923,74.07988479330646,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.012671787428081368,0.012671787428081368,77.91546521558165,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.012686207523304393,0.012686207523304393,77.8257639773757,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.010730224606981533,0.010730224606981533,92.19469411193482
SA002,468355,2723061000,35803035,54000,1,13,12,,0,0,2020110000000.0,1,13-20,468355,SA006,,335451,B,240,520,P0,0,,STS,2020-12-01,,2020-12-01,1737.0,4.75564681724846,2.0,1.74,0.7,1000000,0.8979889585736722,1.0951129363449692,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.0,1.118260674071583,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.006384597492544296,0.006384597492544296,155.62694495115224,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.0036287558873622865,0.0036287558873622865,274.57654222006425,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.00578414742360156,0.00578414742360156,171.88632649984214,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.005503016690139964,0.005503016690139964,180.71851119255209,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.005509278949914765,0.005509278949914765,180.51195629973884,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.0046598481418899905,0.0046598481418899905,213.59926794833476
SA002,177575,2723063100,35803045,54000,1,13,12,,0,0,1800010000000.0,1,,177575,SA006,,94923,B,243,520,P0,0,,STS,1992-10-18,,1992-10-18,12008.0,32.876112251882276,2.0,1.74,0.7,1000000,0.8979889585736722,1.6575222450376454,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.3083,2.2143733706155264,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009663489507140783,0.012642743322192286,78.09675728721488,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005492350063171583,0.007185641587647383,138.16641789079344,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.008754670596071452,0.01145373554084028,86.30776054976357,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.008329161564983211,0.010897042075467536,90.76802228297308,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.00833863988866696,0.010909442566342983,90.66371186417234,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.007052972983278629,0.00922740455402343,107.37283595244229
SA002,72641,2723063100,35803045,54000,1,13,15,,0,0,1800010000000.0,1,,72641,SA006,,101572,B,243,520,P0,0,,STS,1992-10-12,,1992-10-12,12014.0,32.89253935660506,2.0,1.74,0.7,1000000,0.8979889585736722,1.6578507871321013,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.1673,1.976114334216959,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009665404934274226,0.011282427179778304,87.6334105299893,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005493438717154142,0.006412491014534031,154.94563762093097,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.008756405883680724,0.01022135258802051,96.83441001458128,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.008330812511263913,0.009724557444398365,101.8324430924134,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.008340292713672561,0.009735623684669981,101.71555602283924,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.007054370972670932,0.008234567236398779,120.43929016448588
SA002,106784,2723063100,35803045,54000,1,13,8,,0,0,1800010000000.0,1,,106784,SA006,,47997,B,243,520,P0,0,,STS,1992-10-18,,1992-10-18,12008.0,32.876112251882276,2.0,1.74,0.7,1000000,0.8979889585736722,1.6575222450376454,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.1738,1.9867243464255178,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009663489507140783,0.01134300398348185,87.16006777889183,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005492350063171583,0.0064469205041508045,154.11281694200463,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.008754670596071452,0.01027623234566867,96.31192973867412,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.008329161564983211,0.009776769844977294,101.28327104516414,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.00833863988866696,0.009787895501317277,101.1670082057392,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.007052972983278629,0.008278779687772454,119.79074908551733
SA002,177143,2723063100,35803045,54000,1,13,5,,0,0,1800010000000.0,1,,177143,SA006,,88251,B,243,520,P0,0,,STS,1994-03-12,,1994-03-12,11498.0,31.479808350444902,2.0,1.74,0.7,1000000,0.8979889585736722,1.629596167008898,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.0248,1.705309668297552,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009500678200798246,0.009736295020178042,101.70847359571009,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005399814474654133,0.005533729873625555,179.70994118562317,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.008607171149283444,0.008820628993785672,112.37059984095488,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.008188831131123798,0.008391914143175668,118.16232494027639,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.008198149763190998,0.008401463877318134,118.02687610188406,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.006934143884932977,0.007106110653279314,139.72395559144888
SA002,72640,2723063100,35803045,54000,1,13,15,,0,0,1800010000000.0,1,,72640,SA006,,81675,B,243,520,P0,0,,STS,1992-09-29,,1992-09-29,12027.0,32.92813141683778,2.0,1.74,0.7,1000000,0.8979889585736722,1.6585626283367556,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.1338,1.9202265542663954,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009669555026396682,0.010963341488928557,90.21306683823178,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005495797467449685,0.006231135168594452,159.48440178927598,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.00876016567350081,0.009932275840615217,99.6818594295161,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.00833438956153876,0.009449530884872645,104.8253591827355,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.008343873834518026,0.009460284153576538,104.70507014019677,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.007057399949687585,0.008001680062955784,123.97375452807152
SA002,106782,2723063100,35803045,54000,1,13,10,,0,0,1800010000000.0,1,,106782,SA006,,88259,B,243,520,P0,0,,STS,1992-09-29,,1992-09-29,12027.0,32.92813141683778,2.0,1.74,0.7,1000000,0.8979889585736722,1.6585626283367556,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.0606,1.7962535574659897,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009669555026396682,0.010255530060996321,96.50836807579405,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005495797467449685,0.005828842793977136,170.56063996669914,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.00876016567350081,0.009291031713314959,106.63067341239423,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.00833438956153876,0.008839453568968009,112.12916485139118,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.008343873834518026,0.00884951258888982,112.00057375537912,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.007057399949687585,0.0074850783866386526,132.59913528561898
SA002,72643,2723063100,35803045,54000,1,13,10,,0,0,1800010000000.0,1,,72643,SA006,,156485,B,243,520,P0,0,,STS,1992-05-06,,1992-05-06,12173.0,33.327857631759066,2.0,1.74,0.7,1000000,0.8979889585736722,1.6665571526351814,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.1341,1.9299928736170806,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.00971616375331043,0.01101910131262936,89.7515024708836,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.0055222880476919365,0.0062628268748874255,158.6723045322844,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.008802391005326399,0.009982791639140669,99.17238024674242,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.008374562587702436,0.009497591430713334,104.2898524110226,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.00838409257632095,0.00950839939080559,104.17017206565572,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.0070914176915669305,0.008042376804006057,123.34135136541742
SA002,72644,2723063100,35803045,54000,1,13,18,,0,0,1800010000000.0,1,,72644,SA006,,110348,B,243,520,P0,0,,STS,1991-06-22,,1991-06-22,12492.0,34.20123203285421,2.0,1.74,0.7,1000000,0.8979889585736722,1.6840246406570842,1.0,1.0,1.05,7.471264367816092,1.547126436781609,0.109,1.9070590075709173,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.009818000629238408,0.010888162697825395,90.84285978751235,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.005580168151097949,0.006188406479567626,160.59248803415196,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.00889465046321929,0.009864167363710192,100.37703093714255,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.008462337898292932,0.009384732729206861,105.5560446796564,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.008471967772451993,0.009395412259649261,105.43492508516395,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.007165744127590975,0.007946810237498391,124.8366527089483
