FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,design_pressure,thickness,K_material,fatigue_limit,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_total,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final,0520_remaining_life_years
SA001,71585,2723061000,35803034,54000,12,700,414.06,,0,0,20119006912.0,1,700-ST-86,IQT903,71585,SA003,,B,230,519,S0,1.2,SS00201,ST,2.0,19.8,0.9,1000000,1986-01-01,1986-01-01,1986-01-01,14474.0,39.62765229295003,1.0972955074527657,1.7925530458590007,1.3,1.6,1.05,35.35353535353535,4.335353535353535,16.76159255884284,55062.62286105407,1499094.2724161532,0.0013895,0.00378295,0.00517245,0.08669849943098665,10.534225004620934,56588.28747433265,1384213.708418891,0.001428,0.00349305,0.00492105,0.08248463506169355,11.123470016592302,53774.724161533195,1414568.490075291,0.001357,0.00356965,0.00492665,0.08257849998002308,11.109689571037428,51615.01711156742,1135153.9137577002,0.0013025,0.0028645500000000004,0.00416705,0.06984639427232606,13.317131333953647
SA001,261304,2723061000,35803035,54000,4,250,8.0,,0,0,2002200000000.0,1,250-DTC-02,IQT903,261304,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,6.8,1.0,1000000,2002-10-14,2002-10-14,2002-10-14,8344.0,22.844626967830255,1.0458145365937077,1.456892539356605,1.0,1.0,1.05,18.38235294117647,4.476470588235294,7.161553290030165,31742.60917180014,864200.8158795346,0.0013895,0.00378295,0.00517245,0.037042776315016526,25.995816714596973,32622.127310061605,797974.2422997947,0.001428,0.00349305,0.00492105,0.03524236181790294,27.37494277957288,31000.158795345655,815473.2265571527,0.001357,0.00356965,0.00492665,0.03528246651632711,27.342689690848164,29755.126625598907,654395.7618069815,0.0013025,0.0028645499999999996,0.004167049999999999,0.029842550637220196,32.509200073293364
SA001,53635,2723061000,35803035,54000,4,400,36.0,,0,0,20119006912.0,1,400-DTC-94,IQT903,53635,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,8.6,1.0,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.0,1.05,23.255813953488374,5.451162790697675,9.991974035959531,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.05168298610229888,18.34872721983685,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.049171003829658645,19.33718903653593,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.04922695888426003,19.314072261728583,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.041637055406545165,23.017068215702984
SA001,192893,2723061000,35803035,54000,4,150,18.0,,0,0,2002200000000.0,1,150-DTC-02,IQT903,192893,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,6.0,1.0,1000000,2002-10-14,2002-10-14,2002-10-14,8344.0,22.844626967830255,1.0202732554054081,1.456892539356605,1.0,1.0,1.05,12.5,3.3000000000000003,5.15047473138157,31742.60917180014,864200.8158795346,0.0013895,0.00378295,0.00517245,0.026640573024334605,36.53673012538275,32622.127310061605,797974.2422997947,0.001428,0.00349305,0.00492105,0.025345743676865276,38.454356232315476,31000.158795345655,815473.2265571527,0.001357,0.00356965,0.00492665,0.025374586335361014,38.40950945105417,29755.126625598907,654395.7618069815,0.0013025,0.0028645499999999996,0.004167049999999999,0.02146228572940357,45.593359747791865
SA001,39095,2723061000,35803035,54000,4,400,28.41,,0,0,20119006912.0,1,400-DTC-94,IQT903,39095,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,8.6,1.0,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.0,1.05,23.255813953488374,5.451162790697675,9.991974035959531,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.05168298610229888,18.34872721983685,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.049171003829658645,19.33718903653593,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.04922695888426003,19.314072261728583,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.041637055406545165,23.017068215702984
SA001,146477,2723061000,35803035,54000,4,400,10.45,,0,0,20119006912.0,1,400-DTC-94,IQT903,146477,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,8.6,1.0,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.0,1.05,23.255813953488374,5.451162790697675,9.991974035959531,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.05168298610229888,18.34872721983685,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.049171003829658645,19.33718903653593,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.04922695888426003,19.314072261728583,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.041637055406545165,23.017068215702984
SA001,212550,2723061000,35803035,54000,4,400,109.12,,0,0,20119006912.0,1,400-DTC-94,IQT903,212550,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,8.6,1.0,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.0,1.05,23.255813953488374,5.451162790697675,9.991974035959531,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.05168298610229888,18.34872721983685,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.049171003829658645,19.33718903653593,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.04922695888426003,19.314072261728583,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.041637055406545165,23.017068215702984
SA001,246575,2723061000,35803035,54000,4,400,6.0,,0,0,20119006912.0,1,400-DTC-94,IQT903,246575,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,8.6,1.0,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.6,1.05,23.255813953488374,5.451162790697675,15.987158457535251,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.08269277776367821,11.09295451239803,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.07867360612745385,11.710743147834954,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.07876313421481605,11.696295163580363,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.06661928865047227,14.010667634814363
SA001,245698,2723061000,35803035,54000,12,400,3.0,,0,0,20119006912.0,1,400-ST-94,IQT903,245698,SA005,,B,240,520,P0,1.2,SS00201,ST,2.0,12.7,0.9,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.0,1.05,31.496062992125985,3.949606299212599,6.515660712831002,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.03370192925408272,28.671891851083213,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.032063892150877,30.18772965223588,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.03210037985086886,30.152279338929162,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.027151083973402428,35.83094203456531
SA001,144225,2723061000,35803035,54000,4,400,14.64,,0,0,20119006912.0,1,400-DTC-94,IQT903,144225,SA005,,B,240,520,P0,1.2,SS00201,DTC,1.0,8.6,1.0,1000000,1994-01-01,1994-01-01,1994-01-01,11552.0,31.627652292950035,1.0693147180559945,1.6325530458590007,1.0,1.0,1.05,23.255813953488374,5.451162790697675,9.991974035959531,43946.62286105407,1196458.2724161535,0.0013895,0.00378295,0.00517245,0.05168298610229888,18.34872721983685,45164.287474332654,1104769.7084188913,0.001428,0.00349305,0.00492105,0.049171003829658645,19.33718903653593,42918.724161533195,1128996.490075291,0.001357,0.00356965,0.00492665,0.04922695888426003,19.314072261728583,41195.017111567424,905989.9137577002,0.0013025,0.00286455,0.00416705,0.041637055406545165,23.017068215702984
