FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,design_pressure,thickness,K_material,fatigue_limit,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_total,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final,0520_remaining_life_years
SA002,313693,2723061000,35803035,54000,1,50,48,,0,0,2005060000000.0,1,,313693,SA006,,246261,B,240,520,P0,0,,STS,2.0,2.8,0.7,1000000,2005-06-30,,2005-06-30,7354.0,20.134154688569474,0.9653426409720027,1.4026830937713894,1.0,1.0,1.05,17.857142857142858,2.585714285714286,2.5734096590583935,27976.407939767283,761665.0047912389,0.0013895,0.00378295,0.00517245,0.013310832790996588,74.12677949620083,28751.572895277208,703296.090349076,0.001428,0.00349305,0.00492105,0.012663877602709307,77.9647556121405,27322.047912388774,718718.8528405202,0.001357,0.00356965,0.00492665,0.012678288696800035,77.87499834677193,26224.73648186174,576752.9281314169,0.0013025,0.0028645500000000004,0.00416705,0.010723526719779278,92.25290327812816
SA002,468355,2723061000,35803035,54000,1,13,12,,0,0,2020110000000.0,1,13-20,468355,SA006,,335451,B,240,520,P0,0,,STS,2.0,1.74,0.7,1000000,2020-12-01,,2020-12-01,1721.0,4.7118412046543465,0.8979889585736722,1.0942368240930869,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.117366043166553,6547.1033538672145,178246.5968514716,0.0013895,0.00378295,0.00517245,0.005779519989976838,172.02474976023183,6728.509240246407,164586.96919917865,0.001428,0.00349305,0.00492105,0.005498614166724766,180.86400603475096,6393.968514715948,168196.2395619439,0.001357,0.00356965,0.00492665,0.005504871416566499,180.6572857615847,6137.173169062286,134973.0472279261,0.0013025,0.00286455,0.00416705,0.004656120170177185,213.7710891151561
SA002,177575,2723063100,35803045,54000,1,13,12,,0,0,1800010000000.0,1,,177575,SA006,,94923,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-10-18,,1992-10-18,11992.0,32.832306639288156,0.8979889585736722,1.6566461327857631,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6916631697641797,45620.490075290894,1242029.7440109514,0.0013895,0.00378295,0.00517245,0.008750043162446732,113.28515053408888,46884.53388090349,1146848.8870636548,0.001428,0.00349305,0.00492105,0.008324759041568016,119.12359697220069,44553.44010951403,1171998.4339493497,0.001357,0.00356965,0.00492665,0.008334232355318697,118.98705547989974,42764.079397672824,940497.8398357289,0.0013025,0.00286455,0.00416705,0.0070492450115658255,140.859163408178
SA002,72641,2723063100,35803045,54000,1,13,15,,0,0,1800010000000.0,1,,72641,SA006,,101572,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-10-12,,1992-10-12,11998.0,32.84873374401095,0.8979889585736722,1.656974674880219,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6919986563535656,45643.31553730321,1242651.1731690622,0.0013895,0.00378295,0.00517245,0.008751778450056001,113.26249027060335,46907.99178644764,1147422.6940451744,0.001428,0.00349305,0.00492105,0.008326409987848714,119.09977907157668,44575.73169062286,1172584.8240930869,0.001357,0.00356965,0.00492665,0.008335885180324295,118.96326465248848,42785.475701574265,940968.4024640657,0.0013025,0.00286455,0.00416705,0.007050643000958126,140.83103581674862
SA002,106784,2723063100,35803045,54000,1,13,8,,0,0,1800010000000.0,1,,106784,SA006,,47997,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-10-18,,1992-10-18,11992.0,32.832306639288156,0.8979889585736722,1.6566461327857631,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6916631697641797,45620.490075290894,1242029.7440109514,0.0013895,0.00378295,0.00517245,0.008750043162446732,113.28515053408888,46884.53388090349,1146848.8870636548,0.001428,0.00349305,0.00492105,0.008324759041568016,119.12359697220069,44553.44010951403,1171998.4339493497,0.001357,0.00356965,0.00492665,0.008334232355318697,118.98705547989974,42764.079397672824,940497.8398357289,0.0013025,0.00286455,0.00416705,0.0070492450115658255,140.859163408178
SA002,177143,2723063100,35803045,54000,1,13,5,,0,0,1800010000000.0,1,,177143,SA006,,88251,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1994-03-12,,1994-03-12,11482.0,31.43600273785079,0.8979889585736722,1.6287200547570158,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6631468096663518,43680.32580424367,1189208.2655715265,0.0013895,0.00378295,0.00517245,0.008602543715658722,115.24468681045546,44890.61190965093,1098075.2936344969,0.001428,0.00349305,0.00492105,0.0081844286077086,121.18323940881326,42658.65571526352,1122155.2717316907,0.001357,0.00356965,0.00492665,0.008193742229842732,121.04435677239918,40945.393566050654,900500.0164271047,0.0013025,0.00286455,0.00416705,0.006930415913220172,143.29148445368796
SA002,72640,2723063100,35803045,54000,1,13,15,,0,0,1800010000000.0,1,,72640,SA006,,81675,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-09-29,,1992-09-29,12011.0,32.884325804243666,0.8979889585736722,1.6576865160848735,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6927255439639024,45692.770704996576,1243997.6030116358,0.0013895,0.00378295,0.00517245,0.008755538239876088,113.21342384704752,46958.817248459956,1148665.9425051333,0.001428,0.00349305,0.00492105,0.008329987038123562,119.0482060084049,44624.030116358656,1173855.336071184,0.001357,0.00356965,0.00492665,0.00833946630116976,118.91175021112947,42831.83436002737,941987.954825462,0.0013025,0.00286455,0.00416705,0.00705367197797478,140.77013095059115
SA002,106782,2723063100,35803045,54000,1,13,10,,0,0,1800010000000.0,1,,106782,SA006,,88259,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-09-29,,1992-09-29,12011.0,32.884325804243666,0.8979889585736722,1.6576865160848735,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.6927255439639024,45692.770704996576,1243997.6030116358,0.0013895,0.00378295,0.00517245,0.008755538239876088,113.21342384704752,46958.817248459956,1148665.9425051333,0.001428,0.00349305,0.00492105,0.008329987038123562,119.0482060084049,44624.030116358656,1173855.336071184,0.001357,0.00356965,0.00492665,0.00833946630116976,118.91175021112947,42831.83436002737,941987.954825462,0.0013025,0.00286455,0.00416705,0.00705367197797478,140.77013095059115
SA002,72643,2723063100,35803045,54000,1,13,10,,0,0,1800010000000.0,1,,72643,SA006,,156485,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1992-05-06,,1992-05-06,12157.0,33.28405201916495,0.8979889585736722,1.6656810403832991,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.7008890509723005,46248.1902806297,1259119.0458590006,0.0013895,0.00378295,0.00517245,0.008797763571701676,112.6652504753067,47529.62628336755,1162628.5790554413,0.001428,0.00349305,0.00492105,0.008370160064287238,118.47202829091358,45166.45859000684,1188124.1629021217,0.001357,0.00356965,0.00492665,0.008379685042972684,118.33622742045817,43352.477754962354,953438.3121149896,0.0013025,0.00286455,0.00416705,0.007087689719854125,140.0896977048512
SA002,72644,2723063100,35803045,54000,1,13,18,,0,0,1800010000000.0,1,,72644,SA006,,110348,B,243,520,P0,0,,STS,2.0,1.74,0.7,1000000,1991-06-22,,1991-06-22,12476.0,34.157426420260094,0.8979889585736722,1.683148528405202,1.0,1.0,1.05,7.471264367816092,1.547126436781609,1.7187257546413337,47461.7440109514,1292158.3627652293,0.0013895,0.00378295,0.00517245,0.008890023029594567,111.48564786289485,48776.804928131416,1193135.9835728952,0.001428,0.00349305,0.00492105,0.008457935374877735,117.23216372287023,46351.62765229295,1219300.5722108146,0.001357,0.00356965,0.00492665,0.008467560239103727,117.09777217550067,44490.04791238877,978456.5585215605,0.0013025,0.00286455,0.00416705,0.00716201615587817,138.62548788433793
