FTR_IDN,lithoidx,lithoname,K_SOIL
2652,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2767,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2774,Qa,충적층,1.3
2777,Qa,충적층,1.3
2778,Qa,충적층,1.3
2779,Qa,충적층,1.3
2782,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2789,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2835,Qa,충적층,1.3
2836,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2838,Qa,충적층,1.3
2840,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2879,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2880,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2881,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2882,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2886,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2970,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3660,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3661,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3672,Km6,하양층군함안층,1.0
3673,Km6,하양층군함안층,1.0
3675,Km6,하양층군함안층,1.0
3677,Km6,하양층군함안층,1.0
3678,Km6,하양층군함안층,1.0
3679,Km6,하양층군함안층,1.0
3680,Km6,하양층군함안층,1.0
3683,Km6,하양층군함안층,1.0
3693,Km6,하양층군함안층,1.0
3694,Km6,하양층군함안층,1.0
3695,Km6,하양층군함안층,1.0
3696,Km6,하양층군함안층,1.0
3697,Km6,하양층군함안층,1.0
3698,Km6,하양층군함안층,1.0
3699,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3700,Km6,하양층군함안층,1.0
3702,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3773,Km6,하양층군함안층,1.0
3776,Km6,하양층군함안층,1.0
3777,Km6,하양층군함안층,1.0
3778,Km6,하양층군함안층,1.0
3797,Km6,하양층군함안층,1.0
3803,Km6,하양층군함안층,1.0
3805,Km6,하양층군함안층,1.0
3812,Km6,하양층군함안층,1.0
3874,Km6,하양층군함안층,1.0
3902,Km6,하양층군함안층,1.0
3903,Km6,하양층군함안층,1.0
3904,Km6,하양층군함안층,1.0
3905,Km6,하양층군함안층,1.0
3906,Km6,하양층군함안층,1.0
3958,Km6,하양층군함안층,1.0
3959,Km6,하양층군함안층,1.0
3960,Km6,하양층군함안층,1.0
3989,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4007,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4008,Km6,하양층군함안층,1.0
4009,Km6,하양층군함안층,1.0
4011,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4012,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4149,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4156,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
4692,Km6,하양층군함안층,1.0
4693,Km6,하양층군함안층,1.0
4694,Km6,하양층군함안층,1.0
4695,Km6,하양층군함안층,1.0
4697,Km6,하양층군함안층,1.0
