FTR_IDN,lithoidx,lithoname,K_SOIL
480237,Km1,경상누층군신동층군낙동층,1.0
480242,Km1,경상누층군신동층군낙동층,1.0
480244,Km2,신동층군하산동층,1.0
480254,Km2,신동층군하산동층,1.0
480274,Km1,경상누층군신동층군낙동층,1.0
480275,Km2,신동층군하산동층,1.0
480359,Km2,신동층군하산동층,1.0
480360,Km2,신동층군하산동층,1.0
480657,Km1,경상누층군신동층군낙동층,1.0
480677,Km2,신동층군하산동층,1.0
480688,Km2,신동층군하산동층,1.0
480689,Km1,경상누층군신동층군낙동층,1.0
480698,Km1,경상누층군신동층군낙동층,1.0
483213,Km2,신동층군하산동층,1.0
483853,Km1,경상누층군신동층군낙동층,1.0
483854,Km1,경상누층군신동층군낙동층,1.0
483855,Km1,경상누층군신동층군낙동층,1.0
483856,Km1,경상누층군신동층군낙동층,1.0
483857,Km2,신동층군하산동층,1.0
483858,Km2,신동층군하산동층,1.0
483859,Km2,신동층군하산동층,1.0
483860,Km2,신동층군하산동층,1.0
483861,Km2,신동층군하산동층,1.0
483862,Km2,신동층군하산동층,1.0
483863,Km2,신동층군하산동층,1.0
483864,Km2,신동층군하산동층,1.0
483865,Km2,신동층군하산동층,1.0
483866,Km2,신동층군하산동층,1.0
483867,Km2,신동층군하산동층,1.0
483868,Km2,신동층군하산동층,1.0
483869,Km2,신동층군하산동층,1.0
483870,Km2,신동층군하산동층,1.0
483871,Km2,신동층군하산동층,1.0
483872,Km2,신동층군하산동층,1.0
483873,Km2,신동층군하산동층,1.0
483874,Km2,신동층군하산동층,1.0
483875,Km2,신동층군하산동층,1.0
483876,Km2,신동층군하산동층,1.0
483878,Km2,신동층군하산동층,1.0
483879,Km2,신동층군하산동층,1.0
483880,Km2,신동층군하산동층,1.0
483881,Km2,신동층군하산동층,1.0
483882,Km2,신동층군하산동층,1.0
483883,Km2,신동층군하산동층,1.0
483884,Km2,신동층군하산동층,1.0
483885,Km2,신동층군하산동층,1.0
483886,Km2,신동층군하산동층,1.0
483887,Km2,신동층군하산동층,1.0
483888,Km2,신동층군하산동층,1.0
483889,Km2,신동층군하산동층,1.0
483890,Km2,신동층군하산동층,1.0
483891,Km2,신동층군하산동층,1.0
483892,Km2,신동층군하산동층,1.0
483893,Km2,신동층군하산동층,1.0
483894,Km2,신동층군하산동층,1.0
483895,Km2,신동층군하산동층,1.0
483896,Km2,신동층군하산동층,1.0
483897,Km2,신동층군하산동층,1.0
483898,Km2,신동층군하산동층,1.0
483899,Km2,신동층군하산동층,1.0
483900,Km2,신동층군하산동층,1.0
