wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT
"MultiLineString ((1099634.3278508901130408 1767861.59654539008624852, 1099633.12179389991797507 1767861.48619665997102857, 1099631.23680981993675232 1767861.31244756001979113, 1099624.21329305996187031 1767860.66715476009994745, 1099604.11652718996629119 1767858.82070902991108596, 1099603.00071204011328518 1767854.20070254988968372, 1099602.62960929004475474 1767852.66417571995407343, 1099603.13122916989959776 1767851.53116763010621071, 1099602.97446116991341114 1767850.56769719999283552, 1099602.91955593996681273 1767850.49953230004757643, 1099602.2437817701138556 1767849.66214715992100537, 1099601.85360126011073589 1767849.51623453991487622, 1099601.35366201004944742 1767849.32936089998111129, 1099599.56106686010025442 1767845.19177725003100932))",SA002,313693,2723061000,35803035,54000,20050630,,1,50,48,,0,0,2.00506E+12,1,,313693,SA006,,246261,B,240,520,P0,0,,,
"MultiLineString ((1099624.21329305996187031 1767860.66715476009994745, 1099625.33673859992995858 1767848.59209644002839923))",SA002,468355,2723061000,35803035,54000,20201201,,1,13,12,,0,0,2.02011E+12,1,13-20,468355,SA006,,335451,B,240,520,P0,0,,,
"MultiLineString ((1099792.62417209008708596 1767448.93128293007612228, 1099790.58021785994060338 1767446.65548271988518536))",SA002,177575,2723063100,35803045,54000,19921018,,1,13,12,,0,0,1.80001E+12,1,,177575,SA006,,94923,B,243,520,P0,0,,,
"MultiLineString ((1099824.13839369989000261 1767446.2500307799782604, 1099822.04950175993144512 1767448.17391789006069303))",SA002,72641,2723063100,35803045,54000,19921012,,1,13,15,,0,0,1.80001E+12,1,,72641,SA006,,101572,B,243,520,P0,0,,,
"MultiLineString ((1099786.1740268599241972 1767454.72704985993914306, 1099789.16970500000752509 1767458.06103581003844738))",SA002,106784,2723063100,35803045,54000,19921018,,1,13,8,,0,0,1.80001E+12,1,,106784,SA006,,47997,B,243,520,P0,0,,,
"MultiLineString ((1099764.40657500992529094 1767470.49217191990464926, 1099766.6578646800480783 1767468.02044020011089742))",SA002,177143,2723063100,35803045,54000,19940312,,1,13,5,,0,0,1.80001E+12,1,,177143,SA006,,88251,B,243,520,P0,0,,,
"MultiLineString ((1099816.59224456991069019 1767462.86106425989419222, 1099813.68440155009739101 1767459.95737215992994606))",SA002,72640,2723063100,35803045,54000,19920929,,1,13,15,,0,0,1.80001E+12,1,,72640,SA006,,81675,B,243,520,P0,0,,,
"MultiLineString ((1099807.97547308006323874 1767470.37200032011605799, 1099805.35651942994445562 1767467.59410828002728522))",SA002,106782,2723063100,35803045,54000,19920929,,1,13,10,,0,0,1.80001E+12,1,,106782,SA006,,88259,B,243,520,P0,0,,,
"MultiLineString ((1099780.90279157995246351 1767459.46286712004803121, 1099779.11936255008913577 1767457.47804115992039442))",SA002,72643,2723063100,35803045,54000,19920506,,1,13,10,,0,0,1.80001E+12,1,,72643,SA006,,156485,B,243,520,P0,0,,,
"MultiLineString ((1099781.99253428005613387 1767458.48360957996919751, 1099784.76699025998823345 1767461.57239606999792159))",SA002,72644,2723063100,35803045,54000,19910622,,1,13,18,,0,0,1.80001E+12,1,,72644,SA006,,110348,B,243,520,P0,0,,,
"MultiLineString ((1099798.49977350002154708 1767478.68373213009908795, 1099795.39360109996050596 1767475.38594963005743921))",SA002,177572,2723063100,35803045,54000,19971224,,1,32,4,,0,0,1.99712E+12,1,32-97,177572,SA006,,81686,B,243,520,P0,0,,,
