NO,접수번호,부서,정산년월,지시번호,공사명,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,GIS 입력,위도,경도,epsg5179위도,epsg5179경도
1,,북부사업소,201306,518 ,북구 산격로 22-1 (산격동) / 1418-1번지,지하-공도,용역,산격로 22-1 (산격동) / 1418-1번지,2013-06-04 09:00,,,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,155일,446 ,,미입력,35.8924962,128.6053774,1099762.026,1766774.019
2,,북부사업소,201810,1153 ,북구 연암공원로 90-5 (산격동) / 1185-8번지,시설물수선,,연암공원로 90-5 (산격동) / 1185-8번지,2018-10-12 11:00,,,배수지관,북구,0520,24-3,,,,,,,,,,미입력,35.8980631,128.6017111,1099424.162,1767387.758
3,,북부사업소,201302,141 ,북구 대동로8길 21-5 (산격동) / 1249-16번지,기타,,대동로8길 21-5 (산격동) / 1249-16번지,2013-01-29 09:00,,,급수관,북구,0520,48,,,,,,,,,,미입력,35.8963234,128.6087176,1100058.68,1767201.944
4,,북부사업소,201306,601 ,북구 대학로13길 30-1 (산격동) / 1326-7번지,지하-공도,용역,대학로13길 30-1 (산격동) / 1326-7번지,2013-06-29 09:00,,,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,180일,0 ,,미입력,35.8945049,128.6077654,1099975.03,1766999.263
5,,북부사업소,201202,247 ,북구 대학로 59-29 (산격동) / 1417-25번지,지하-사유지,용역,대학로 59-29 (산격동) / 1417-25번지,2013-02-27 09:00,,,급수관,북구,0520,49,사유지,15 ,스텐레스관,직관,노후,,58일,97 ,,미입력,35.8914779,128.6062248,1099839.787,1766661.936
6,,북부사업소,201302,247 ,북구 대학로 59-29 (산격동) / 1417-25번지,지하-공도,용역,대학로 59-29 (산격동) / 1417-25번지,2013-02-27 09:00,,,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,58일,167 ,,미입력,35.8914779,128.6062248,1099839.787,1766661.936
7,,북부사업소,201306,575 ,북구 산격로8길 23-2 (산격동) / 1326-24번지,지하-공도,용역,산격로8길 23-2 (산격동) / 1326-24번지,2013-06-21 09:00,,,급수관,북구,0520,49,공도,15 ,스텐레스관,이형관,노후,,172일,495 ,,입력,35.8938472,128.6078745,1099985.703,1766926.423
8,,북부사업소,201307,603 ,북구 산격로6길 8 (산격동) / 1414-8번지,지하-공도,용역,산격로6길 8 (산격동) / 1414-8번지,2013-07-01 08:00,,,급수관,북구,0520,49,공도,15 ,변류,접합부,노후,,31일,52 ,,미입력,35.8924238,128.6059706,1099815.657,1766766.594
9,,북부사업소,201307,626 ,북구 대학로 59-16 (산격동) / 1416-9번지,지하-공도,용역,대학로 59-16 (산격동) / 1416-9번지,2013-07-16 08:00,,,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,16일,46 ,,입력,35.8916674,128.6067247,1099884.668,1766683.466
10,,북부사업소,201302,232 ,북구 대구체육관로9길 40-1 (산격동) / 1426-46번지,지하-공도,용역,대구체육관로9길 40-1 (산격동) / 1426-46번지,2013-02-25 09:00,,,급수관,북구,0520,49,공도,20 ,부분기대,부분기대,노후,,56일,457 ,,입력,35.894448,128.6041993,1099653.25,1766989.309
11,,북부사업소,201306,519 ,북구 대학로17길 18 (산격동) / 1313-4번지,지하-공도,용역,대학로17길 18 (산격동) / 1313-4번지,2013-06-04 09:00,,,급수관,북구,0520,49,공도,32 ,부분기대,부분기대,노후,,155일,856 ,,입력,35.8938323,128.6090485,1100091.68,1766925.972
12,,북부사업소,201307,627 ,북구 산격로6길 6-1 (산격동) / 1418번지,지하-공도,용역,산격로6길 6-1 (산격동) / 1418번지,2013-07-16 08:00,,,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,부식,,16일,46 ,,미입력,35.892484,128.6058304,1099802.927,1766773.128
13,,북부사업소,201402,144 ,"북구 대구체육관로 39, B동 (산격동,대구체육관) / 1427-1번지",배수관망유지수선,,"대구체육관로 39, B동 (산격동,대구체육관) / 1427-1번지",2014-02-04 08:00,,,급수관,북구,0520,47,,,,,,,,,,미입력,35.8937914,128.6034045,1099582.34,1766915.669
14,,북부사업소,201311,1103 ,북구 산격로 14-13 (산격동) / 1421-51번지,지하-공도,용역,산격로 14-13 (산격동) / 1421-51번지,2013-11-20 09:00,,,급수관,북구,0520,49,공도,25 ,스텐레스관,이형관,노후,,143일,"1,098 ",,미입력,35.892084,128.6056113,1099783.654,1766728.537
