NO,접수번호,부서,정산년월,지시번호,공사명,공사개요,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,"누수지점
GIS ID",GIS 입력
1,20250723-0413,북부사업소,202507,644 ,북구 대동로8길 15-1 (산격동) / 1249-27번지,D25*13 분기점 누수 수선유솔,지하-공도,자체상시,산격동 1249-27,2025-07-23 14:59,,2025-07-29 15:42,급수관,북구,0520,48,공도,25 ,부분기대,부분기대,노후,,80일,230 ,,,미입력
2,20250721-0608,북부사업소,202507,638 ,북구 연암공원로8길 15 (산격동) / 1106-18번지,D15mm 인입선누수수선 및 보호통교체,지하-사유지,용역일반,산격동 1106-18,2025-07-21 16:52,,2025-07-28 09:12,급수관,북구,0520,46-1,사유지,15 ,스텐레스관,이형관,노후,,200일,672 ,생활용수,,미대상
3,20250721-0606,북부사업소,202507,637 ,북구 연암공원로8길 13-2 (산격동) / 1106-18번지,D80*25mm 분기점누수수선,지하-공도,용역일반,산격동 1106-18,2025-07-21 16:51,,2025-07-28 09:11,급수관,북구,0520,46-1,공도,25 ,부분기대,부분기대,노후,,80일,230 ,,,미입력
4,20250721-0605,북부사업소,202507,636 ,북구 연암공원로7길 9 (산격동) / 1134-1번지,D15mm 인입선누수수선 및 보호통교체,지하-사유지,용역일반,산격동 1134-1,2025-07-21 16:50,,2025-07-28 09:14,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),접합부,노후,,140일,504 ,,,미대상
5,20250721-0489,북부사업소,202507,635 ,북구 연암공원로 55-31 (산격동) / 1169-17번지,D20mm 밸브누수수선,지하-공도,용역일반,산격동 1169-17,2025-07-21 15:09,,2025-07-28 09:17,급수관,북구,0520,46-1,공도,20 ,변류,본체,노후,,140일,0 ,,,미입력
6,20250721-0465,북부사업소,202507,633 ,북구 연암공원로14길 19-12 (산격동) / 1186-71번지,D15mm 계량기실누수수선 및 보호통교체,지하-사유지,용역일반,산격동 1186-71,2025-07-21 14:42,,2025-08-08 13:57,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),접합부,노후,,145일,522 ,,,미대상
7,20250721-0463,북부사업소,202507,632 ,북구 연암공원로14길 19-16 (산격동) / 1186-39번지,DTC D80mm 접합부누수수선,지하-공도,용역일반,산격동 1186-39,2025-07-21 14:41,,2025-08-08 13:56,배수관,북구,0520,24-3,공도,80 ,닥타일관,직관,노후,,140일,0 ,,,미입력
8,20250721-0323,북부사업소,202507,628 ,북구 대구체육관로11길 7-1 (산격동) / 1430-27번지,D80*13mm 분기점누수수선,지하-공도,자체상시,산격동 1430-27,2025-07-21 13:10,,2025-07-29 15:43,급수관,북구,0520,47,공도,15 ,부분기대,부분기대,노후,,150일,900 ,,,미입력
9,20250609-0243,북부사업소,202506,535 ,북구 연암공원로 60 (산격동) / 1155-7번지,현장출동-하수도,미누수,,산격동 1155-7,2025-06-09 13:24,,2025-06-09 16:01,,북구,0520,46-1,,,,,,,,,,,미대상
10,20250521-0010,북부사업소,202506,470 ,북구 대구체육관로11길 3 (산격동) / 1430-8번지,현장출동-밸브고장(공무이첩),미누수,,산격동 1430-8,2025-05-21 09:05,,2025-05-22 15:28,,북구,0520,47,,,,,,,,,,,미대상
11,20250528-0066,북부사업소,202505,507 ,북구 연암로4길 52-4 (산격동) / 1498-136번지,현장출동-옥내누수,미누수,,산격동 1498-136,2025-05-28 09:48,,2025-06-05 15:18,,북구,0520,47,,,,,,,,,,,미대상
12,20250527-0354,북부사업소,202505,505 ,북구 연암로 18-30 (산격동) / 1441-20번지,D13mm 밸브밑누수 및 통교체,지상-사유지,,산격동 1441-20,2025-05-27 13:03,,2025-05-28 15:43,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
13,20250514-0049,북부사업소,202505,451 ,북구 대학로13길 55-1 (산격동) / 1242-12번지,현장출동-옥내누수,미누수,,산격동 1242-12,2025-05-14 10:26,,2025-05-14 13:54,,북구,0520,48,,,,,,,,,,,미대상
14,20250510-0006,북부사업소,202505,444 ,"북구 연암로4길 1 (산격동,서울비닐상사) / 1441-2번지",현장출동-하수도,미누수,,산격동 1441-2,2025-05-10 08:16,,2025-05-12 09:32,,북구,0520,47,,,,,,,,,,,미대상
15,20250424-0010,북부사업소,202505,392 ,"북구 산격로9길 6-1 (산격동,새마을금고) / 1424-6번지",터파기 결과 이상없음,기타,,산격동 1424-6,2025-04-24 08:58,,2025-05-20 11:00,기타,북구,0520,47,,,,,,,,,,,미대상
16,20250418-0039,북부사업소,202504,375 ,북구 연암공원로10길 33-3 (산격동) / 1437-132번지,D13 밸브조임,지상-사유지,,산격동 1437-132,2025-04-18 09:51,,2025-04-18 13:00,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),앵글밸브,접합부이완,,,,생활용수,,미대상
17,20250416-0280,북부사업소,202504,367 ,북구 대학로13길 40 (산격동) / 1312-23번지,D100*15 분기점 수선,지상-공도,,산격동 1312-23,2025-04-16 15:32,,2025-04-21 17:00,급수관,북구,0520,48,공도,15 ,부분기대,부분기대,노후,,8시간,0 ,생활용수,853777,입력
18,20250414-0308,북부사업소,202504,356 ,"북구 대학로 59-38, (폐전:2013.10.23) (산격동) / 1416-37번지",D80mm 직관부누수수선(클램프설치),지하-공도,자체상시,산격동 1416-37 (폐전:2013.10.23),2025-04-14 15:12,,2025-04-16 09:19,배수관,북구,0520,49,공도,80 ,닥타일관,직관,노후,,15일,0 ,생활용수,854088,입력
19,20250411-0236,북부사업소,202504,354 ,북구 연암공원로14길 54-1 (산격동) / 1424-30번지,D100*15mm 분기점누수수선(누수방지새들설치),지하-공도,자체일반,산격동 1424-30,2025-04-11 16:53,,2025-04-16 09:18,급수관,북구,0520,47,공도,15 ,부분기대,부분기대,노후,,30일,0 ,생활용수,853772,입력
20,20250410-0221,북부사업소,202504,348 ,북구 산격로10길 26-2 (산격동) / 1326-34번지,현장출동-미누수,미누수,,산격동 1326-34,2025-04-10 15:03,,2025-04-17 16:55,,북구,0520,49,,,,,,,,,,,미대상
21,20250404-0309,북부사업소,202504,337 ,북구 연암공원로10길 3-7 (산격동) / 1149-1번지,"현장출동-오수, 구청으로 이관",미누수,,산격동 1149-1,2025-04-04 15:10,,2025-04-04 15:32,,북구,0520,46-1,,,,,,,,,,,미대상
22,20250327-0617,북부사업소,202503,314 ,북구 대구체육관로 8 (산격동) / 1442-50번지,D13 밸브조임,지상-사유지,,산격동 1442-50 소담까페,2025-03-27 16:43,,2025-03-28 14:55,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),앵글밸브,볼트이완,,,,생활용수,,미대상
