긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부)
201203297,51000,중남부사업소,,,05,급수관,201205120003,201205120943,201205121000,201205121400,D=15mm 계량기보호통 교체 수선,N,남구,남구 경상2길 26 (대명동) / 3016-69번지,0406,0162,526,20129006401,남구 경상2길 26 (대명동) / 3016-69번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,01,노후,1,누수,01,소켓,4,1/5,3,132,0,475,655,,"406,840",N
201206699,51000,중남부사업소,,,04,배수지관,201211090054,201211091032,201211091100,201211091330,DTC D=80*15mm 분기점 수선,N,남구,남구 경상2길 3 (대명동) / 3016-48번지,0406,0162,1284,20129012930,남구 경상2길 3 (대명동) / 3016-48번지,U,지하누수,01,공도,,02,용역,,,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,02,반도,5,1/7,3,313,0,"1,352",786,0,"339,870",N
201006301,51000,중남부사업소,,,05,급수관,201010070073,201010071019,201010071040,201010071150,DTC D=80×15mm 분기점 누수수선,N,남구,남구 경상2길 30 (대명동) / 3016-11번지,0406,0162,1186,20109010960,남구 대명동 3016-11 번지,U,지하누수,01,공도,,01,자체,02,야간,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,02,반도,4,1/5,4,280,0,"1,949","2,540",,"224,920",N
201304510,51000,중남부사업소,,,05,급수관,201307190030,201307190911,201307191000,201307191200,PFP D=50x15mm 접합부 누수수선,N,남구,남구 경상길 8 (대명동) / 3027-36번지,0406,0162,824,20139008677,남구 경상길 8 (대명동) / 3027-36번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,4,1/5,3,199,0,716,655,0,"577,550",N
0800179,51000,중남부사업소,,,05,급수관,,200711130900,,,분기점 수선,N,남구,남구 계명1길 18-6 (대명동) / 2559-19번지,0408,0010,1126,20089000475,대명3동 2559-19번지선 누수수선공사,U,지하누수,01,공도,,01,자체,01,주간,01,15,06,스텐레스관,0901,분기점,02,부식,1,누수,02,반도,5,1/7,,316,0,986,153,,,N
201305543,51000,중남부사업소,,,05,급수관,201309230096,201309230949,201309271100,201309271300,D50*15(T)누수수선,N,남구,남구 계명1길 38-4 (대명동) / 2551-18번지,0725,0020,1078,20139010880,남구 계명1길 38-4 (대명동) / 2551-18번지,U,지하누수,01,공도,,02,용역,,,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,5,1/7,4,266,0,830,568,0,"234,910",N
201303746,51000,중남부사업소,,,05,급수관,201306110018,201306110926,201306111030,201306111130,STS D=15mm 계량기통밑 접합부 누수수선,N,남구,남구 계명1길 5-7 (대명동) / 2563-29번지,,0020,667,20139007070,남구 계명1길 5-7 (대명동) / 2563-29번지,U,지하누수,02,사유지,,01,자체,01,주간,01,15,12,계량기보호통(실),0702,접합부,02,부식,1,누수,01,소켓,4,1/5,3,162,0,583,655,,"507,540",N
201302481,51000,중남부사업소,,,04,배수지관,201304010009,201304010857,201304010930,201304011030,DTC D=80x15mm 분기점 누수수선,N,남구,남구 계명1길 5-7 (대명동) / 2563-29번지,0725,0020,418,20139004641,남구 계명1길 5-7 (대명동) / 2563-29번지,U,지하누수,01,공도,,01,자체,02,야간,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,01,소켓,4,1/5,3,91,0,328,655,0,"358,690",N
201303103,51000,중남부사업소,,,,,201305130228,201305131504,201305131600,201305131700,미누수,N,남구,남구 계명1길 5-7 (대명동) / 2563-29번지,,0020,563,20139005819,남구 계명1길 5-7 (대명동) / 2563-29번지,U,지하누수,,,,02,용역,,,,,,,,,,,2,미누수,,,,,,,,,,0,"107,050",N
200800868,51000,중남부사업소,,,,,,200812090900,200812090930,200812091130,D=15mm 접합부 누수수선,N,남구,남구 계명2길 26-2 (대명동) / 2248-2번지,,0020,1213,20089013349,남구 대명동2248-2 번지,U,지하누수,02,사유지,,01,자체,01,주간,01,15,12,계량기보호통(실),0602,연결부,02,부식,1,누수,01,소켓,3,1/3,4,342,0,"2,462","2,628",,"388,850",N
200905520,51000,중남부사업소,,,,,200909110090,200909111105,200909111300,200909111500,"DTC D=80x15mm 구, 분기점 패쇄",N,남구,남구 계명2길 26-2 (대명동) / 2248-2번지,0790,0020,1178,20099010079,남구 대명동 2248-2 번지,U,지하누수,01,공도,,01,자체,02,야간,01,15,13,불용관,0801,불용관,13,불용관,1,누수,01,소켓,3,1/3,4,254,0,"1,829","2,628",,"258,560",N
201306248,51000,중남부사업소,,,05,급수관,201310280569,201310281750,201310290900,201310291100,D40*15(T)누수수선,N,남구,남구 계명2길 26-2 (대명동) / 2248-2번지,0725,0020,1223,20139012192,남구 계명2길 26-2 (대명동) / 2248-2번지,U,지하누수,01,공도,,01,자체,02,야간,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,4,1/5,4,301,0,"1,300",786,0,"862,900",N
201306244,51000,중남부사업소,,,05,급수관,201310280168,201310281054,201310281120,201310281320,D40*15분기점수선,N,남구,남구 계명2길 26-4 (대명동) / 2248-15번지,0725,0020,1217,20139012188,남구 계명2길 26-4 (대명동) / 2248-15번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,06,스텐레스관,0201,이형관,01,노후,1,누수,01,소켓,4,1/5,4,301,0,"1,300",786,0,"402,880",N
201303124,51000,중남부사업소,,,04,배수지관,201305070222,201305071422,201305071530,201305071630,EPS D=40x15mm 접합부 누수수선,N,남구,남구 계명2길 47-2 (대명동) / 2549-10번지,0725,0020,543,20139005840,남구 계명2길 47-2 (대명동) / 2549-10번지,U,지하누수,01,공도,,02,용역,,,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,01,소켓,3,1/3,3,127,0,792,"1,136",0,"288,280",N
201305463,51000,중남부사업소,,,05,급수관,201309020152,201309021043,201309021300,201309021500,D40*15(T)수선,N,남구,남구 계명4길 11-3 (대명동) / 2250-25번지,0725,0040,1009,20139010787,남구 계명4길 11-3 (대명동) / 2250-25번지,U,지하누수,01,공도,,02,용역,,,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,5,1/7,4,245,0,764,568,0,"241,240",N
201204317,51000,중남부사업소,,,05,급수관,201207250006,201207250824,201207250830,201207251200,DTC D=80*15mm 분기점 수선(2개소),N,남구,남구 계명4길 11-6 (대명동) / 2250-12번지,0725,0040,831,20129008408,남구 계명4길 11-6 (대명동) / 2250-12번지,U,지하누수,01,공도,,02,용역,,,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,01,소켓,4,1/5,3,207,0,745,655,0,"642,990",N
201205630,51000,중남부사업소,,,04,배수지관,201208020058,201208021008,201208021200,201208021700,"1차-미누수,2차-PFP D=50*15mm 분기점 수선",N,남구,남구 계명4길 5-2 (대명동) / 2250-28번지,0725,0040,871,20129010742,남구 계명4길 5-2 (대명동) / 2250-28번지,U,지하누수,01,공도,,02,용역,,,01,15,05,PFP관,0201,이형관,02,부식,1,누수,01,소켓,4,1/5,3,214,0,770,655,0,"488,720",N
201305462,51000,중남부사업소,,,05,급수관,201309020148,201309021042,201309090800,201309091000,D15보호통하부누수수선(보호통교체),N,남구,남구 계명4길 5-3 (대명동) / 2250-35번지,,0040,1008,20139010786,남구 계명4길 5-3 (대명동) / 2250-35번지,U,지하누수,02,사유지,,02,용역,,,01,15,12,계량기보호통(실),0601,계량기보호통,02,부식,1,누수,01,소켓,4,1/5,4,245,0,"1,058",786,,"492,180",N
9903857,51000,중남부사업소,,,05,급수관,,20030923110000,,,분기점폐쇄,N,남구,남구 계명5길 31 (대명동) / 2251-40번지,0408,0030,,20035100003857,남구 대명3.7동 2251-40번지선 누수수선공사(지하),U,지하누수,,,,,,,,01,15,02,,0901,,99,기타,1,누수,,,5,1/7,,266,0,702,261,,,
201206689,51000,중남부사업소,,,04,배수지관,201211070010,201211070842,201211071330,201211071630,DTC D=80*25mm 분기점 수선,N,남구,남구 계명5길 55-2 (대명동) / 2244-13번지,0725,0040,1266,20129012920,남구 계명5길 55-2 (대명동) / 2244-13번지,U,지하누수,01,공도,,02,용역,,,03,25,10,부분기대,0501,부분기대,02,부식,1,누수,02,반도,6,1/10,3,311,1,"4,478","2,621",0,"279,210",N
201302170,51000,중남부사업소,,,04,배수지관,201303290046,201303290936,201303291030,201303291230,D=15mm 직관부 누수수선(밸브 설치),N,남구,남구 계명7길 23-1 (대명동) / 2241-14번지,,0040,410,20139003783,남구 계명7길 23-1 (대명동) / 2241-14번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,99,기타,9901,기타,99,기타,1,누수,01,소켓,6,1/10,3,88,0,148,306,,"207,140",N
9904257,51000,중남부사업소,,,05,급수관,,20031114140000,,,직선연결,N,남구,남구 계명7길 24-2 (대명동) / 2240-22번지,0408,0030,,20035100004257,남구 대명3.7동 2240-22번지선 누수수선공사(지하),U,지하누수,,,,,,,,01,15,08,,0901,,01,노후,1,누수,,,5,1/7,,317,0,"1,369",207,,,
201305464,51000,중남부사업소,,,05,급수관,201309020156,201309021044,201309021200,201309021400,D40*15(T)수선,N,남구,남구 계명7길 24-5 (대명동) / 2240-18번지,0725,0040,1010,20139010788,남구 계명7길 24-5 (대명동) / 2240-18번지,U,지하누수,01,공도,,02,용역,,,01,15,06,스텐레스관,0201,이형관,02,부식,1,누수,01,소켓,5,1/7,4,245,0,764,568,0,"184,970",N
9903597,51000,중남부사업소,,,05,급수관,,20030701100000,,,"STS D=40mm, L=45m직관교체",N,남구,남구 계명7길 30-1 (대명동) / 2240-1번지,0408,0030,,20035100003597,남구 대명3.7동 2240-1번지선 누수수선공사(지하),U,지하누수,,,,,,,,02,20,01,,0101,,01,노후,1,누수,,,5,1/7,,182,1,"4,324","4,348",,,
