FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
490041.0,4742135,삽령길,7.0,4
490057.0,3314001,군청로,13.0,3
490058.0,3314001,군청로,13.0,3
490068.0,4742306,내외량길,4.0,4
490098.0,,,,
490178.0,4742057,대흥1길,3.0,4
490274.0,4742040,내량길,4.0,4
490275.0,,,,
490276.0,4742058,대흥2길,3.0,4
490277.0,3314001,군청로,2.0,3
490278.0,4742242,정2길,7.0,4
490279.0,4742242,정2길,7.0,4
490280.0,4742241,정1길,7.0,4
490403.0,4742241,정1길,7.0,4
490404.0,,,,
490443.0,1000023,중앙고속도로,40.0,1
490457.0,4742056,대북길,10.0,4
490458.0,4742056,대북길,10.0,4
490459.0,4742057,대흥1길,3.0,4
490461.0,2018002,경북대로,18.0,2
490463.0,4742056,대북길,10.0,4
490464.0,4742306,내외량길,2.0,4
490465.0,4742058,대흥2길,3.0,4
490474.0,4742306,내외량길,4.0,4
490475.0,4742242,정2길,7.0,4
490476.0,4742058,대흥2길,3.0,4
490477.0,4742241,정1길,7.0,4
490613.0,3314001,군청로,13.0,3
490774.0,4742056,대북길,10.0,4
490775.0,4742056,대북길,10.0,4
490776.0,4742135,삽령길,2.0,4
490777.0,4742196,외량2길,4.0,4
490962.0,3314001,군청로,13.0,3
491099.0,4742057,대흥1길,3.0,4
491100.0,4742306,내외량길,4.0,4
491101.0,4742057,대흥1길,3.0,4
491102.0,4742142,새터길,4.0,4
491103.0,4742135,삽령길,2.0,4
491104.0,4742306,내외량길,4.0,4
491105.0,4742196,외량2길,4.0,4
491106.0,4742306,내외량길,4.0,4
491107.0,4742040,내량길,2.0,4
491108.0,2018002,경북대로,18.0,2
491109.0,1000023,중앙고속도로,40.0,1
491110.0,4742241,정1길,7.0,4
491112.0,3314001,군청로,13.0,3
491113.0,,,,
491114.0,4742306,내외량길,4.0,4
491115.0,,,,
491116.0,3308077,도군로,8.0,3
491117.0,,,,
491118.0,4742056,대북길,10.0,4
491119.0,2018002,경북대로,18.0,2
491120.0,3308077,도군로,8.0,3
491121.0,4742242,정2길,4.0,4
491122.0,4742242,정2길,7.0,4
491123.0,3308077,도군로,8.0,3
491124.0,4742057,대흥1길,3.0,4
491125.0,4742057,대흥1길,3.0,4
491126.0,4742058,대흥2길,3.0,4
491127.0,4742058,대흥2길,3.0,4
491128.0,3308077,도군로,8.0,3
491129.0,4742135,삽령길,7.0,4
491130.0,3308077,도군로,8.0,3
491131.0,4742135,삽령길,2.0,4
491132.0,4742306,내외량길,4.0,4
491133.0,3308077,도군로,8.0,3
491134.0,3308077,도군로,8.0,3
491135.0,4742243,정3길,4.0,4
491136.0,4742243,정3길,4.0,4
491137.0,4742243,정3길,4.0,4
491138.0,1000023,중앙고속도로,40.0,1
491139.0,1000023,중앙고속도로,40.0,1
491140.0,,,,
491141.0,,,,
491142.0,4742242,정2길,7.0,4
491143.0,4742242,정2길,7.0,4
491144.0,4742241,정1길,7.0,4
491145.0,4742242,정2길,7.0,4
491146.0,4742242,정2길,7.0,4
491147.0,3314001,군청로,13.0,3
491151.0,3308077,도군로,8.0,3
491152.0,4742135,삽령길,7.0,4
491153.0,,,,
491154.0,3308077,도군로,8.0,3
491155.0,4742306,내외량길,4.0,4
491156.0,4742306,내외량길,4.0,4
491157.0,,,,
491158.0,4742306,내외량길,4.0,4
491159.0,,,,
491160.0,,,,
491161.0,4742040,내량길,6.0,4
491162.0,4742040,내량길,4.0,4
491163.0,4742040,내량길,4.0,4
491164.0,4742040,내량길,2.0,4
491165.0,4742135,삽령길,7.0,4
491166.0,4742008,개봉길,4.0,4
491167.0,3308077,도군로,8.0,3
491829.0,4742241,정1길,7.0,4
491830.0,4742057,대흥1길,3.0,4
491873.0,4742057,대흥1길,3.0,4
491874.0,4742057,대흥1길,3.0,4
491893.0,3308077,도군로,8.0,3
491894.0,4742057,대흥1길,3.0,4
491895.0,4742057,대흥1길,3.0,4
491896.0,4742057,대흥1길,3.0,4
491897.0,4742057,대흥1길,3.0,4
491898.0,4742057,대흥1길,2.0,4
492058.0,4855924,도담마을길,11.208,4
492059.0,,,,
492060.0,4742135,삽령길,2.0,4
492061.0,4742135,삽령길,2.0,4
492169.0,4742040,내량길,4.0,4
492170.0,4742306,내외량길,4.0,4
492171.0,2018002,경북대로,18.0,2
492172.0,4742056,대북길,10.0,4
492173.0,4742056,대북길,10.0,4
492174.0,4742056,대북길,10.0,4
492175.0,4742056,대북길,10.0,4
492176.0,4742056,대북길,10.0,4
492177.0,4742056,대북길,10.0,4
492178.0,4742056,대북길,10.0,4
492179.0,4742056,대북길,10.0,4
492180.0,4742056,대북길,10.0,4
492181.0,4742056,대북길,10.0,4
492182.0,4742055,대북1길,3.0,4
492183.0,4742056,대북길,10.0,4
492184.0,4742056,대북길,2.0,4
492185.0,4742195,외량1길,4.0,4
492186.0,4742135,삽령길,7.0,4
492187.0,4742040,내량길,4.0,4
492188.0,4742135,삽령길,7.0,4
492189.0,4742055,대북1길,3.0,4
492190.0,4742056,대북길,3.0,4
492191.0,4742055,대북1길,3.0,4
492192.0,4855924,도담마을길,11.208,4
492228.0,4742135,삽령길,7.0,4
492229.0,1000023,중앙고속도로,40.0,1
492265.0,4742135,삽령길,7.0,4
492280.0,1000023,중앙고속도로,40.0,1
492342.0,4742058,대흥2길,3.0,4
492343.0,4742135,삽령길,7.0,4
492344.0,4742135,삽령길,2.0,4
492345.0,4742306,내외량길,4.0,4
492346.0,4742306,내외량길,4.0,4
492347.0,4742306,내외량길,4.0,4
492348.0,4742241,정1길,7.0,4
492349.0,4742241,정1길,7.0,4
492399.0,4742255,중앙길,14.0,4
492400.0,3314001,군청로,13.0,3
492401.0,3314001,군청로,13.0,3
492402.0,3314001,군청로,13.0,3
492403.0,2018002,경북대로,18.0,2
492408.0,4742135,삽령길,7.0,4
492409.0,4742135,삽령길,7.0,4
493705.0,4855924,도담마을길,11.208,4
494129.0,3314001,군청로,2.0,3
494130.0,3314001,군청로,13.0,3
494131.0,,,,
494207.0,2018002,경북대로,18.0,2
494208.0,2018002,경북대로,18.0,2
494241.0,4742243,정3길,2.0,4
494242.0,1000023,중앙고속도로,40.0,1
494243.0,,,,
494244.0,,,,
494245.0,4742135,삽령길,7.0,4
494325.0,3308077,도군로,8.0,3
494326.0,3308077,도군로,8.0,3
494327.0,,,,
494328.0,,,,
494373.0,4855924,도담마을길,11.208,4
494585.0,4742306,내외량길,4.0,4
