FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
480237.0,4742058,대흥2길,3.0,4
480242.0,4742306,내외량길,2.0,4
480244.0,,,,
480254.0,,,,
480274.0,4742306,내외량길,2.0,4
480275.0,3308077,도군로,2.0,3
480359.0,4742056,대북길,2.0,4
480360.0,4742056,대북길,10.0,4
480657.0,,,,
480677.0,3308077,도군로,2.0,3
480688.0,4742056,대북길,2.0,4
480689.0,,,,
480698.0,4742142,새터길,4.0,4
483213.0,,,,
483853.0,,,,
483854.0,,,,
483855.0,4742306,내외량길,2.0,4
483856.0,4742306,내외량길,2.0,4
483857.0,4742039,내량1길,2.0,4
483858.0,4742241,정1길,7.0,4
483859.0,4742241,정1길,7.0,4
483860.0,4742241,정1길,2.0,4
483861.0,4742241,정1길,7.0,4
483862.0,4742241,정1길,7.0,4
483863.0,4742241,정1길,7.0,4
483864.0,4742241,정1길,7.0,4
483865.0,4742241,정1길,2.0,4
483866.0,4742241,정1길,2.0,4
483867.0,4742241,정1길,7.0,4
483868.0,4742241,정1길,7.0,4
483869.0,4742241,정1길,7.0,4
483870.0,4742241,정1길,7.0,4
483871.0,4742241,정1길,7.0,4
483872.0,4742241,정1길,2.0,4
483873.0,,,,
483874.0,3314001,군청로,2.0,3
483875.0,3314001,군청로,2.0,3
483876.0,4742241,정1길,2.0,4
483878.0,,,,
483879.0,4742241,정1길,7.0,4
483880.0,4742243,정3길,2.0,4
483881.0,4742243,정3길,2.0,4
483882.0,4742243,정3길,4.0,4
483883.0,,,,
483884.0,4742243,정3길,2.0,4
483885.0,4742243,정3길,4.0,4
483886.0,4742243,정3길,4.0,4
483887.0,4742243,정3길,4.0,4
483888.0,4742243,정3길,2.0,4
483889.0,,,,
483890.0,4742242,정2길,4.0,4
483891.0,4742242,정2길,4.0,4
483892.0,4742242,정2길,7.0,4
483893.0,4742242,정2길,7.0,4
483894.0,4742242,정2길,2.0,4
483895.0,4742242,정2길,7.0,4
483896.0,4742242,정2길,2.0,4
483897.0,4742242,정2길,2.0,4
483898.0,4742242,정2길,2.0,4
483899.0,4742242,정2길,7.0,4
483900.0,4742242,정2길,7.0,4
483901.0,4742242,정2길,7.0,4
483902.0,4742242,정2길,7.0,4
483903.0,4742242,정2길,2.0,4
483904.0,4742242,정2길,2.0,4
483905.0,4742242,정2길,7.0,4
483906.0,4742242,정2길,7.0,4
483907.0,4742242,정2길,7.0,4
483908.0,4742242,정2길,7.0,4
483909.0,4742242,정2길,4.0,4
483910.0,4742242,정2길,2.0,4
483911.0,4742242,정2길,4.0,4
483912.0,4742242,정2길,4.0,4
483913.0,3314001,군청로,2.0,3
483914.0,4742241,정1길,2.0,4
483915.0,4742241,정1길,2.0,4
483916.0,3308077,도군로,2.0,3
483917.0,3308077,도군로,2.0,3
483918.0,4742242,정2길,4.0,4
483919.0,4742242,정2길,4.0,4
483920.0,4742242,정2길,4.0,4
483921.0,3308077,도군로,2.0,3
483922.0,4742243,정3길,4.0,4
483923.0,4742243,정3길,2.0,4
483924.0,,,,
483925.0,4742243,정3길,2.0,4
483926.0,3308077,도군로,2.0,3
483927.0,3308077,도군로,2.0,3
483928.0,3308077,도군로,2.0,3
483929.0,,,,
483930.0,,,,
483931.0,,,,
483932.0,,,,
483933.0,,,,
483934.0,,,,
483935.0,,,,
483936.0,,,,
483937.0,,,,
483938.0,,,,
483939.0,,,,
483940.0,,,,
483941.0,,,,
483942.0,3314001,군청로,2.0,3
483943.0,4742241,정1길,2.0,4
483944.0,4742241,정1길,7.0,4
483945.0,4742241,정1길,2.0,4
483946.0,4742241,정1길,2.0,4
483947.0,,,,
483948.0,4742241,정1길,7.0,4
483949.0,4742241,정1길,7.0,4
483950.0,4742241,정1길,2.0,4
483951.0,4742241,정1길,2.0,4
483952.0,4742040,내량길,4.0,4
483953.0,4742040,내량길,2.0,4
483954.0,4742040,내량길,2.0,4
483955.0,,,,
483956.0,4742008,개봉길,4.0,4
483957.0,4742008,개봉길,2.0,4
483958.0,4742008,개봉길,4.0,4
483959.0,4742008,개봉길,4.0,4
483960.0,4742008,개봉길,4.0,4
483961.0,4742039,내량1길,2.0,4
483962.0,4742040,내량길,4.0,4
483963.0,4742040,내량길,4.0,4
483964.0,4742040,내량길,4.0,4
483965.0,,,,
483966.0,4742040,내량길,4.0,4
483967.0,4742306,내외량길,4.0,4
483968.0,4742306,내외량길,4.0,4
483969.0,4742306,내외량길,4.0,4
483970.0,,,,
483971.0,4742195,외량1길,3.0,4
483972.0,4742056,대북길,2.0,4
483973.0,4742195,외량1길,3.0,4
483974.0,4742195,외량1길,3.0,4
483975.0,,,,
483976.0,,,,
483977.0,4742306,내외량길,2.0,4
483978.0,,,,
483979.0,3308077,도군로,8.0,3
483980.0,3308077,도군로,8.0,3
483981.0,4742135,삽령길,7.0,4
483982.0,4742135,삽령길,7.0,4
483983.0,,,,
483984.0,4742135,삽령길,7.0,4
483985.0,4742135,삽령길,7.0,4
483986.0,,,,
483987.0,4742135,삽령길,7.0,4
483988.0,4742135,삽령길,2.0,4
483989.0,4742135,삽령길,2.0,4
483990.0,4742135,삽령길,2.0,4
483991.0,4742135,삽령길,2.0,4
483992.0,3308077,도군로,8.0,3
483993.0,,,,
483994.0,4742057,대흥1길,3.0,4
483995.0,,,,
483996.0,,,,
483997.0,4742057,대흥1길,3.0,4
483998.0,4742057,대흥1길,2.0,4
483999.0,4742057,대흥1길,3.0,4
484000.0,4742306,내외량길,4.0,4
484001.0,4742008,개봉길,4.0,4
484002.0,4742008,개봉길,4.0,4
484003.0,4742306,내외량길,2.0,4
484004.0,4742057,대흥1길,2.0,4
484005.0,4742306,내외량길,2.0,4
484006.0,4742196,외량2길,4.0,4
484007.0,3308077,도군로,8.0,3
484008.0,,,,
484009.0,,,,
484010.0,,,,
484011.0,,,,
484012.0,4742039,내량1길,3.0,4
484013.0,4742039,내량1길,3.0,4
484014.0,4742039,내량1길,3.0,4
484015.0,4742039,내량1길,3.0,4
484016.0,,,,
484017.0,4742039,내량1길,2.0,4
484018.0,4742039,내량1길,2.0,4
484019.0,4742039,내량1길,2.0,4
484020.0,4742039,내량1길,4.0,4
484021.0,4742040,내량길,2.0,4
484022.0,4742040,내량길,4.0,4
484023.0,4742040,내량길,4.0,4
484024.0,4742040,내량길,4.0,4
484025.0,4742040,내량길,2.0,4
484026.0,,,,
484027.0,4742040,내량길,4.0,4
484028.0,4742040,내량길,2.0,4
484029.0,4742040,내량길,2.0,4
484030.0,4742040,내량길,4.0,4
484031.0,4742040,내량길,4.0,4
484032.0,4742040,내량길,4.0,4
484033.0,4742306,내외량길,2.0,4
484034.0,4742306,내외량길,2.0,4
484035.0,4742306,내외량길,2.0,4
484036.0,4742306,내외량길,2.0,4
484037.0,4742306,내외량길,4.0,4
484038.0,4742306,내외량길,2.0,4
484039.0,4742306,내외량길,2.0,4
484040.0,4742306,내외량길,4.0,4
484041.0,4742306,내외량길,2.0,4
484042.0,4742306,내외량길,2.0,4
484043.0,,,,
484044.0,4742306,내외량길,2.0,4
484045.0,,,,
484046.0,,,,
484047.0,,,,
484048.0,4742306,내외량길,2.0,4
484049.0,4742306,내외량길,4.0,4
484050.0,4742306,내외량길,4.0,4
484051.0,4742306,내외량길,2.0,4
484052.0,,,,
484053.0,4742306,내외량길,2.0,4
484054.0,4742306,내외량길,2.0,4
484055.0,,,,
484056.0,4742306,내외량길,4.0,4
484057.0,4742306,내외량길,4.0,4
484058.0,4742306,내외량길,4.0,4
484059.0,4742306,내외량길,2.0,4
484060.0,4742306,내외량길,2.0,4
484061.0,4742306,내외량길,2.0,4
484062.0,4742306,내외량길,2.0,4
484063.0,4742306,내외량길,2.0,4
484064.0,4742306,내외량길,2.0,4
484065.0,4742306,내외량길,2.0,4
484066.0,4742306,내외량길,4.0,4
484067.0,,,,
484068.0,4742306,내외량길,4.0,4
484069.0,4742306,내외량길,4.0,4
484070.0,4742135,삽령길,2.0,4
484071.0,4742135,삽령길,2.0,4
484072.0,4742135,삽령길,2.0,4
484073.0,4742135,삽령길,2.0,4
484074.0,4742135,삽령길,2.0,4
484075.0,4742135,삽령길,2.0,4
484076.0,4742135,삽령길,7.0,4
484077.0,4742135,삽령길,7.0,4
484078.0,4742135,삽령길,2.0,4
484079.0,4742135,삽령길,2.0,4
484080.0,4742135,삽령길,2.0,4
484081.0,4742135,삽령길,2.0,4
484082.0,4742135,삽령길,2.0,4
484083.0,4742195,외량1길,3.0,4
484084.0,4742195,외량1길,3.0,4
