FTR_IDN,lithoidx,lithoname,K_SOIL
2653,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2770,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2775,Qa,충적층,1.3
2780,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2781,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2783,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2784,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2802,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2807,Qa,충적층,1.3
2808,Qa,충적층,1.3
2810,Qa,충적층,1.3
2811,Qa,충적층,1.3
2812,Qa,충적층,1.3
2813,Qa,충적층,1.3
2815,Qa,충적층,1.3
2816,Qa,충적층,1.3
2817,Qa,충적층,1.3
2818,Qa,충적층,1.3
2819,Qa,충적층,1.3
2820,Qa,충적층,1.3
2821,Qa,충적층,1.3
2822,Qa,충적층,1.3
2823,Qa,충적층,1.3
2824,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2825,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2826,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2827,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2828,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2829,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2830,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2832,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2833,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2834,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2841,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2843,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2844,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2845,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2847,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2848,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2849,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2850,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2851,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2853,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2854,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2855,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2856,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2857,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
2858,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
