FTR_IDN,lithoidx,lithoname,K_SOIL
490041,Km1,경상누층군신동층군낙동층,1.0
490057,Km2,신동층군하산동층,1.0
490058,Km2,신동층군하산동층,1.0
490068,Km1,경상누층군신동층군낙동층,1.0
490098,Km1,경상누층군신동층군낙동층,1.0
490178,Km1,경상누층군신동층군낙동층,1.0
490274,Km2,신동층군하산동층,1.0
490275,Km1,경상누층군신동층군낙동층,1.0
490276,Km1,경상누층군신동층군낙동층,1.0
490277,Km2,신동층군하산동층,1.0
490278,Km2,신동층군하산동층,1.0
490279,Km2,신동층군하산동층,1.0
490280,Km2,신동층군하산동층,1.0
490403,Km2,신동층군하산동층,1.0
490404,Km2,신동층군하산동층,1.0
490443,Km2,신동층군하산동층,1.0
490457,Km2,신동층군하산동층,1.0
490458,Km2,신동층군하산동층,1.0
490459,Km1,경상누층군신동층군낙동층,1.0
490461,Km2,신동층군하산동층,1.0
490463,Km2,신동층군하산동층,1.0
490464,Km1,경상누층군신동층군낙동층,1.0
490465,Km1,경상누층군신동층군낙동층,1.0
490474,Km1,경상누층군신동층군낙동층,1.0
490475,Km2,신동층군하산동층,1.0
490476,Km1,경상누층군신동층군낙동층,1.0
490477,Km2,신동층군하산동층,1.0
490613,Km2,신동층군하산동층,1.0
490774,Km2,신동층군하산동층,1.0
490775,Km2,신동층군하산동층,1.0
490776,Km1,경상누층군신동층군낙동층,1.0
490777,Km1,경상누층군신동층군낙동층,1.0
490962,Km2,신동층군하산동층,1.0
491099,Km1,경상누층군신동층군낙동층,1.0
491100,Km2,신동층군하산동층,1.0
491101,Km1,경상누층군신동층군낙동층,1.0
491102,Km1,경상누층군신동층군낙동층,1.0
491103,Km1,경상누층군신동층군낙동층,1.0
491104,Km1,경상누층군신동층군낙동층,1.0
491105,Km1,경상누층군신동층군낙동층,1.0
491106,Km1,경상누층군신동층군낙동층,1.0
491107,Km2,신동층군하산동층,1.0
491108,Km2,신동층군하산동층,1.0
491109,Km2,신동층군하산동층,1.0
491110,Km2,신동층군하산동층,1.0
491112,Km2,신동층군하산동층,1.0
