repair_id,복구타입,위도,경도,sply_ls_count,valve_count,fire_count,total_infra
0,지상누수,35.8932559,128.6040557,11,0,0,11
1,지상누수,35.8948401,128.6108953,15,4,0,19
2,지상누수,35.890437,128.6039201,20,1,0,21
3,지상누수,35.8986193,128.6041785,9,5,1,15
4,지상누수,35.8954174,128.6096018,17,7,1,25
5,지상누수,35.8960453,128.6009302,17,0,0,17
6,지상누수,35.8979493,128.6042737,19,2,0,21
7,지상누수,35.8952774,128.6101531,19,1,0,20
8,지상누수,35.8938976,128.5983609,13,9,1,23
9,지상누수,35.8937372,128.5991425,10,0,0,10
10,지상누수,35.8966024,128.6001585,9,9,1,19
11,지상누수,35.8944897,128.6018621,12,2,0,14
12,지상누수,35.8971662,128.6015565,17,6,0,23
13,지상누수,35.8947001,128.6021672,20,1,0,21
14,지상누수,35.8895649,128.6026112,18,0,1,19
15,지상누수,35.8936997,128.5981166,21,12,1,34
16,지상누수,35.8925156,128.5967567,6,2,0,8
17,지상누수,35.8927783,128.5970696,8,3,0,11
18,지상누수,35.8935219,128.6098311,12,1,0,13
19,지상누수,35.8957906,128.6108018,13,0,0,13
20,지상누수,35.8952791,128.6085304,21,1,0,22
21,지상누수,35.8955801,128.6084953,22,1,0,23
22,지상누수,35.8962089,128.5996874,19,2,0,21
23,지상누수,35.8981373,128.6052037,15,1,0,16
24,지상누수,35.8983117,128.6039873,16,2,0,18
25,지상누수,35.8977199,128.6035563,19,1,0,20
26,지상누수,35.8902294,128.6026617,15,2,0,17
27,지상누수,35.8915451,128.5961415,8,1,0,9
28,지상누수,35.8898263,128.6010129,8,3,0,11
29,지상누수,35.8910713,128.6032933,13,5,0,18
30,지상누수,35.895853,128.6097435,13,6,0,19
31,지상누수,35.8927823,128.5978525,22,4,0,26
32,지상누수,35.898353,128.604123,14,3,0,17
33,지상누수,35.8962927,128.6107424,15,1,0,16
34,지상누수,35.8931139,128.6092693,13,0,0,13
35,지상누수,35.8971656,128.6002114,19,1,0,20
36,지상누수,35.8955649,128.6090574,19,1,0,20
37,지상누수,35.8970424,128.6098923,16,1,0,17
38,지상누수,35.897813,128.6048295,17,0,0,17
39,지상누수,35.894522,128.5982219,11,0,0,11
40,지상누수,35.8977169,128.6048553,15,0,0,15
41,지상누수,35.893401,128.5981047,14,3,0,17
42,지상누수,35.8952087,128.601595,16,9,1,26
43,지상누수,35.8922299,128.6075294,16,2,0,18
44,지상누수,35.8926598,128.6054077,7,3,1,11
45,지상누수,35.8970424,128.6098923,16,1,0,17
46,지상누수,35.8945985,128.6014333,17,8,1,26
47,지상누수,35.8918995,128.6034968,14,0,0,14
48,지상누수,35.8981031,128.6047695,20,1,0,21
49,지상누수,35.8952774,128.6101531,19,1,0,20
50,지상누수,35.8924787,128.605816,14,5,0,19
51,지상누수,35.8964922,128.6065103,22,4,0,26
52,지상누수,35.8945889,128.5984789,13,4,1,18
53,지상누수,35.8905191,128.6029722,15,2,0,17
54,지상누수,35.8973396,128.5996707,15,2,0,17
55,지상누수,35.8956451,128.6015328,20,5,0,25
56,지상누수,35.8899291,128.6016472,10,0,0,10
57,지상누수,35.8906833,128.6034433,23,2,0,25
58,지상누수,35.8934782,128.6041763,15,5,0,20
59,지상누수,35.8953651,128.6036803,16,0,0,16
60,지상누수,35.8887528,128.6024193,8,3,0,11
61,지상누수,35.8934943,128.6071291,14,0,0,14
62,지상누수,35.8973255,128.598688,14,3,1,18
63,지상누수,35.896862,128.6102019,20,0,0,20
64,지상누수,35.8972847,128.6067763,12,12,0,24
65,지상누수,35.8933568,128.6080768,8,1,0,9
66,지상누수,35.8948698,128.6010136,15,3,1,19
67,지상누수,35.8952936,128.6095987,15,7,0,22
68,지상누수,35.8933378,128.6098866,8,1,0,9
69,지상누수,35.8974779,128.6038346,18,5,0,23
70,지상누수,35.8951696,128.6090785,15,3,0,18
71,지상누수,35.8937156,128.6060161,24,6,0,30
72,지상누수,35.8946232,128.6089947,15,1,0,16
73,지상누수,35.8946812,128.60549,8,1,0,9
74,지상누수,35.8958128,128.6122184,18,4,0,22
75,지상누수,35.8941917,128.6098301,20,1,0,21
76,지상누수,35.8958898,128.6102138,14,0,0,14
77,지상누수,35.8974475,128.6082208,13,4,0,17
78,지상누수,35.8976809,128.6005573,14,3,0,17
79,지상누수,35.8970081,128.6100978,13,0,0,13
80,지상누수,35.8945281,128.6102834,16,2,0,18
81,지상누수,35.8954018,128.6109694,15,4,0,19
82,지상누수,35.897172,128.6035242,13,11,0,24
83,지상누수,35.8958181,128.5988243,15,3,0,18
84,지상누수,35.8963146,128.608057,16,1,0,17
85,지상누수,35.8898416,128.6029412,16,4,0,20
86,지상누수,35.8898967,128.6014117,11,0,0,11
87,지상누수,35.9021058,128.6014762,0,0,0,0
88,지상누수,35.896079,128.6124025,11,0,0,11
89,지상누수,35.8953808,128.6108597,15,0,0,15
90,지상누수,35.8950228,128.6085868,12,1,0,13
91,지상누수,35.8947785,128.6051035,5,8,1,14
92,지상누수,35.8976226,128.6048668,11,2,0,13
93,지상누수,35.8929263,128.6060014,12,3,0,15
94,지상누수,35.8961776,128.6111316,16,5,1,22
95,지상누수,35.8933208,128.6063727,10,0,0,10
96,지상누수,35.8968082,128.5991048,11,6,0,17
97,지상누수,35.8915979,128.5958797,8,5,0,13
98,지상누수,35.8942939,128.6108759,7,0,0,7
99,지상누수,35.8980429,128.6054633,11,3,0,14
100,지상누수,35.8903448,128.603526,17,4,0,21
101,지상누수,35.9015936,128.6040458,0,2,1,3
102,지상누수,35.8963925,128.6093905,14,5,0,19
103,지상누수,35.8948143,128.610655,14,1,0,15
104,지상누수,35.8951427,128.6108632,16,2,0,18
105,지상누수,35.8963992,128.5987661,14,0,0,14
106,지상누수,35.8967871,128.6097942,24,1,0,25
107,지상누수,35.894826,128.6093499,11,7,0,18
108,지상누수,35.8958578,128.6049185,14,3,0,17
109,지상누수,35.8957134,128.611724,8,1,0,9
110,지상누수,35.8899151,128.601287,12,0,0,12
111,지상누수,35.8950204,128.6087327,15,2,0,17
112,지상누수,35.8953002,128.6077841,15,5,0,20
113,지상누수,35.8964062,128.6085155,14,3,0,17
114,지상누수,35.8941286,128.6087402,14,0,0,14
115,지상누수,35.8976136,128.6049804,10,1,0,11
116,지상누수,35.8912066,128.6040328,14,6,1,21
117,지상누수,35.895108,128.6111366,14,4,0,18
118,지상누수,35.8955536,128.6113662,9,6,0,15
119,지상누수,35.8929963,128.6041747,17,0,0,17
120,지상누수,35.8951425,128.6102863,13,2,0,15
121,지상누수,35.8929568,128.5974565,10,3,0,13
122,지상누수,35.8948223,128.6031508,11,4,0,15
123,지상누수,35.8950854,128.6088372,17,4,0,21
124,지상누수,35.8966487,128.6079187,16,3,1,20
125,지상누수,35.8900177,128.6000401,0,0,0,0
126,지상누수,35.8921902,128.5974082,19,1,0,20
127,지상누수,35.8954748,128.604678,15,3,0,18
128,지상누수,35.8935192,128.5982447,21,5,0,26
129,지상누수,35.8971881,128.5999924,15,4,0,19
130,지상누수,35.8946241,128.6021673,21,4,0,25
131,지상누수,35.892652,128.6068654,11,0,0,11
132,지상누수,35.8923529,128.5980818,13,0,0,13
133,지상누수,35.893374,128.5992472,7,0,0,7
134,지상누수,35.8963622,128.6108785,16,1,0,17
135,지상누수,35.897053,128.6060654,14,2,0,16
136,지상누수,35.895344,128.6100321,18,0,0,18
137,지상누수,35.8956355,128.6073607,15,4,0,19
138,지상누수,35.8929585,128.6094276,9,1,0,10
139,지상누수,35.8960729,128.6121391,13,7,0,20
140,지상누수,35.8947157,128.6090842,15,3,0,18
141,지상누수,35.8975146,128.6045759,18,3,1,22
142,지상누수,35.8948747,128.6014267,19,11,1,31
143,지상누수,35.8965185,128.6077883,18,5,1,24
144,지상누수,35.8938663,128.6102529,10,2,0,12
145,지상누수,35.8912764,128.5969392,15,0,0,15
146,지상누수,35.901451,128.6043367,0,1,0,1
147,지상누수,35.8968513,128.6079403,12,0,1,13
148,지상누수,35.8948146,128.609921,13,2,1,16
149,지상누수,35.8957106,128.6087856,17,0,0,17
150,지상누수,35.890979,128.6032946,18,5,0,23
151,지상누수,35.8952327,128.6046783,13,3,0,16
152,지상누수,35.8943617,128.5993061,10,4,0,14
153,지상누수,35.8960952,128.6100066,15,0,0,15
154,지상누수,35.8932193,128.6093998,13,0,0,13
155,지상누수,35.8966337,128.6042461,15,0,0,15
156,지상누수,35.8975383,128.6066399,15,9,0,24
157,지상누수,35.8902805,128.6040445,18,0,0,18
158,지상누수,35.8975568,128.6076141,12,5,0,17
159,지상누수,35.8955517,128.6118181,9,0,0,9
160,지상누수,35.8956685,128.6028173,13,11,0,24
161,지상누수,35.8941155,128.607839,10,1,0,11
162,지상누수,35.8948698,128.6010136,15,3,1,19
163,지상누수,35.8963045,128.6079341,22,3,0,25
164,지상누수,35.8948747,128.6014267,19,11,1,31
165,지상누수,35.8965185,128.6077883,18,5,1,24
166,지상누수,35.8949517,128.5991657,11,1,0,12
167,지상누수,35.8968916,128.6001731,13,8,0,21
168,지상누수,35.8970647,128.6098819,14,2,0,16
169,지상누수,35.8941678,128.6048861,15,0,0,15
170,지상누수,35.897077,128.6077305,14,0,0,14
171,지상누수,35.8982773,128.6052341,17,1,0,18
172,지상누수,35.8930297,128.5985357,13,0,0,13
173,지상누수,35.8921317,128.6057953,8,1,0,9
174,지상누수,35.8930283,128.605446,15,0,0,15
175,지상누수,35.8921276,128.5969563,8,1,0,9
176,지상누수,35.8964225,128.6083507,19,4,0,23
177,지상누수,35.8959332,128.6097411,13,8,0,21
178,지상누수,35.8943311,128.6089668,12,0,0,12
179,지상누수,35.8958428,128.6037225,15,1,0,16
180,지상누수,35.897077,128.6077305,14,0,0,14
181,지상누수,35.8963248,128.6004439,16,1,0,17
182,지상누수,35.8938019,128.6078556,15,4,0,19
183,지상누수,35.8954002,128.6107026,12,0,0,12
184,지상누수,35.8974345,128.5983333,4,1,1,6
185,지상누수,35.8917529,128.6062886,14,0,0,14
186,지상누수,35.8965107,128.598511,13,0,0,13
187,지상누수,35.8927563,128.6086165,13,3,0,16
188,지상누수,35.8926445,128.6060532,16,6,0,22
189,지상누수,35.8948437,128.6038297,9,4,0,13
190,지상누수,35.8967631,128.6092371,16,5,0,21
191,지상누수,35.8925102,128.6007659,0,0,0,0
192,지상누수,35.8961747,128.6118559,11,6,1,18
193,지상누수,35.8929279,128.6061233,12,3,0,15
194,지상누수,35.8903724,128.6026803,9,2,0,11
195,지상누수,35.8984009,128.6055977,16,0,0,16
196,지상누수,35.8968395,128.6064995,20,2,0,22
197,지상누수,35.8956008,128.6100887,16,1,0,17
198,지상누수,35.8982769,128.605643,13,2,0,15
199,지상누수,35.8930297,128.5985357,13,0,0,13
200,지상누수,35.8949622,128.5982041,19,4,0,23
201,지상누수,35.8966371,128.5993274,13,6,0,19
202,지상누수,35.8950317,128.6061481,17,4,0,21
203,지상누수,35.8952274,128.598819,20,1,0,21
204,지상누수,35.8957788,128.6102073,13,0,0,13
205,지상누수,35.8956008,128.6100887,16,1,0,17
206,지상누수,35.8940868,128.6042889,17,0,0,17
207,지상누수,35.8913008,128.6057162,14,3,0,17
208,지상누수,35.8929263,128.6060014,12,3,0,15
209,지상누수,35.8938755,128.6048677,18,0,0,18
210,지상누수,35.8930714,128.6079041,12,3,0,15
211,지상누수,35.8952274,128.598819,20,1,0,21
212,지상누수,35.8923093,128.6083009,12,5,0,17
213,지상누수,35.8952774,128.6101531,19,1,0,20
214,지상누수,35.8921406,128.6034955,12,0,0,12
215,지상누수,35.8942895,128.6105837,11,0,0,11
216,지상누수,35.894986,128.6116735,9,3,0,12
217,지상누수,35.895862,128.6082629,15,2,0,17
218,지상누수,35.8970059,128.6089159,19,2,0,21
219,지상누수,35.8947789,128.6033482,10,2,0,12
220,지상누수,35.8924255,128.6048535,12,4,0,16
221,지상누수,35.8950531,128.6048475,9,9,1,19
222,지상누수,35.894484,128.6087472,15,0,0,15
223,지상누수,35.8917042,128.5975066,20,1,0,21
224,지상누수,35.895589,128.6002707,22,2,1,25
225,지상누수,35.8939193,128.5991765,3,0,0,3
226,지상누수,35.8901454,128.6032536,17,1,0,18
227,지상누수,35.8912155,128.6042629,13,13,1,27
228,지상누수,35.8971507,128.6089729,16,2,0,18
229,지상누수,35.8929917,128.6067571,10,0,0,10
230,지상누수,35.8958128,128.6122184,18,4,0,22
231,지상누수,35.8944692,128.5984373,15,4,1,20
232,지상누수,35.8959434,128.6082485,16,2,0,18
233,지상누수,35.8954002,128.6107026,12,0,0,12
234,지상누수,35.8965336,128.5996083,8,5,0,13
235,지상누수,35.8951476,128.6104596,14,1,0,15
236,지상누수,35.8944829,128.6086036,15,0,0,15
237,지상누수,35.8950431,128.5978991,9,0,0,9
238,지상누수,35.8919762,128.6057557,8,1,0,9
239,지상누수,35.8924384,128.6066901,8,0,1,9
240,지상누수,35.8926632,128.6087565,13,4,0,17
241,지상누수,35.8968874,128.6031159,15,3,0,18
242,지상누수,35.8947138,128.6112679,11,8,0,19
243,지상누수,35.8955456,128.6022247,20,4,0,24
244,지상누수,35.8952274,128.598819,20,1,0,21
245,지상누수,35.8905587,128.6027877,17,2,0,19
246,지상누수,35.8948435,128.6078796,11,6,2,19
247,지상누수,35.8921334,128.6036122,14,0,0,14
248,지상누수,35.8901998,128.6039509,18,0,0,18
249,지상누수,35.8950004,128.6102705,15,3,0,18
250,지상누수,35.8918433,128.6064363,13,0,0,13
251,지상누수,35.8942835,128.6062351,10,0,0,10
252,지상누수,35.8963222,128.6016409,17,5,0,22
253,지상누수,35.8950986,128.6053886,11,6,1,18
254,지상누수,35.8892791,128.6026847,16,0,0,16
255,지상누수,35.8978484,128.6039147,22,1,0,23
256,지상누수,35.8959807,128.6123805,14,1,0,15
257,지상누수,35.8906001,128.6050173,10,2,1,13
258,지상누수,35.8947208,128.6107649,17,2,0,19
259,지상누수,35.8903335,128.6037453,22,1,0,23
260,지상누수,35.8937121,128.6087386,9,3,0,12
261,지상누수,35.8944942,128.6004553,13,4,1,18
262,지상누수,35.8943564,128.6046949,17,0,0,17
263,지상누수,35.888788,128.6021374,14,2,0,16
264,지상누수,35.8921106,128.6071623,11,0,0,11
265,지상누수,35.8924261,128.6064154,12,3,1,16
266,지상누수,35.8931034,128.5975124,4,4,0,8
267,지상누수,35.8933408,128.6062061,17,0,0,17
268,지상누수,35.8935898,128.6044517,19,6,0,25
269,지상누수,35.8940868,128.6042889,17,0,0,17
270,지상누수,35.8944692,128.5984373,15,4,1,20
271,지상누수,35.8976809,128.6005573,14,3,0,17
272,지상누수,35.8948508,128.6084893,14,1,0,15
273,지상누수,35.8937121,128.6087386,9,3,0,12
274,지상누수,35.8899469,128.6035962,17,1,0,18
275,지상누수,35.892658,128.597828,26,2,0,28
276,지상누수,35.8941288,128.5978432,13,0,0,13
277,지상누수,35.8963482,128.6060171,10,1,0,11
278,지상누수,35.8940868,128.6042889,17,0,0,17
279,지상누수,35.8905349,128.6033322,23,4,0,27
280,지상누수,35.8919494,128.6032447,13,0,0,13
281,지상누수,35.8947138,128.6112679,11,8,0,19
282,지상누수,35.8974475,128.6082208,13,4,0,17
283,지상누수,35.8939062,128.6061585,19,0,0,19
284,지상누수,35.8967216,128.6108766,10,3,0,13
285,지상누수,35.894585,128.6053741,10,1,0,11
286,지상누수,35.8938053,128.609037,14,3,0,17
287,지상누수,35.8952075,128.610789,12,1,0,13
288,지상누수,35.8948166,128.6104906,11,2,0,13
289,지상누수,35.8961785,128.600401,13,1,0,14
290,지상누수,35.8974475,128.6082208,13,4,0,17
291,지상누수,35.8917398,128.606704,16,0,0,16
292,지상누수,35.895344,128.6100321,18,0,0,18
293,지상누수,35.8980051,128.6067201,13,0,0,13
294,지상누수,35.8964534,128.607266,18,0,0,18
295,지상누수,35.8899349,128.6025993,19,5,0,24
296,지상누수,35.8942875,128.6098293,17,0,0,17
297,지상누수,35.8961893,128.6011194,15,0,0,15
298,지상누수,35.894859,128.6107751,15,3,0,18
299,지상누수,35.8948166,128.6104906,11,2,0,13
300,지상누수,35.8975383,128.6066399,15,9,0,24
301,지상누수,35.8952507,128.598274,12,0,0,12
302,지상누수,35.8944278,128.6099339,19,2,0,21
303,지상누수,35.8935602,128.5984186,17,5,0,22
304,지상누수,35.8940889,128.6099565,18,1,0,19
305,지상누수,35.8976705,128.6018008,22,5,0,27
306,지상누수,35.8950436,128.6055463,13,5,1,19
307,지상누수,35.8914124,128.5968645,16,0,0,16
308,지상누수,35.8965721,128.6112018,12,4,0,16
309,지상누수,35.8922664,128.6035592,12,5,0,17
310,지상누수,35.8909028,128.6040928,16,5,0,21
311,지상누수,35.8918834,128.6050608,12,1,0,13
312,지상누수,35.890609,128.6032882,24,4,0,28
313,지상누수,35.8963635,128.6005926,13,1,0,14
314,지상누수,35.8963992,128.5987661,14,0,0,14
315,지상누수,35.8970288,128.6009761,20,1,0,21
316,지상누수,35.8947855,128.6115404,6,7,0,13
317,지상누수,35.8935864,128.6046368,16,6,0,22
318,지상누수,35.8970207,128.6069701,14,0,0,14
319,지상누수,35.8920494,128.6057983,10,1,0,11
320,지상누수,35.8968985,128.5996514,14,3,0,17
321,지상누수,35.890267,128.6038772,18,0,0,18
322,지상누수,35.8958679,128.6034297,12,1,0,13
323,지상누수,35.8968767,128.6080844,14,0,0,14
324,지상누수,35.8964105,128.5988983,15,2,0,17
325,지상누수,35.8927626,128.6040563,9,2,1,12
326,지상누수,35.8919607,128.5968657,9,0,0,9
327,지상누수,35.8964988,128.6085216,15,4,0,19
328,지상누수,35.8957541,128.612599,12,4,1,17
329,지상누수,35.8959285,128.612761,7,4,0,11
330,지상누수,35.8945009,128.6106126,13,0,0,13
331,지상누수,35.8930396,128.6087085,10,2,0,12
332,지상누수,35.895344,128.6100321,18,0,0,18
333,지상누수,35.8959559,128.6044328,17,7,0,24
334,지상누수,35.8966439,128.6027469,23,4,0,27
335,지상누수,35.8959285,128.612761,7,4,0,11
336,지상누수,35.8940245,128.6093829,17,0,0,17
337,지상누수,35.89267,128.6042972,13,3,1,17
338,지상누수,35.8950104,128.610865,16,2,0,18
339,지상누수,35.8974142,128.606475,16,16,0,32
340,지상누수,35.8952943,128.6093955,17,8,0,25
341,지상누수,35.8921334,128.6036122,14,0,0,14
342,지상누수,35.8942994,128.6059823,13,0,0,13
343,지상누수,35.8917172,128.6032125,17,0,0,17
344,지상누수,35.8967871,128.6097942,24,1,0,25
345,지상누수,35.8980531,128.6052826,13,4,0,17
346,지상누수,35.8980324,128.6046759,18,0,0,18
347,지상누수,35.8966439,128.6027469,23,4,0,27
348,지상누수,35.8938019,128.6078556,15,4,0,19
349,지상누수,35.8952054,128.597639,1,0,0,1
350,지상누수,35.8967871,128.6097942,24,1,0,25
351,지상누수,35.8980786,128.6072778,16,4,0,20
352,지상누수,35.8981994,128.60719,11,3,0,14
