repair_id,복구타입,위도,경도,주소,작업일시,구군
0,지상누수,35.8932559,128.6040557,북구 대구체육관로9길 14 (산격동) / 1430-35번지,2021-01-15 09:40:00,북구
1,지상누수,35.8948401,128.6108953,북구 산격로10길 52 (산격동) / 1308-5번지,2021-01-18 15:40:00,북구
2,지상누수,35.890437,128.6039201,북구 연암로4길 52-4 (산격동) / 1498-136번지,2020-10-13 18:30:00,북구
3,지상누수,35.8986193,128.6041785,북구 연암공원로20길 30 (산격동) / 1197-86번지,2020-10-27 13:20:00,북구
4,지상누수,35.8954174,128.6096018,북구 대학로25길 25 (산격동) / 1307-4번지,2021-01-15 14:00:00,북구
5,지상누수,35.8960453,128.6009302,북구 산격로11길 40-1 (산격동) / 1161-55번지,2021-01-09 16:00:00,북구
6,지상누수,35.8979493,128.6042737,북구 연암공원로20길 30-17 (산격동) / 1197-81번지,2020-10-28 15:33:00,북구
7,지상누수,35.8952774,128.6101531,북구 대학로25길 17-6 (산격동) / 1307-59번지,2018-12-21 17:10:00,북구
8,지상누수,35.8938976,128.5983609,"북구 연암공원로 36 (산격동,키메라 pc(당구장)) / 1128-1번지",2018-11-27 11:50:00,북구
9,지상누수,35.8937372,128.5991425,북구 연암공원로8길 7-1 (산격동) / 1106-1번지,2019-01-10 13:00:00,북구
10,지상누수,35.8966024,128.6001585,"북구 연암공원로 70 (산격동,하나로마트) / 1163-4번지",2019-05-15 18:00:00,북구
11,지상누수,35.8944897,128.6018621,북구 연암공원로10길 31 (산격동) / 1438-7번지,2018-12-10 11:50:00,북구
12,지상누수,35.8971662,128.6015565,"북구 산격로13길 35-11 (산격동,로타리수퍼) / 1186-22번지",2018-07-11 16:00:00,북구
13,지상누수,35.8947001,128.6021672,북구 연암공원로10길 33-5 (산격동) / 1437-82번지,2019-01-29 17:00:00,북구
14,지상누수,35.8895649,128.6026112,북구 연암로4길 22-6 (산격동) / 1498-69번지,2018-07-08 14:30:00,북구
15,지상누수,35.8936997,128.5981166,"북구 연암공원로 32 (산격동,한려수도횟집) / 1102-4번지",2019-02-15 15:00:00,북구
16,지상누수,35.8925156,128.5967567,"북구 연암공원로 14-1 (산격동,삼성수퍼) / 1048-1번지",2019-02-08 13:00:00,북구
17,지상누수,35.8927783,128.5970696,"북구 연암공원로 18 (산격동,대경화장품) / 1065-5번지",2019-02-11 17:40:00,북구
18,지상누수,35.8935219,128.6098311,"북구 대학로 91-3 (산격동,뚝배기순대) / 1332-5번지",2020-04-28 15:32:00,북구
19,지상누수,35.8957906,128.6108018,북구 산격로14길 52-1 (산격동) / 1306-57번지,2020-08-11 12:41:00,북구
20,지상누수,35.8952791,128.6085304,북구 대학로25길 33-12 (산격동) / 1312-17번지,2020-03-11 16:41:00,북구
21,지상누수,35.8955801,128.6084953,북구 대학로25길 36-1 (산격동) / 1311-73번지,2019-12-24 17:23:00,북구
22,지상누수,35.8962089,128.5996874,"북구 연암공원로 64, 2016.12.06.급수중지 연장 (산격동) / 1164-9번지",2019-12-17 13:00:00,북구
23,지상누수,35.8981373,128.6052037,북구 연암공원로32길 56-6 (산격동) / 1222-38번지,2020-01-11 12:00:00,북구
24,지상누수,35.8983117,128.6039873,북구 연암공원로20길 26-3 (산격동) / 1190-4번지,2019-12-03 14:59:00,북구
25,지상누수,35.8977199,128.6035563,북구 연암공원로20길 20-7 (산격동) / 1188-50번지,2019-08-26 14:12:00,북구
26,지상누수,35.8902294,128.6026617,북구 대구체육관로4길 20 (산격동) / 1404-13번지,2019-07-17 13:00:00,북구
27,지상누수,35.8915451,128.5961415,북구 연암로 68-3 (산격동) / 980번지,2019-06-04 12:00:00,북구
28,지상누수,35.8898263,128.6010129,북구 연암로 18-9 (산격동) / 1441-51번지,2019-06-09 18:00:00,북구
29,지상누수,35.8910713,128.6032933,북구 산격로1길 31 (산격동) / 1404-148번지,2019-08-10 17:35:00,북구
30,지상누수,35.895853,128.6097435,북구 산격동 1306-40,2021-11-19 12:30:00,북구
31,지상누수,35.8927823,128.5978525,북구 연암공원로 22-13 (산격동) / 1099-51번지,2021-07-22 11:30:00,북구
32,지상누수,35.898353,128.604123,북구 연암공원로20길 30-8 (산격동) / 1197-89번지,2021-07-31 17:30:00,북구
33,지상누수,35.8962927,128.6107424,북구 산격동 1268-11,2022-02-22 18:00:00,북구
34,지상누수,35.8931139,128.6092693,"북구 대학로23길 33 (산격동,게임마트) / 1336-3번지",2021-02-02 16:25:00,북구
35,지상누수,35.8971656,128.6002114,북구 산격동 1183-16,2021-12-31 13:30:00,북구
36,지상누수,35.8955649,128.6090574,북구 산격동 1311-69,2022-05-16 18:00:00,북구
37,지상누수,35.8970424,128.6098923,북구 산격동 1266-1 (주)희성홀딩스,2022-05-23 13:00:00,북구
38,지상누수,35.897813,128.6048295,북구 연암공원로32길 62-10 (산격동) / 1197-32번지,2020-01-17 17:00:00,북구
39,지상누수,35.894522,128.5982219,북구 연암공원로7길 2-1 (산격동) / 1139-5번지,2020-05-22 18:11:00,북구
40,지상누수,35.8977169,128.6048553,북구 연암공원로32길 62-6 (산격동) / 1197-43번지,2021-07-26 17:30:00,북구
41,지상누수,35.893401,128.5981047,북구 산격동 1102-7,2021-11-04 13:00:00,북구
42,지상누수,35.8952087,128.601595,북구 산격로서9길 12 (산격동) / 1437-61번지,2019-12-30 16:00:00,북구
43,지상누수,35.8922299,128.6075294,"북구 대학로13길 5 (산격동,상따리) / 1414-58번지",2021-02-16 17:15:00,북구
44,지상누수,35.8926598,128.6054077,"북구 산격로 24, 수펴 (산격동) / 1413-15번지",2021-03-26 18:00:00,북구
45,지상누수,35.8970424,128.6098923,북구 산격동 1266-1 (주)희성홀딩스,2022-05-26 14:00:00,북구
46,지상누수,35.8945985,128.6014333,북구 산격동 1436-7,2022-02-28 15:30:00,북구
47,지상누수,35.8918995,128.6034968,북구 산격동 1497-6,2022-05-31 16:00:00,북구
48,지상누수,35.8981031,128.6047695,북구 산격동 1197-107,2022-02-24 18:30:00,북구
49,지상누수,35.8952774,128.6101531,북구 대학로25길 17-6 (산격동) / 1307-59번지,2021-07-03 14:25:00,북구
50,지상누수,35.8924787,128.605816,"북구 산격로6길 6-1 (산격동,성은청과) / 1418번지",2021-01-18 13:00:00,북구
