cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,구군,대표_주소
2309,41,156.9,0.0,680.0,2007-10-05 ~ 2022-05-31,수성구,수성구 상록로2길 77 (범어동) / 29-1번지
280,34,95.8,0.0,394.0,2010-05-11 ~ 2018-10-15,중구,"중구 국채보상로149길 50, 동인아파트 3-55 (동인동3가) / 228번지"
360,33,134.6,0.0,769.0,2009-07-27 ~ 2021-05-26,동구,동구 신암남로 11 (신암동) / 187-5번지
23,33,149.4,0.0,1320.0,2008-11-27 ~ 2020-10-23,북구,북구 칠성남로14길 1 (고성동1가) / 50-60번지
7240,32,87.6,0.0,408.0,2009-03-10 ~ 2016-03-05,동구,"동구 송라로28길 28, 71아파트 6동 12호 (신암동) / 181-1번지"
4432,29,136.8,0.0,667.0,2008-06-05 ~ 2015-12-10,서구,"서구 달서로55길 16-3, 지하누수-용역 (원대동3가) / 1385-11번지"
2806,29,172.0,6.0,725.0,2007-12-11 ~ 2021-03-02,달성군,달성군 다사읍  달구벌대로126길 10-38 / 매곡리 1242번지
4054,28,138.0,0.0,477.0,2009-11-30 ~ 2018-08-20,서구,서구 팔달로46길 25-7 (원대동3가) / 1415-35번지
5556,27,209.6,0.0,1397.0,2007-12-06 ~ 2021-09-25,남구,남구 명덕로42길 55-15 (대명동) / 2013-479번지
4039,27,137.4,1.0,577.0,2009-07-10 ~ 2017-06-16,중구,중구 태평로6길 42-7 (달성동) / 208-5번지
3727,26,168.3,2.0,693.0,2008-10-13 ~ 2018-06-27,중구,중구 남산로15길 8-5 (남산동) / 106-18번지
1005,26,179.4,0.0,670.0,2009-04-03 ~ 2021-01-26,중구,"중구 태평로 56, 도원아파트 3-17 (도원동) / 3-5번지"
50,26,203.5,1.0,1023.0,2009-03-18 ~ 2020-12-08,중구,남구 양지로3길 79 (대명동) / 2295-21번지
234,26,183.6,0.0,525.0,2009-01-30 ~ 2020-09-01,달서구,달서구 명덕로2길 30 (두류동) / 1216-1번지
