중복유형,접수번호,중복횟수,파일명
파일 간 중복,20220522-0139,2,양쪽 파일
파일 간 중복,20220526-0082,2,양쪽 파일
파일 간 중복,20220613-0075,2,양쪽 파일
파일 간 중복,20220303-0055,2,양쪽 파일
파일 간 중복,20220117-0498,2,양쪽 파일
파일 간 중복,20220426-0031,2,양쪽 파일
파일 간 중복,20220213-0004,2,양쪽 파일
파일 간 중복,20220330-0014,2,양쪽 파일
파일 간 중복,20220613-0077,2,양쪽 파일
파일 간 중복,20220524-0006,2,양쪽 파일
파일 간 중복,20220711-0239,2,양쪽 파일
파일 간 중복,20220106-0361,2,양쪽 파일
파일 간 중복,20220207-0040,2,양쪽 파일
파일 간 중복,20220303-0052,2,양쪽 파일
파일 간 중복,20220420-0352,2,양쪽 파일
파일 간 중복,20220609-0081,2,양쪽 파일
파일 간 중복,20220112-0012,2,양쪽 파일
파일 간 중복,20220711-0241,2,양쪽 파일
파일 간 중복,20220207-0031,2,양쪽 파일
파일 간 중복,20220616-0276,2,양쪽 파일
파일 간 중복,20220725-0240,2,양쪽 파일
파일 간 중복,20220528-0020,2,양쪽 파일
파일 간 중복,20220416-0012,2,양쪽 파일
파일 간 중복,20220516-0006,2,양쪽 파일
파일 간 중복,20220704-0328,2,양쪽 파일
파일 간 중복,20220429-0545,2,양쪽 파일
파일 간 중복,20220609-0083,2,양쪽 파일
파일 간 중복,20220531-0280,2,양쪽 파일
파일 간 중복,20220222-0428,2,양쪽 파일
파일 간 중복,20220228-0517,2,양쪽 파일
파일 간 중복,20220613-0081,2,양쪽 파일
파일 간 중복,20220405-0240,2,양쪽 파일
파일 간 중복,20220629-0297,2,양쪽 파일
파일 간 중복,20220224-0576,2,양쪽 파일
파일 간 중복,20220620-0419,2,양쪽 파일
파일 간 중복,20220207-0037,2,양쪽 파일
파일 간 중복,20220704-0539,2,양쪽 파일
파일 간 중복,20220218-0217,2,양쪽 파일
파일 간 중복,20220711-0567,2,양쪽 파일
파일 간 중복,20220621-0386,2,양쪽 파일
파일 간 중복,20220523-0018,2,양쪽 파일
