cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,작업타입_패턴,구군,대표_주소
6633,2,0.0,0,0,2008-11-25 ~ 2008-11-25,지상누수 → 기타공사,달성군,달성군 다사읍  서재로18길 6 / 서재리 424-2번
19632,2,0.0,0,0,2016-05-16 ~ 2016-05-16,기타공사 → 지하누수,달성군,달성군 화원읍 성산리 719-5
6684,2,0.0,0,0,2008-11-01 ~ 2008-11-01,지상누수 → 지상누수,북구,북구 호암로 20 (칠성동2가) / 127번지
6683,2,0.0,0,0,2008-11-04 ~ 2008-11-04,지상누수 → 기타공사,동구,동구 팔공로 333-4 (봉무동) / 960번지
18605,2,0.0,0,0,2015-12-16 ~ 2015-12-17,지하누수 → 지하누수,달서구,달서구 상인동 1332-299
6679,2,0.0,0,0,2008-11-28 ~ 2008-11-28,지상누수 → 기타공사,동구,동구 율하동로17길 30 (율하동) / 969-11번지
6659,2,0.0,0,0,2008-11-12 ~ 2008-11-12,지상누수 → 기타공사,동구,동구 동촌로 300 (방촌동) / 1113-26번지
19682,2,0.0,0,0,2008-11-20 ~ 2008-11-20,지하누수 → 기타공사,동구,동구 동부로 42-1 (신천동) / 502-4번지
13375,2,0.0,0,0,2014-11-04 ~ 2014-11-05,지상누수 → 지상누수,달성군,달성군 하빈면 봉촌리 44
6642,2,0.0,0,0,2008-11-06 ~ 2008-11-06,지상누수 → 기타공사,동구,동구 장등로 86 (신천동) / 81-2번지
15313,2,0.0,0,0,2016-05-24 ~ 2016-05-25,지상누수 → 지하누수,남구,"남구 명덕로40길 64 (대명동,정우하이츠) / 179"
19695,2,0.0,0,0,2011-03-31 ~ 2011-04-01,기타공사 → 지하누수,동구,동구 동북로 446-1 (신암동) / 365-3번지
13321,2,0.0,0,0,2014-07-30 ~ 2014-07-31,지상누수 → 지상누수,북구,북구 복현로 18-1 (복현동) / 361-32번지
6621,2,0.0,0,0,2008-11-20 ~ 2008-11-20,지상누수 → 지하누수,북구,북구 대학로 20-4 (산격동) / 1382-62번지
6616,2,0.0,0,0,2008-11-21 ~ 2008-11-21,지상누수 → 기타공사,달서구,달서구 송현로16길 100 (송현동) / 1923-6번
6614,2,0.0,0,0,2008-11-26 ~ 2008-11-26,지상누수 → 기타공사,동구,"동구 반야월로6길 26-1, 예만교회 (용계동) / 7"
6612,2,0.0,0,0,2008-11-19 ~ 2008-11-19,지상누수 → 기타공사,동구,"동구 팔공로209길 15, 만본손칼국수 (백안동) / "
6611,2,0.0,0,0,2008-11-14 ~ 2008-11-14,지상누수 → 기타공사,동구,"동구 동부로30길 48, 대구은행 (신천동) / 337"
7070,2,0.0,0,0,2008-11-08 ~ 2008-11-08,지상누수 → 기타공사,동구,"동구 팔공로 376, 파군제 주유소 (봉무동) / 14"
13188,2,0.0,0,0,2013-12-30 ~ 2013-12-30,지상누수 → 기타공사,달서구,"달서구 월배로 145 (진천동,앞) / 51-7번지"
6688,2,0.0,0,0,2008-11-27 ~ 2008-11-27,지상누수 → 지상누수,북구,"북구 노곡로 20-4, 미헤어 (노곡동) / 253번지"
13529,2,0.0,0,0,2015-01-19 ~ 2015-01-19,지상누수 → 지상누수,달서구,달서구 상원로3길 42 (상인동) / 1458-40번지
18317,2,0.0,0,0,2009-11-05 ~ 2009-11-05,지하누수 → 기타공사,남구,남구 양지북길 179-7 (대명동) / 2138-20번
8944,2,0.0,0,0,2010-11-10 ~ 2010-11-11,기타공사 → 지상누수,남구,남구 장전1길 217-2 (대명동) / 1672-3번지
6822,2,0.0,0,0,2008-11-13 ~ 2008-11-13,지상누수 → 기타공사,달서구,달서구 야외음악당로39서길 91-30 (두류동) / 6
15164,2,0.0,0,0,2016-06-10 ~ 2016-06-10,지상누수 → 기타공사,달서구,달서구 선원로15안길 35 (신당동) / 1677-6번
6820,2,0.0,0,0,2008-11-21 ~ 2008-11-21,지상누수 → 기타공사,동구,동구 화랑로25길 32-8 (효목동) / 623-9번지
7035,2,0.0,0,0,2008-11-14 ~ 2008-11-14,지상누수 → 기타공사,동구,동구 송라로3길 31 (신천동) / 670-9번지
19501,2,0.0,0,0,2012-04-16 ~ 2012-04-16,지하누수 → 지하누수,달성군,달성군 현풍면  현풍로10길 38-9 / 원교리 31-
6815,2,0.0,0,0,2009-01-26 ~ 2009-01-26,지상누수 → 지상누수,동구,"동구 반야월로 143-1, 통나무집 (신기동) / 14"
1146,2,0.0,0,0,2019-11-27 ~ 2019-11-27,지상누수 → 기타공사,중구,중구 명덕로 157 (남산동) / 2117-13번지
16036,2,0.0,0,0,2017-06-26 ~ 2017-06-27,기타공사 → 지상누수,서구,서구 평리동 1423-2
6801,2,0.0,0,0,2008-11-20 ~ 2008-11-20,지상누수 → 지상누수,북구,북구 학정로 47 (태전동) / 785번지
6569,2,0.0,0,0,2008-11-13 ~ 2008-11-13,지상누수 → 기타공사,동구,동구 아양로7길 19-14 (신암동) / 722-300
16078,2,0.0,0,0,2017-06-28 ~ 2017-06-28,지상누수 → 지하누수,달성군,달성군 현풍면  현풍동로13길 32-10 / 중리 14
6761,2,0.0,0,0,2008-03-27 ~ 2008-03-28,지상누수 → 지하누수,남구,남구 대명서7길 70-1 (대명동) / 1182-17번
7069,2,0.0,0,0,2008-11-11 ~ 2008-11-11,지상누수 → 기타공사,달서구,달서구 두류길 61 (두류동) / 1212-12번지
3481,3,0.0,0,0,2008-11-03 ~ 2008-11-03,지하누수 → 지하누수 → 지상누수,북구,북구 검단동로 26-5 (검단동) / 749-5번지
6717,2,0.0,0,0,2008-11-27 ~ 2008-11-27,지상누수 → 기타공사,동구,동구 효동로15길 6 (효목동) / 134-1번지
21848,2,0.0,0,0,2011-06-02 ~ 2011-06-03,기타공사 → 지하누수,중구,"중구 동덕로 7, 청운주유소 (대봉동) / 188-9번"
6698,2,0.0,0,0,2008-11-27 ~ 2008-11-27,지상누수 → 지상누수,북구,북구 경대로23길 79 (복현동) / 606-34번지
660,2,0.0,0,0,2020-05-06 ~ 2020-05-06,지상누수 → 지하누수,수성구,수성구 지범로 43-13 (지산동) / 1160-7번지
2317,2,0.0,0,0,2021-10-09 ~ 2021-10-09,지상누수 → 지하누수,남구,남구 봉덕동 1007-11
3497,3,0.0,0,0,2008-11-21 ~ 2008-11-21,지상누수 → 기타공사 → 지상누수,동구,동구 아양로21길 12-1 (신암동) / 575-56번
22156,2,0.0,0,0,2021-04-26 ~ 2021-04-26,기타공사 → 기타공사,달서구,달서구 갈산동 981
6826,2,0.0,0,0,2008-11-22 ~ 2008-11-22,지상누수 → 기타공사,달성군,달성군 하빈면  하빈로 442-22 / 현내리 510-
9277,2,0.0,0,0,2010-06-16 ~ 2010-06-16,기타공사 → 지상누수,동구,동구 괴전동 163-22
6565,2,0.0,0,0,2008-11-15 ~ 2008-11-15,지상누수 → 기타공사,달서구,달서구 달구벌대로199길 68-9 (호산동) / 220
9728,2,0.0,0,0,2011-02-07 ~ 2011-02-08,지상누수 → 지상누수,북구,북구 침산로40길 3-36 (침산동) / 557-151
16633,2,0.0,0,0,2018-02-09 ~ 2018-02-10,기타공사 → 지상누수,수성구,수성구 범어동 436-18
230,2,0.0,0,0,2020-12-02 ~ 2020-12-03,지상누수 → 지상누수,동구,동구 신천동 847-9
7084,2,0.0,0,0,2008-11-04 ~ 2008-11-04,지상누수 → 기타공사,동구,동구 팔공로 337 (봉무동) / 958번지
