target_ftr_idn,connected_ftr_idn,connected_orig_ftr,connection_type,distance,cnt_jnt_contribution,connected_length,connection_point_x,connection_point_y
178213_18,178213_16,178213,t_junction,0.0004790997927677111,1,1.6046964906819219,1099613.0694639257,1766496.3483802848
178213_18,4795_1,4795,t_junction,0.000317713169989169,1,2.999276940326282,1099612.4110415094,1766497.1346851264
178213_18,178213_14,178213,t_junction,0.0004821454591003246,1,2.527486470865124,1099610.7883804392,1766499.0725083598
178213_18,178213_13,178213,t_junction,0.0006353597832879027,1,3.421142824926529,1099608.5919867698,1766501.6954976954
178213_18,178213_8,178213,t_junction,0.000207955857794257,1,1.1308902345291272,1099600.7704295604,1766511.0362007911
178213_18,178213_7,178213,t_junction,0.00016851381051781662,1,1.7368215232548956,1099599.6553800004,1766512.367821413
178213_18,106340_1,106340,t_junction,0.0007683052642846964,1,10.554005921538868,1099595.5124966595,1766517.3153583563
178213_18,177125_1,177125,t_junction,0.0002673876943520451,1,12.615583582495741,1099601.496467694,1766510.1691475357
178213_18,143991_1,143991,t_junction,0.0006457211445823974,1,9.838706532937316,1099594.6375455742,1766518.360247257
178213_18,178213_5,178213,t_junction,0.0007683052642846964,1,1.8519982368790417,1099595.5124966595,1766517.3153583563
178213_18,178213_4,178213,t_junction,0.0006457211445823974,1,1.362839767217261,1099594.6375455742,1766518.360247257
178213_18,178213_3,178213,t_junction,0.0005426180984911664,1,0.9405251719778751,1099594.033722925,1766519.081347664
178213_18,178213_15,178213,overlapping,0.0,0,1.0255710685879453,1099601.18858835,1766510.5368249002
178213_18,246360_1,246360,overlapping,0.0,0,5.055463086838444,1099601.18858835,1766510.5368249002
178213_18,38888_1,38888,overlapping,0.0,0,5.117893244307954,1099601.18858835,1766510.5368249002
178213_18,178213_12,178213,overlapping,1.3846850266726502e-05,0,3.930144185817293,1099601.18858835,1766510.5368249002
178213_18,4788_1,4788,overlapping,5.1823166702877585e-05,0,16.19176920857049,1099601.18858835,1766510.5368249002
178213_18,178213_11,178213,overlapping,0.0,0,0.6196893985270518,1099601.18858835,1766510.5368249002
178213_18,246345_1,246345,overlapping,0.0,0,1.7952318157883191,1099601.18858835,1766510.5368249002
178213_18,178213_17,178213,overlapping,0.0,0,2.5998001438328533,1099601.18858835,1766510.5368249002
178213_18,246361_1,246361,overlapping,1.3846850266726502e-05,0,2.9987423834340934,1099601.18858835,1766510.5368249002
178213_18,178213_10,178213,overlapping,5.1823166702877585e-05,0,4.623848351310109,1099601.18858835,1766510.5368249002
178213_18,178213_9,178213,overlapping,0.0,0,1.8784280175622565,1099601.18858835,1766510.5368249002
178213_18,143992_1,143992,overlapping,0.0,0,4.5300421187791375,1099601.18858835,1766510.5368249002
178213_18,178213_6,178213,overlapping,0.0,0,4.601032475720841,1099601.18858835,1766510.5368249002
178213_18,246362_1,246362,overlapping,0.0,0,3.689107345093745,1099601.18858835,1766510.5368249002
178213_18,178225_1,178225,overlapping,0.0,0,4.036547150258329,1099601.18858835,1766510.5368249002
178213_18,178213_2,178213,overlapping,6.574723436552672e-05,0,4.7227578710515425,1099601.18858835,1766510.5368249002
178213_18,178213_1,178213,overlapping,6.574723436552672e-05,0,4.8341405029628195,1099601.18858835,1766510.5368249002
178213_18,455022_2,455022,overlapping,0.0,0,1.0684455701147728,1099601.18858835,1766510.5368249002
