point_number,point_x,point_y,connected_segments,segment_list
1,1099613.069464,1766496.34838,1,178213_16
2,1099612.411042,1766497.134685,1,4795_1
3,1099610.78838,1766499.072508,1,178213_14
4,1099608.591987,1766501.695498,1,178213_13
5,1099600.77043,1766511.036201,1,178213_8
6,1099599.65538,1766512.367821,1,178213_7
7,1099595.512497,1766517.315358,2,"106340_1, 178213_5"
8,1099601.496468,1766510.169148,1,177125_1
9,1099594.637546,1766518.360247,2,"143991_1, 178213_4"
10,1099594.033723,1766519.081348,1,178213_3
