rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
1,Jgr,화강암,602,18559770070.151634,30830182.840783447,14966459.494580097,1,중생대 쥐라기(602),9,"강릉, 광주, 남천점, 대전, 백아도, 부산, 서울, 속초, 안동"
2,PCEkbgn,서산층군 경기변성암복합체 호상편마암,274,8352430663.040745,30483323.587739944,8725310.461095719,1,선캄브리아시대(274),5,"강릉, 남천점, 대전, 서울, 속초"
3,Qa,충적층,524,8194304464.817244,15637985.619880237,21469655.519038085,1,신생대 제4기(524),10,"강릉, 광주, 남천점, 대전, 목포, 부산, 서울, 속초, 안동, 여수"
4,Kav,유문암및유문암질응회암,1172,4203028186.310687,3586201.524155876,6237265.624648832,1,중생대 백악기(1172),6,"광주, 목포, 백아도, 안동, 여수, 제주"
5,Kiv,경상누층군중성및염기성화산암,404,2384076434.3656564,5901179.2929842975,3579195.127917924,1,중생대 백악기(404),4,"광주, 목포, 안동, 여수"
6,Kat,"유천층군안산암,안산암질응회암",136,2192453577.504423,16120982.187532524,2326240.250282936,1,중생대 백악기(136),1,부산
7,Kbgr,흑운모화강암,217,2149719233.419722,9906540.246173834,2505360.284355842,1,중생대 백악기(217),5,"대전, 목포, 부산, 안동, 여수"
8,Jfgr,대보관입암류엽리상화강암,78,1958393826.936078,25107613.165847156,2043810.806104809,1,중생대 쥐라기(78),2,"광주, 목포"
9,Km7,하양층군진동층,66,1934677145.919183,29313290.08968459,1970267.5451743538,1,중생대 백악기(66),2,"부산, 여수"
10,PCEkgrgn,화강편마암,60,1419443931.8833323,23657398.864722203,1562281.880816309,1,선캄브리아시대(60),4,"강릉, 광주, 대전, 속초"
11,PCEjpgn,지리산편마암복합체반상변,52,1415414052.2852235,27219501.005485065,1365581.176578298,1,선캄브리아시대(52),4,"광주, 목포, 부산, 여수"
12,PCEjgrgn,소백산육괴 화강편마암,71,1318637142.32968,18572354.117319435,1577499.6377610222,1,선캄브리아시대(71),5,"강릉, 광주, 목포, 부산, 여수"
13,Khgr,각섬석화강암,88,1228745534.8111572,13963017.441035878,1396501.237262778,1,중생대 백악기(88),3,"부산, 안동, 여수"
14,Km6,하양층군함안층,28,1170313803.4883728,41796921.553156175,883126.128858526,1,중생대 백악기(28),2,"부산, 여수"
15,Km3,경상계층군 신동층군 진주층,41,1143463257.8829927,27889347.753243726,817821.24233486,1,중생대 백악기(41),3,"부산, 안동, 여수"
16,gr,화강암,21,1124383933.247672,53542092.059412956,821229.2738389199,1,시대 미상(21),1,안동
17,0,0,474,981140703.0061208,2069917.094949622,6393557.198325635,1,시대 미상(474),11,"강릉, 광주, 남천점, 대전, 목포, 부산, 서울, 속초, 안동, 여수, 진남포"
18,Km2,신동층군하산동층,83,970804820.0568346,11696443.615142586,900403.4883699451,1,중생대 백악기(83),3,"부산, 안동, 여수"
19,PCEses,서산층군편암류,183,968457647.8829904,5292118.29444257,1991762.2139081303,1,선캄브리아시대(183),3,"대전, 백아도, 서울"
20,PCEks,경기편마암복합체편암류,168,964571529.181596,5741497.1975095,2081500.6548247,1,선캄브리아시대(168),5,"강릉, 광주, 남천점, 대전, 서울"
21,Km1,경상누층군신동층군낙동층,13,950396729.0648849,73107440.69729884,738672.5397151199,1,중생대 백악기(13),3,"부산, 안동, 여수"
22,og2,옥천층군 하부천매암대,109,930694199.6022032,8538478.895433057,2195194.3661467982,1,시대 미상(109),4,"강릉, 광주, 대전, 안동"
23,PCEsbgn,소백산편마암복합체흑운모,13,911484087.7568,70114160.59667693,732171.5550128499,1,선캄브리아시대(13),3,"광주, 대전, 부산"
24,PCEkgrtgn,서산층군 경기변성암복합체 함석류석 화강편마암,44,859158224.6676881,19526323.287902,804712.29123368,1,선캄브리아시대(44),4,"강릉, 남천점, 서울, 속초"
25,CEOyls,영월형 조선누층군,7,817200361.885871,116742908.84083872,472987.16733364004,1,고생대 오르도비스기~캄브리아기(7),1,강릉
26,PCEgrgn,화강편마암,69,797234811.4316955,11554127.70190863,1094839.269133982,1,선캄브리아시대(69),4,"강릉, 목포, 서울, 안동"
27,Qr,매립지,50,751354728.481037,15027094.56962074,1493083.3495207103,1,신생대 제4기(50),4,"대전, 목포, 서울, 여수"
28,og1,옥쳔층군 변성사질암대,61,748149502.4591625,12264745.941953484,1199715.476611588,1,시대 미상(61),3,"강릉, 대전, 안동"
29,Odls,상부대석회암층군,37,735491657.5314307,19878152.906254884,1030618.3591848459,1,고생대 오르도비스기(37),1,강릉
30,PCEyl,율리층군,23,694616571.6261932,30200720.50548666,705474.05110312,1,선캄브리아시대(23),2,"강릉, 안동"
31,Ke8,경상누층군하양층군춘산층,23,676871409.5531312,29429191.719701357,623022.154967246,1,중생대 백악기(23),1,안동
32,Jbgr,흑운모화강암,48,663580752.1227555,13824599.002557406,871888.231111865,1,중생대 쥐라기(48),2,"목포, 여수"
