ID,작업일시,위도,경도,파일타입,공사명,공사개요,구군,주소,중구역번호,소구역번호,도로구분,누수관경,누수량,용수구분,용도구분
9903006,2002-10-18 10:00:00,35.8976226,128.6048668,지하누수,산격4동1197-6,PFP D40x15mm 니플수선,북구,북구 연암공원로32길 62-4 (산격동) / 1197-6번지,520.0,243.0,,15.0,"1,746",,5.0
9902956,2002-11-11 09:30:00,35.8948143,128.610655,지상누수,산격3동1308-12,D150x15mm 분기점폐쇄,북구,북구 산격로10길 50 (산격동) / 1308-12번지,520.0,,,15.0,1,,5.0
9903033,2002-11-22 11:50:00,35.8915979,128.5958797,지상누수,산격1동978,D100x15mm 분기대수선,북구,북구 연암로 72 (산격동) / 978번지,519.0,,,15.0,1,,5.0
9902936,2002-12-23 14:35:00,35.8937156,128.6060161,지상누수,산격3동1409-30번지,DTC D80x15mm 분기점폐쇄,북구,북구 산격로8길 7 (산격동) / 1409-30번지,520.0,,,15.0,1,,5.0
9902850,2003-01-03 12:05:00,35.8946232,128.6089947,지상누수,산격3동 1313-23번지,D80x20mm 분기대수선,북구,북구 산격동 1313-23,520.0,,,20.0,2,,5.0
9903098,2003-01-09 14:20:00,35.8946812,128.60549,지상누수,산격3동1410-46,DTC D100x15mm 분기대수선,북구,북구 산격동 1410-46,520.0,,,15.0,2,,5.0
9902884,2003-01-10 19:00:00,35.8974779,128.6038346,지상누수,산격4동1193-13번지,PFP D40x15mm 니플수선,북구,북구 연암공원로32길 64-48 (산격동) / 1193-13번지,520.0,,,15.0,1,,5.0
9902888,2003-01-13 10:20:00,35.8951696,128.6090785,지상누수,산격3동1312-69번지,PFP D80mm 소켓수선,북구,북구 산격로10길 35-3 (산격동) / 1312-69번지,520.0,,,80.0,2,,5.0
9902912,2003-01-27 14:20:00,35.8958898,128.6102138,지상누수,산격3동1306-50번지,EPS D40x15mm 니플수선,북구,북구 산격로14길 46-1 (산격동) / 1306-50번지,520.0,,,15.0,2,,5.0
9902915,2003-01-30 15:40:00,35.8974475,128.6082208,지상누수,산격3동1253-10번지,DTC D80mm 직관부수선,북구,북구 대동로4길 9 (산격동) / 1253-10번지,520.0,,,80.0,9,,5.0
