FTR_IDN,pipe_length,K_repair,K_repair_per_m,K_repair_ground,K_repair_ground_per_m,K_repair_under,K_repair_under_per_m,K_repair_emergency,K_repair_emergency_per_m,K_repair_management,K_repair_management_per_m
107322.0,314.04,35.41,0.1128,14.18,0.0451,9.8,0.0312,11.43,0.0364,0.0,0.0
211327.0,57.61,14.05,0.2439,8.35,0.1449,1.89,0.0328,3.81,0.0662,0.0,0.0
3693.0,12.53,7.81,0.6234,3.15,0.2513,1.97,0.1573,2.69,0.2148,0.0,0.0
316651.0,5.76,0.95,0.0952,0.43,0.0432,0.52,0.052,0.0,0.0,0.0,0.0
245307.0,57.57,10.5,0.1824,5.66,0.0983,1.09,0.0189,3.76,0.0652,0.0,0.0
3778.0,19.55,7.71,0.3942,3.78,0.1935,0.78,0.0397,3.15,0.161,0.0,0.0
72224.0,19.83,9.67,0.4874,4.7,0.2372,1.18,0.0597,3.78,0.1905,0.0,0.0
37938.0,18.1,6.18,0.3416,3.08,0.1702,1.42,0.0785,1.68,0.093,0.0,0.0
211403.0,19.68,2.31,0.1175,1.27,0.0648,0.0,0.0,1.04,0.0528,0.0,0.0
110993.0,57.72,13.76,0.2384,2.99,0.0518,4.52,0.0783,6.25,0.1083,0.0,0.0
72312.0,18.44,2.71,0.147,0.49,0.0267,1.51,0.0819,0.71,0.0384,0.0,0.0
316639.0,6.55,0.93,0.0927,0.52,0.0521,0.41,0.0406,0.0,0.0,0.0,0.0
143129.0,96.39,11.76,0.122,3.9,0.0405,3.28,0.034,4.58,0.0475,0.0,0.0
37854.0,14.37,4.55,0.3168,1.99,0.1382,0.3,0.0205,2.27,0.1581,0.0,0.0
37990.0,16.88,3.52,0.2082,0.89,0.0524,1.25,0.0742,1.38,0.0815,0.0,0.0
211249.0,24.28,6.69,0.2757,2.29,0.0943,1.68,0.0691,2.73,0.1123,0.0,0.0
245222.0,16.05,2.87,0.1788,1.85,0.1153,0.51,0.0317,0.51,0.0317,0.0,0.0
142926.0,16.0,2.1,0.1313,0.35,0.0221,0.26,0.0162,1.49,0.0931,0.0,0.0
37847.0,6.79,4.54,0.4536,0.73,0.0727,1.96,0.1958,1.85,0.1851,0.0,0.0
316656.0,5.81,0.31,0.0314,0.2,0.0197,0.12,0.0117,0.0,0.0,0.0,0.0
245426.0,21.71,0.87,0.04,0.39,0.0178,0.06,0.0029,0.42,0.0193,0.0,0.0
177329.0,10.67,0.67,0.0624,0.37,0.0349,0.15,0.0144,0.14,0.0131,0.0,0.0
3905.0,21.68,8.51,0.3925,1.54,0.0712,3.64,0.1679,3.33,0.1535,0.0,0.0
177330.0,19.86,1.14,0.0573,0.28,0.0143,0.57,0.0288,0.28,0.0143,0.0,0.0
238401.0,14.25,0.54,0.0382,0.37,0.0262,0.17,0.012,0.0,0.0,0.0,0.0
435127.0,28.32,3.0,0.106,0.11,0.0037,1.36,0.0479,1.54,0.0544,0.0,0.0
72209.0,13.19,2.31,0.175,0.0,0.0,1.32,0.1002,0.99,0.0748,0.0,0.0
245228.0,20.58,3.49,0.1695,0.45,0.0219,2.1,0.1019,0.94,0.0456,0.0,0.0
3773.0,153.84,14.15,0.092,5.13,0.0333,4.73,0.0308,4.29,0.0279,0.0,0.0
38779.0,16.36,5.23,0.3197,1.98,0.1213,1.19,0.073,2.05,0.1254,0.0,0.0
316654.0,65.52,2.12,0.0324,1.16,0.0177,0.0,0.0,0.96,0.0147,0.0,0.0
418133.0,11.98,2.31,0.1929,1.38,0.1151,0.05,0.004,0.88,0.0738,0.0,0.0
143879.0,183.29,13.28,0.0724,2.18,0.0119,4.0,0.0218,7.1,0.0387,0.0,0.0
4693.0,52.46,6.88,0.1312,3.48,0.0664,1.19,0.0227,2.21,0.0421,0.0,0.0
246252.0,26.09,4.51,0.173,2.79,0.1067,0.6,0.0231,1.13,0.0432,0.0,0.0
246253.0,31.28,4.12,0.1318,0.46,0.0146,1.6,0.0511,2.07,0.0661,0.0,0.0
143878.0,138.67,11.65,0.084,2.6,0.0187,3.56,0.0257,5.5,0.0396,0.0,0.0
4695.0,16.88,2.73,0.1616,0.55,0.0327,1.11,0.0659,1.06,0.0629,0.0,0.0
245201.0,14.63,2.25,0.1538,1.81,0.1238,0.0,0.0,0.44,0.0299,0.0,0.0
72210.0,15.15,7.3,0.4819,4.17,0.2756,0.87,0.0573,2.26,0.149,0.0,0.0
4692.0,12.77,3.94,0.3084,2.14,0.1673,0.29,0.0224,1.52,0.1187,0.0,0.0
4694.0,49.84,5.39,0.1081,3.06,0.0613,0.51,0.0102,1.82,0.0366,0.0,0.0
143877.0,133.56,10.82,0.081,2.29,0.0172,3.46,0.0259,5.07,0.0379,0.0,0.0
245336.0,2.71,1.37,0.1369,1.07,0.1069,0.0,0.0,0.3,0.03,0.0,0.0
3673.0,14.27,1.12,0.0782,0.84,0.0589,0.13,0.0092,0.14,0.01,0.0,0.0
245200.0,14.24,2.89,0.2027,0.27,0.0188,1.76,0.1239,0.85,0.06,0.0,0.0
106330.0,12.97,8.66,0.6679,2.51,0.1933,3.06,0.2361,3.09,0.2385,0.0,0.0
245203.0,17.26,6.15,0.3561,3.08,0.1784,0.97,0.056,2.1,0.1216,0.0,0.0
245303.0,13.88,0.49,0.0356,0.49,0.0356,0.0,0.0,0.0,0.0,0.0,0.0
442731.0,31.91,5.87,0.184,0.6,0.0187,2.6,0.0815,2.67,0.0838,0.0,0.0
442730.0,7.51,2.36,0.236,0.24,0.0245,0.81,0.0814,1.3,0.1301,0.0,0.0
443322.0,7.58,5.82,0.5822,3.22,0.3218,1.03,0.1025,1.58,0.1578,0.0,0.0
443629.0,5.59,4.13,0.4129,1.96,0.1964,0.64,0.0643,1.52,0.1521,0.0,0.0
440291.0,19.3,2.46,0.1276,0.76,0.0394,0.57,0.0296,1.13,0.0586,0.0,0.0
212248.0,146.63,15.79,0.1077,8.76,0.0597,2.57,0.0175,4.46,0.0304,0.0,0.0
18681.0,143.94,16.38,0.1138,8.87,0.0616,2.36,0.0164,5.14,0.0357,0.0,0.0
3672.0,11.58,1.39,0.1202,0.71,0.0612,0.57,0.0494,0.11,0.0096,0.0,0.0
177112.0,3.21,4.25,0.4253,2.28,0.2282,0.21,0.0209,1.76,0.1763,0.0,0.0
107319.0,13.96,7.09,0.5079,1.37,0.098,2.36,0.1693,3.36,0.2405,0.0,0.0
72211.0,12.64,7.48,0.5919,4.59,0.3628,0.24,0.0192,2.65,0.2098,0.0,0.0
178121.0,27.66,10.97,0.3967,2.97,0.1074,3.2,0.1157,4.8,0.1736,0.0,0.0
447922.0,15.06,7.05,0.4682,3.22,0.2138,0.37,0.0245,3.46,0.2299,0.0,0.0
450436.0,13.98,5.19,0.371,2.19,0.1564,1.04,0.0741,1.96,0.1405,0.0,0.0
418132.0,30.28,5.87,0.1939,2.81,0.0926,0.94,0.0312,2.12,0.0701,0.0,0.0
250103.0,7.82,4.07,0.4067,0.81,0.0808,1.27,0.1274,1.99,0.1986,0.0,0.0
177111.0,14.0,5.9,0.4213,2.91,0.2081,0.37,0.0262,2.62,0.1871,0.0,0.0
107324.0,30.25,1.98,0.0655,0.0,0.0,0.99,0.0328,0.99,0.0328,0.0,0.0
212291.0,15.36,0.74,0.048,0.74,0.048,0.0,0.0,0.0,0.0,0.0,0.0
107315.0,341.68,45.19,0.1323,17.84,0.0522,7.62,0.0223,19.74,0.0578,0.0,0.0
3675.0,19.92,3.78,0.1897,1.65,0.083,0.55,0.0279,1.57,0.0788,0.0,0.0
177110.0,14.76,5.28,0.3573,2.85,0.1932,0.08,0.0051,2.35,0.159,0.0,0.0
48166.0,16.03,5.7,0.3557,0.76,0.0473,2.04,0.1274,2.9,0.1811,0.0,0.0
250048.0,97.33,12.23,0.1256,3.46,0.0355,2.89,0.0297,5.88,0.0604,0.0,0.0
72213.0,26.18,2.19,0.0836,1.35,0.0517,0.47,0.018,0.36,0.0139,0.0,0.0
212251.0,89.82,8.39,0.0934,2.88,0.0321,2.2,0.0245,3.31,0.0368,0.0,0.0
142909.0,46.98,5.97,0.1271,1.35,0.0287,2.01,0.0428,2.61,0.0556,0.0,0.0
4697.0,61.21,8.01,0.1309,1.96,0.032,2.33,0.038,3.73,0.0609,0.0,0.0
211225.0,26.72,2.59,0.0969,1.19,0.0446,0.0,0.0,1.4,0.0523,0.0,0.0
212249.0,15.94,1.7,0.1065,0.7,0.0438,0.07,0.0045,0.93,0.0583,0.0,0.0
178191.0,4.9,0.58,0.0579,0.39,0.0385,0.0,0.0,0.19,0.0194,0.0,0.0
37742.0,19.01,4.42,0.2326,2.66,0.1401,0.0,0.0,1.76,0.0925,0.0,0.0
107323.0,23.28,0.37,0.016,0.04,0.0018,0.01,0.0004,0.32,0.0138,0.0,0.0
73275.0,17.13,0.41,0.024,0.11,0.0063,0.0,0.0,0.3,0.0177,0.0,0.0
245204.0,16.63,3.36,0.2018,0.76,0.0458,0.92,0.0551,1.68,0.1009,0.0,0.0
38828.0,23.49,2.15,0.0916,0.91,0.0386,0.34,0.0143,0.91,0.0386,0.0,0.0
38783.0,48.89,5.98,0.1223,2.91,0.0594,0.47,0.0096,2.6,0.0532,0.0,0.0
443336.0,33.12,3.54,0.1068,2.01,0.0608,0.24,0.0071,1.29,0.0389,0.0,0.0
75978.0,367.66,45.34,0.1233,16.85,0.0458,8.47,0.023,20.02,0.0545,0.0,0.0
37746.0,15.79,0.38,0.0242,0.38,0.0242,0.0,0.0,0.0,0.0,0.0,0.0
143928.0,23.86,0.25,0.0105,0.25,0.0105,0.0,0.0,0.0,0.0,0.0,0.0
143884.0,4.29,2.09,0.2091,0.25,0.0249,0.88,0.0883,0.96,0.0958,0.0,0.0
211234.0,14.1,1.84,0.1307,1.1,0.0783,0.0,0.0,0.74,0.0524,0.0,0.0
417712.0,669.93,17.52,0.0261,10.56,0.0158,3.69,0.0055,3.28,0.0049,0.0,0.0
418134.0,3.77,1.24,0.1236,0.98,0.0982,0.0,0.0,0.25,0.0254,0.0,0.0
418135.0,24.01,2.22,0.0923,1.49,0.0621,0.0,0.0,0.72,0.0302,0.0,0.0
465919.0,23.72,4.21,0.1776,1.05,0.0444,1.29,0.0543,1.87,0.0789,0.0,0.0
106332.0,12.79,1.12,0.0873,0.68,0.0529,0.0,0.0,0.44,0.0343,0.0,0.0
73234.0,36.01,11.37,0.3158,4.28,0.1188,0.79,0.0221,6.3,0.1749,0.0,0.0
178122.0,32.39,4.95,0.1529,1.39,0.0428,0.97,0.0299,2.6,0.0802,0.0,0.0
38782.0,20.67,7.86,0.3802,2.4,0.116,1.55,0.075,3.91,0.1892,0.0,0.0
212293.0,17.36,6.88,0.396,1.13,0.0652,3.82,0.22,1.92,0.1108,0.0,0.0
246293.0,110.96,7.22,0.0651,0.92,0.0083,4.11,0.037,2.2,0.0198,0.0,0.0
38829.0,51.44,0.72,0.014,0.12,0.0024,0.0,0.0,0.6,0.0116,0.0,0.0
106306.0,231.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244346.0,51.58,9.99,0.1937,4.65,0.0901,1.22,0.0236,4.13,0.08,0.0,0.0
24850.0,56.54,5.41,0.0957,1.81,0.032,1.56,0.0275,2.04,0.0361,0.0,0.0
81504.0,87.09,8.13,0.0933,4.14,0.0475,0.88,0.0101,3.11,0.0357,0.0,0.0
4738.0,51.44,0.72,0.0139,0.26,0.0051,0.0,0.0,0.45,0.0088,0.0,0.0
193308.0,95.38,2.9,0.0304,1.22,0.0128,0.75,0.0078,0.93,0.0098,0.0,0.0
177114.0,13.39,3.01,0.225,0.67,0.0498,1.09,0.0814,1.26,0.0938,0.0,0.0
157968.0,166.69,12.12,0.0727,1.79,0.0107,4.42,0.0265,5.92,0.0355,0.0,0.0
107320.0,16.99,6.91,0.4068,3.07,0.1809,0.52,0.0308,3.32,0.1952,0.0,0.0
245208.0,17.32,9.08,0.5242,0.91,0.0525,5.22,0.3017,2.94,0.17,0.0,0.0
209453.0,100.37,3.02,0.0301,1.22,0.0121,0.77,0.0076,1.03,0.0103,0.0,0.0
110958.0,117.07,8.45,0.0722,0.82,0.007,4.99,0.0426,2.64,0.0225,0.0,0.0
107321.0,112.59,4.9,0.0435,0.47,0.0041,1.2,0.0107,3.23,0.0287,0.0,0.0
143924.0,137.09,6.2,0.0452,1.94,0.0141,2.16,0.0158,2.09,0.0153,0.0,0.0
143880.0,350.66,16.75,0.0478,4.56,0.013,5.15,0.0147,7.04,0.0201,0.0,0.0
143128.0,153.41,18.81,0.1226,3.21,0.0209,5.88,0.0383,9.71,0.0633,0.0,0.0
211230.0,24.75,4.78,0.193,1.46,0.0591,1.53,0.062,1.78,0.0719,0.0,0.0
42449.0,96.35,15.79,0.1638,5.06,0.0525,3.72,0.0386,7.0,0.0727,0.0,0.0
42329.0,3.8,6.71,0.6709,2.85,0.2848,1.23,0.1231,2.63,0.2629,0.0,0.0
245206.0,15.09,3.25,0.2154,0.0,0.0,2.21,0.1465,1.04,0.0689,0.0,0.0
142910.0,20.43,2.75,0.1345,0.98,0.048,0.91,0.0443,0.86,0.0422,0.0,0.0
106549.0,193.87,8.69,0.0448,4.36,0.0225,1.25,0.0065,3.08,0.0159,0.0,0.0
106428.0,194.83,12.03,0.0617,5.53,0.0284,1.87,0.0096,4.63,0.0237,0.0,0.0
477327.0,59.28,5.53,0.0932,3.31,0.0558,0.12,0.0021,2.09,0.0353,0.0,0.0
