FTR_IDN,pipe_length,K_repair,K_repair_per_m,K_repair_ground,K_repair_ground_per_m,K_repair_under,K_repair_under_per_m,K_repair_emergency,K_repair_emergency_per_m,K_repair_management,K_repair_management_per_m
313693.0,45.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468355.0,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177575.0,3.06,3.08,0.3083,0.72,0.0725,0.88,0.088,1.48,0.1479,0.0,0.0
72641.0,2.84,1.67,0.1673,0.0,0.0,0.86,0.0862,0.81,0.0812,0.0,0.0
106784.0,4.48,1.74,0.1738,0.33,0.0326,0.56,0.0557,0.86,0.0856,0.0,0.0
72640.0,4.11,1.34,0.1338,0.0,0.0,0.66,0.0656,0.68,0.0681,0.0,0.0
72643.0,2.67,1.34,0.1341,0.17,0.0174,0.52,0.0518,0.65,0.0648,0.0,0.0
72644.0,4.15,1.09,0.109,0.12,0.0121,0.42,0.0424,0.54,0.0545,0.0,0.0
177143.0,3.34,0.25,0.0248,0.0,0.0,0.12,0.0124,0.12,0.0124,0.0,0.0
106782.0,3.82,0.61,0.0606,0.0,0.0,0.28,0.0284,0.32,0.0322,0.0,0.0
177572.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37901.0,3.56,0.09,0.0092,0.0,0.0,0.09,0.0092,0.0,0.0,0.0,0.0
177246.0,2.8,0.75,0.0751,0.0,0.0,0.75,0.0751,0.0,0.0,0.0,0.0
106474.0,16.0,1.04,0.0648,0.0,0.0,0.71,0.0445,0.32,0.0203,0.0,0.0
106473.0,11.09,0.6,0.0544,0.1,0.009,0.25,0.0227,0.25,0.0227,0.0,0.0
143040.0,3.42,2.92,0.2924,0.96,0.096,0.75,0.0751,1.21,0.1213,0.0,0.0
245340.0,2.56,0.72,0.0725,0.72,0.0725,0.0,0.0,0.0,0.0,0.0,0.0
37896.0,2.68,0.98,0.098,0.7,0.0702,0.12,0.0118,0.16,0.0159,0.0,0.0
211360.0,2.52,1.2,0.1205,0.83,0.0826,0.14,0.0142,0.24,0.0237,0.0,0.0
211363.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72348.0,3.31,0.07,0.0073,0.07,0.0073,0.0,0.0,0.0,0.0,0.0,0.0
37900.0,3.18,2.49,0.2492,0.73,0.0727,0.7,0.0701,1.06,0.1064,0.0,0.0
72349.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177241.0,3.72,0.83,0.0827,0.83,0.0827,0.0,0.0,0.0,0.0,0.0,0.0
177242.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106472.0,2.93,2.12,0.2115,0.62,0.0621,0.62,0.0622,0.87,0.0872,0.0,0.0
143042.0,8.33,0.78,0.0777,0.78,0.0777,0.0,0.0,0.0,0.0,0.0,0.0
106467.0,15.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177243.0,3.45,0.05,0.0046,0.05,0.0046,0.0,0.0,0.0,0.0,0.0,0.0
3815.0,2.14,1.67,0.167,0.45,0.0453,0.84,0.0845,0.37,0.0372,0.0,0.0
37918.0,3.68,1.0,0.1001,0.76,0.0765,0.0,0.0,0.24,0.0236,0.0,0.0
177185.0,3.39,2.93,0.2933,1.53,0.1528,0.35,0.0349,1.06,0.1057,0.0,0.0
211368.0,1.79,2.76,0.2757,0.31,0.0311,1.39,0.1388,1.06,0.1058,0.0,0.0
143045.0,2.94,3.0,0.2999,1.14,0.1141,1.08,0.1085,0.77,0.0774,0.0,0.0
106447.0,3.0,1.27,0.1265,0.57,0.0572,0.0,0.0,0.69,0.0693,0.0,0.0
177184.0,3.56,3.24,0.3242,1.71,0.1713,0.33,0.0331,1.2,0.1197,0.0,0.0
211369.0,3.12,2.83,0.2831,0.41,0.0405,0.99,0.0994,1.43,0.1432,0.0,0.0
245285.0,3.54,3.72,0.3723,2.12,0.2117,0.17,0.0166,1.44,0.144,0.0,0.0
177248.0,2.86,4.72,0.4719,1.09,0.1094,1.51,0.1512,2.11,0.2113,0.0,0.0
211297.0,4.76,1.86,0.1857,1.02,0.1016,0.07,0.0073,0.77,0.0768,0.0,0.0
245343.0,3.64,3.56,0.3558,1.46,0.1457,1.06,0.1056,1.05,0.1045,0.0,0.0
177219.0,5.83,0.47,0.0469,0.31,0.0309,0.0,0.0,0.16,0.0159,0.0,0.0
72363.0,3.58,2.08,0.2079,0.8,0.0798,0.0,0.0,1.28,0.1282,0.0,0.0
72288.0,3.44,4.18,0.4178,2.46,0.2455,0.06,0.0058,1.67,0.1666,0.0,0.0
245356.0,5.17,1.47,0.1466,0.95,0.095,0.0,0.0,0.52,0.0516,0.0,0.0
143046.0,3.6,3.6,0.3599,1.47,0.1466,1.01,0.1008,1.13,0.1125,0.0,0.0
37920.0,3.09,1.8,0.1799,0.84,0.0836,0.0,0.0,0.96,0.0963,0.0,0.0
37903.0,2.95,3.05,0.3048,1.24,0.1235,0.48,0.048,1.33,0.1333,0.0,0.0
3755.0,4.67,2.04,0.2039,1.18,0.1182,0.0,0.0,0.86,0.0857,0.0,0.0
143053.0,3.44,1.84,0.1836,0.79,0.0787,0.0,0.0,1.05,0.1049,0.0,0.0
3816.0,2.72,2.52,0.2525,1.31,0.1315,0.33,0.0331,0.88,0.0879,0.0,0.0
211366.0,2.99,0.74,0.0742,0.3,0.0295,0.25,0.025,0.2,0.0197,0.0,0.0
245287.0,3.73,5.13,0.5126,3.05,0.3052,0.0,0.0,2.07,0.2074,0.0,0.0
42492.0,3.1,4.43,0.4429,1.77,0.1771,0.81,0.0808,1.85,0.1851,0.0,0.0
72362.0,3.75,1.96,0.1963,0.0,0.0,0.47,0.0474,1.49,0.1489,0.0,0.0
72361.0,3.32,1.5,0.1496,0.03,0.0026,0.32,0.0323,1.15,0.1148,0.0,0.0
177262.0,2.8,4.43,0.4435,1.01,0.101,1.24,0.1242,2.18,0.2183,0.0,0.0
72353.0,5.25,2.9,0.2896,0.79,0.0786,0.66,0.0657,1.45,0.1453,0.0,0.0
245346.0,4.03,2.83,0.2829,0.78,0.0778,0.56,0.0562,1.49,0.149,0.0,0.0
177261.0,3.67,4.14,0.4142,1.49,0.1493,0.78,0.0781,1.87,0.1868,0.0,0.0
177252.0,3.67,3.75,0.3745,1.0,0.1002,0.97,0.0975,1.77,0.1769,0.0,0.0
143044.0,3.08,4.87,0.4871,1.21,0.1209,1.5,0.1497,2.16,0.2164,0.0,0.0
143052.0,3.48,4.76,0.4764,1.28,0.1278,1.23,0.123,2.26,0.2257,0.0,0.0
3817.0,4.97,1.55,0.1548,0.64,0.0635,0.2,0.0196,0.72,0.0717,0.0,0.0
143043.0,2.66,2.41,0.241,1.01,0.1006,0.78,0.0781,0.62,0.0623,0.0,0.0
37905.0,3.88,1.25,0.1246,0.42,0.0424,0.13,0.0133,0.69,0.0689,0.0,0.0
72352.0,3.0,3.14,0.314,0.0,0.0,1.59,0.1589,1.55,0.1551,0.0,0.0
177250.0,4.79,3.0,0.2996,0.33,0.0329,1.1,0.1095,1.57,0.1572,0.0,0.0
106485.0,3.02,1.58,0.1578,0.0,0.0,0.28,0.0284,1.29,0.1294,0.0,0.0
143048.0,5.07,1.23,0.1235,0.56,0.0564,0.04,0.0036,0.64,0.0635,0.0,0.0
245355.0,3.77,1.66,0.1659,0.0,0.0,0.22,0.0223,1.44,0.1436,0.0,0.0
245344.0,3.51,1.64,0.1644,0.18,0.0184,0.49,0.0493,0.97,0.0968,0.0,0.0
106476.0,4.2,4.85,0.4855,1.28,0.128,1.29,0.1285,2.29,0.2289,0.0,0.0
106478.0,3.99,1.2,0.1199,0.41,0.0409,0.21,0.0213,0.58,0.0577,0.0,0.0
37904.0,4.53,4.07,0.4071,0.64,0.0644,1.35,0.1347,2.08,0.208,0.0,0.0
177249.0,2.87,2.5,0.2503,0.36,0.0364,0.85,0.0847,1.29,0.1291,0.0,0.0
3826.0,3.27,4.55,0.4553,1.26,0.1264,1.25,0.1247,2.04,0.2042,0.0,0.0
106471.0,3.79,5.13,0.5131,1.64,0.1636,1.4,0.1396,2.1,0.2098,0.0,0.0
37917.0,4.38,1.78,0.1784,0.0,0.0,0.35,0.0352,1.43,0.1432,0.0,0.0
106477.0,4.46,3.92,0.3916,1.01,0.1007,1.12,0.112,1.79,0.1789,0.0,0.0
245354.0,4.11,4.85,0.4853,1.52,0.1522,1.24,0.1243,2.09,0.2088,0.0,0.0
106475.0,3.13,4.09,0.4089,0.8,0.0797,1.28,0.1284,2.01,0.2008,0.0,0.0
211370.0,3.07,3.77,0.377,0.61,0.0605,1.32,0.1318,1.85,0.1847,0.0,0.0
211364.0,3.59,5.2,0.5201,1.87,0.187,1.27,0.1266,2.07,0.2065,0.0,0.0
37902.0,5.29,2.35,0.2345,1.01,0.1012,0.7,0.0699,0.63,0.0634,0.0,0.0
36407.0,3.2,3.28,0.3278,1.3,0.1302,0.31,0.0306,1.67,0.167,0.0,0.0
175930.0,6.57,2.64,0.2641,1.3,0.1303,0.0,0.0,1.34,0.1337,0.0,0.0
142150.0,10.29,5.61,0.5451,2.17,0.2103,0.31,0.0297,3.14,0.3051,0.0,0.0
244066.0,16.26,1.7,0.1046,0.59,0.0364,0.0,0.0,1.11,0.0682,0.0,0.0
244046.0,3.78,6.9,0.6898,3.45,0.3449,0.0,0.0,3.45,0.3449,0.0,0.0
244043.0,6.54,5.51,0.551,2.58,0.2585,0.13,0.0126,2.8,0.2799,0.0,0.0
175929.0,3.23,6.47,0.647,3.24,0.3235,0.0,0.0,3.24,0.3235,0.0,0.0
142124.0,3.06,3.35,0.3351,1.39,0.1395,0.22,0.0223,1.73,0.1734,0.0,0.0
105160.0,2.96,1.14,0.1137,0.43,0.0429,0.0,0.0,0.71,0.0708,0.0,0.0
210488.0,3.57,7.75,0.7753,2.24,0.2239,1.97,0.1968,3.55,0.3546,0.0,0.0
71459.0,6.08,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
105173.0,6.3,5.73,0.5729,1.85,0.1854,0.84,0.0844,3.03,0.303,0.0,0.0
175952.0,5.65,6.28,0.6278,2.19,0.219,0.7,0.07,3.39,0.3388,0.0,0.0
142125.0,3.18,4.49,0.449,2.05,0.2053,0.33,0.0329,2.11,0.2108,0.0,0.0
210465.0,3.48,2.15,0.2146,1.07,0.1073,0.0,0.0,1.07,0.1073,0.0,0.0
105157.0,4.23,1.5,0.1504,0.0,0.0,0.76,0.0764,0.74,0.074,0.0,0.0
143041.0,3.79,4.82,0.4817,1.98,0.1984,0.98,0.0979,1.85,0.1854,0.0,0.0
245345.0,4.38,3.36,0.3362,0.76,0.0756,1.2,0.1203,1.4,0.1404,0.0,0.0
245342.0,2.95,5.9,0.5904,2.31,0.2306,1.24,0.1235,2.36,0.2362,0.0,0.0
175953.0,3.57,5.61,0.5614,2.04,0.2045,0.52,0.0522,3.05,0.3048,0.0,0.0
142148.0,7.32,3.62,0.3619,0.54,0.0538,1.78,0.1776,1.31,0.1305,0.0,0.0
36420.0,2.47,3.27,0.3269,1.25,0.1253,0.62,0.062,1.4,0.1397,0.0,0.0
177251.0,3.75,3.7,0.3697,1.04,0.1042,1.09,0.1087,1.57,0.1568,0.0,0.0
36462.0,2.48,2.96,0.2958,1.48,0.1479,0.0,0.0,1.48,0.1479,0.0,0.0
143047.0,4.92,2.37,0.237,0.55,0.0551,0.93,0.0929,0.89,0.0889,0.0,0.0
430291.0,2.73,1.79,0.1792,0.9,0.0896,0.0,0.0,0.9,0.0896,0.0,0.0
210579.0,3.08,1.03,0.1034,0.05,0.0046,0.0,0.0,0.99,0.0988,0.0,0.0
