cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,6,35.89465282500078,128.6021798500012,72529,SPLY_LS,7.247402210383762,151,13,300,35.76272977417494,1.6274058863791925,1.8126488706365504,1.6120110401595975,1.0,1.3,1.0027703862165582,1.0,1.6,1.03818562384164,7.471264367816092,20.833333333333332,8.833957966619607,1.547126436781609,4.966666666666667,1.8492663556267779,3.8042036930865217,20.300895475071872,4.3910603320526524,0.0158523069992761,0.0845948464893982,0.018297767956679947,1.2892,4.8473,1.0471126858530662
1,2,35.89478045000002,128.60240130000028,245509,SPLY_LS,6.470915259837637,157,13,300,34.203596356235636,1.630965092402464,1.8126488706365504,1.6114133737405854,1.0,1.3,1.0019193554592127,1.0,1.6,1.0496727999361743,7.471264367816092,20.833333333333332,8.811507637457694,1.547126436781609,4.966666666666667,1.8338884400675963,5.023131476833377,18.989567325482906,4.069610487755385,0.0209316400205385,0.0791304765236535,0.016958270383001028,2.0161,3.8354,0.8948388783554988
2,1,35.8963622,128.6108785,37874,SPLY_LS,5.220132788024812,145,13,150,24.599690944079455,1.6784394250513346,1.788062970568104,1.6071863663245465,1.0,1.0,1.0,1.0,1.6,1.0305358972212548,7.471264367816092,14.285714285714286,8.079862351423664,1.547126436781609,3.3000000000000003,1.696549204825198,2.898233838973815,11.330398627606204,4.7029396831393395,0.0120770853186958,0.0472143376011664,0.019597384806625744,0.691,4.8174,1.520625345796507
3,1,35.89607289999999,128.6121391,37859,SPLY_LS,4.679720226085752,83,13,200,33.04497017421738,1.6501300479123886,1.8070636550308008,1.6135645652969184,1.0,1.0,1.0,1.0,1.6,1.1314744485426638,7.471264367816092,17.857142857142858,8.138455174713435,1.547126436781609,3.3000000000000003,1.7764132916440476,6.576928504318982,15.476603074900533,5.474824378484433,0.0274063899239224,0.6449177884326426,0.0265221810929178,2.9032,4.0667,1.513451752816539
4,2,35.8970202000041,128.60609735001313,72403,SPLY_LS,9.637130757047583,156,13,200,31.86500673401871,1.7033538672142368,1.7463928815879537,1.6457363665774993,1.0,1.0,1.0,1.0,1.4,1.0097549549356573,7.471264367816092,25.3968253968254,8.240718506824043,1.547126436781609,3.9746031746031742,1.7741372995409677,4.87159439023195,8.837926571575123,4.418932349890026,0.020300177403816,0.0368280819200821,0.01841391204860918,1.8008,3.8918,1.225059179700766
5,3,35.89471045000003,128.6090872500002,143900,SPLY_LS,3.276531664324271,217,13,150,27.84450565845948,1.6160711841204654,1.808213552361396,1.5425813074918397,1.0,1.0,1.0,1.0,1.6,1.054270352701317,7.471264367816092,17.857142857142858,8.697999560876333,1.547126436781609,3.3000000000000003,1.7657151118388044,6.052880729618639,29.499750631236587,5.418919922353639,0.0252226566443573,0.1229269358678944,0.022580910262443653,2.6679,7.6894,1.7936502476831473
6,3,35.8915603,128.596439,71407,SPLY_LS,11.279771227711523,96,13,500,36.00675139980966,1.599917864476386,1.7430527036276522,1.5982789677024336,1.3,1.3,1.2999999999999992,1.0,1.4,1.1251655592407661,7.471264367816092,26.31578947368421,9.01273939035518,1.547126436781609,6.063157894736842,1.8448937415938322,3.903011208145274,34.520087141485476,6.428696101833592,0.0162640428549017,0.143846929122927,0.02678869809114562,0.8377,3.8307,1.134951697214292
7,1,35.8915342,128.5965834,71406,SPLY_LS,5.583393567819433,106,13,500,31.835667197559236,1.6005201916495553,1.7430527036276522,1.6023112053733608,1.3,1.3,1.3,1.0,1.4,1.1155841155999073,7.471264367816092,26.31578947368421,8.870539066956155,1.547126436781609,6.063157894736842,1.7992455365549045,3.511206738011605,34.520087141485476,6.078215933590437,0.0146313740376312,0.143846929122927,0.025328229706067983,0.6526,3.8307,1.1145435786767357
8,2,35.89294015000079,128.59732759999397,105136,SPLY_LS,6.119350646609928,119,13,300,35.134984130356884,1.67854893908282,1.7840657084188911,1.6240137694256027,1.3,1.3,1.2544529779105609,1.0,1.4,1.0706808137975241,7.471264367816092,20.833333333333332,8.515420335203885,1.547126436781609,4.966666666666667,1.817257922158627,5.1715167041106165,19.35919431283192,6.344334820499435,0.0215499686818641,0.0806707306612862,0.02643716041376209,1.3209,6.3829,1.3195916247332709
9,1,35.89510799999999,128.6111366,177234,SPLY_LS,2.0933619232941627,144,13,150,32.70418202224412,1.7439288158795343,1.7526899383983574,1.5813799441516574,1.0,1.0,1.0,1.2,1.6,1.1354479704174039,7.471264367816092,17.857142857142858,8.60066794453486,1.547126436781609,3.3000000000000003,1.8094780473774348,4.78526973539599,21.10882891509861,5.666296694781012,0.0199404582508818,0.0879615455306616,0.02361174164198717,1.2393,8.1373,1.6235140344004872
10,4,35.89534400000001,128.6100321,106458,SPLY_LS,6.808682973195061,205,13,150,25.972087981816557,1.713812457221081,1.7612867898699522,1.5771755609969833,1.0,1.0,1.0,1.0,1.6,1.0228216273268365,7.471264367816092,17.857142857142858,8.529031507697841,1.547126436781609,3.3000000000000003,1.7374802669069205,12.604472512292295,21.10882891509861,5.935891295013429,0.0525234671823476,0.0879615455306616,0.024735155820885684,6.2024,8.1373,2.2393809702358425
11,1,35.892652,128.6068654,3677,PIPE_LM,6.059643953820982,166,25,200,29.016637754118076,1.7326488706365502,1.7526899383983574,1.527411306793131,1.0,1.0,1.0,1.0,1.6,1.0193601185412187,8.928571428571429,17.857142857142858,9.306935560858136,1.692857142857143,3.9746031746031742,1.8010383642966896,2.526479450583996,12.765202636710075,3.321118406534826,0.010527966194556,0.0531932376473027,0.013839266455950898,0.2592,4.6252,0.7883815188007016
