cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,1,35.89527910000001,128.60853040000003,143067,SPLY_LS,4.899724673900717,29,13,80,21.736062864775658,1.6226967830253252,1.7526899383983574,1.6137897380833341,1.0,1.0,1.0,1.0,1.2,1.0150548544984783,7.471264367816092,14.22222222222222,8.345892397353024,1.547126436781609,2.5777777777777775,1.6920098400719144,4.300236595838574,9.256027669599202,4.589753816918223,0.0211616792999514,0.0455493749634811,0.02258640802074538,1.5952,4.5258,1.4664116399437601
1,1,35.8955801,128.6084953,37926,SPLY_LS,3.312359331544687,30,20,80,25.691269959165716,1.6132785763175908,1.7526899383983574,1.6037125518309523,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,14.285714285714286,8.666078590861504,1.7523809523809524,2.5777777777777775,1.7402144297200774,5.623925030053709,8.520309867712145,4.956572321641652,0.0276756162691458,0.0419288708745048,0.024391540223414603,1.9434,3.9596,1.6846119632546597
2,1,35.8955649,128.6090574,72373,SPLY_LS,3.6052304799168513,27,13,80,26.716041058390903,1.6792607802874744,1.7526899383983574,1.6079666210786216,1.0,1.0,1.0,1.0,1.2,1.0071838390844083,7.471264367816092,17.857142857142858,8.66285892924364,1.547126436781609,2.585714285714286,1.745399519303187,10.102141021280556,10.699904903618648,5.649099190857421,0.0497131410727726,0.0526547670259525,0.027799499573168854,4.8913,5.2399,2.1340774367794486
3,1,35.896492200000004,128.6065103,37978,SPLY_LS,5.479779826210916,26,13,100,29.899899318411784,1.6619575633127996,1.702422997946612,1.6345008367647416,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,7.462254145242626,1.547126436781609,2.466666666666667,1.7095580302829423,5.73937808438791,5.73937808438791,4.1372147832370985,0.0282437665221771,0.0282437665221771,0.020359440809048873,2.3819,2.3819,1.1128445860350495
4,1,35.8972847,128.6067763,106548,PIPE_LM,6.544057833950433,21,200,200,64.08965350437943,1.7326488706365502,1.7326488706365502,1.6787872505479398,1.0,1.0,1.0,1.0,1.2,1.0105063690990832,15.873015873015872,15.873015873015872,8.62889361658621,3.9746031746031742,3.9746031746031742,2.123018743173492,8.837926571575123,8.837926571575123,6.109704884344952,0.0434918785550497,0.0434918785550497,0.03006616322110567,0.1813,3.1893,1.3860306889797618
5,1,35.8951696,128.6090785,3839,SPLY_LS,5.585607254984047,17,13,150,25.171870730441295,1.7011088295687884,1.7612867898699522,1.5765230843563578,1.0,1.0,1.0,1.0,1.2,1.0359719148382454,7.471264367816092,17.857142857142858,9.182849270869733,1.547126436781609,3.3000000000000003,1.778478082632655,4.442024377850839,8.110780763982282,5.217200595622602,0.0218594240646228,0.039913557678595,0.025674104991088555,1.5572,3.4949,1.7499529671372858
6,3,35.89744749999999,128.6082208,255636,PIPE_LM,6.101580020383117,20,80,80,31.756970917383374,1.792662559890486,1.792662559890486,1.6533345694508286,1.0,1.0,1.0,1.0,1.2,1.014462615553881,6.666666666666667,14.22222222222222,7.894063266853451,2.1333333333333337,2.5777777777777775,1.7426644605909283,4.878477913181699,6.735069139238159,3.9938822625436505,0.0240072337346628,0.0331436119876479,0.019654094308090387,0.2286,2.3288,0.960563054498966
7,1,35.8963146,128.60805700000003,3823,SPLY_LS,5.421364276843535,20,13,80,18.292209573167952,1.7156194387405888,1.7326488706365502,1.6509403264032976,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.207760172809524,1.547126436781609,2.2285714285714286,1.6379927754992116,6.14245221863438,6.362774822383777,4.772879121045084,0.0302273144905107,0.0313115330396916,0.023487576798618855,2.5062,4.3744,1.7370121552751336
8,1,35.8950228,128.6085868,72378,SPLY_LS,3.05764614021896,12,13,150,33.60185313590688,1.6403832991101983,1.7526899383983574,1.628829275356371,1.0,1.0,1.0,1.0,1.2,1.100460526650512,7.471264367816092,12.5,8.57564452281901,1.547126436781609,3.3000000000000003,1.813406750855061,9.256027669599202,9.256027669599202,6.723093780815477,0.0455493749634811,0.0455493749634811,0.03308468065008196,4.5258,4.5258,2.2584759682879927
9,1,35.8963925,128.6093905,37918,SPLY_LS,7.056257089664262,16,13,150,35.716888373438955,1.657467488021903,1.7326488706365502,1.615507240524857,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,12.5,8.325376018969877,1.547126436781609,3.3000000000000003,1.8149610198567063,2.6128844119736767,6.687350316058249,3.2936974072266287,0.012858134835543,0.0329087852728384,0.016208449625832563,0.5438,1.8406,0.5422128802991829
