cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,2,35.8970202000041,128.60609735001313,72403,SPLY_LS,9.637130757047583,1,13,13,13.0,1.7033538672142368,1.7033538672142368,1.7033538672142368,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,4.87159439023195,4.87159439023195,4.87159439023195,0.0239733595740509,0.0239733595740509,0.0239733595740509,1.8008,1.8008,1.8008
1,1,35.8959196,128.6054125,412753,PIPE_LM,8.810661620813947,3,32,150,92.1638916144899,1.3610677618069815,1.6726899383983571,1.4155480631596151,1.0,1.0,1.0,1.2,1.2,1.2000000000000002,11.428571428571429,20.0,13.183027772029815,1.942857142857143,3.3000000000000003,2.5507306877821945,2.4422683057103893,5.684139428941524,4.441231302225042,0.0120185244458161,0.0279719343367926,0.0218555212998145,0.1104,0.1104,0.08285098541343704
2,2,35.89528420000018,128.6077783999988,106502,SPLY_LS,5.8340883941393935,3,13,100,38.585332514760935,1.651663244353183,1.7028062970568103,1.66880664228128,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.333333333333334,7.724785300384076,1.547126436781609,2.466666666666667,1.8175487648541255,3.3578020808795683,4.5508793632854205,3.577734681230183,0.0165239119301124,0.0223951048906957,0.017606211253067782,0.9909,0.9909,0.6230724238257029
3,1,35.89563549999999,128.6073607,177280,SPLY_LS,8.972170758695556,1,25,25,25.0,1.345407255304586,1.345407255304586,1.345407255304586,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,8.928571428571429,8.928571428571429,1.692857142857143,1.692857142857143,1.692857142857143,2.320312342621326,2.320312342621326,2.320312342621326,0.0114183730536566,0.0114183730536566,0.011418373053656599,0.4893,0.4893,0.4893
4,1,35.8966487,128.6079187,37913,SPLY_LS,4.007111803060215,5,13,100,44.624958554135695,1.7194524298425735,1.7326488706365502,1.708839009485601,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,7.801587131839916,1.547126436781609,2.466666666666667,1.8666930151742922,7.60365458680131,7.60365458680131,5.5756027810759115,0.0374179644043785,0.0374179644043785,0.02743782006581355,3.3306,3.3306,1.5777258939500516
5,3,35.895701200000055,128.60878885000037,72370,SPLY_LS,4.20604401435844,5,13,40,19.31977887216731,1.6132785763175908,1.7429431895961671,1.5891676811132438,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.7785843349086,1.547126436781609,2.2285714285714286,1.6778584334908602,5.517236807837452,6.224261702604736,4.7960131114494065,0.0271505981932084,0.030629903051603,0.023601420322098037,2.3491,2.4972,1.7617511077536046
6,2,35.89651849999999,128.6077883,211434,PIPE_LM,5.293962978391968,5,80,100,63.398855569140665,1.7326488706365502,1.7326488706365502,1.680528548705467,1.0,1.0,1.0,1.0,1.0,1.0,6.666666666666667,9.523809523809524,7.917322102264825,2.1333333333333337,2.466666666666667,2.0701427979254055,4.263446430063447,6.465205860698176,4.91258332373318,0.0209806330546637,0.0318156013007887,0.024175068165257132,0.1109,2.3898,0.7879040403293193
7,5,35.89750790000543,128.60667655001404,245417,SPLY_LS,8.702197133247934,2,13,13,13.0,1.584476386036961,1.584476386036961,1.5844763860369613,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.5471264367816093,5.305155107852625,5.6624024309835095,5.476225596605985,0.0261069335434981,0.0278649654829914,0.026948779972177855,2.2789,2.4997,2.384631691943017
8,2,35.8968513,128.6079403,245352,SPLY_LS,6.871099597730657,2,13,25,18.298611821127455,1.720930869267625,1.7326488706365502,1.726104964315406,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,8.114739736076986,1.547126436781609,1.692857142857143,1.6114739736076984,7.505632699420257,7.505632699420257,5.494635140201589,0.036935593795482,0.036935593795482,0.027039374256688967,3.2711,3.2711,2.034668931539908
9,1,35.8963045,128.6079341,106483,SPLY_LS,7.403923884353063,3,13,25,16.683164256513837,1.676741957563313,1.6926762491444216,1.5073397641027708,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,7.918556140894367,1.547126436781609,1.692857142857143,1.5918556140894367,3.503470422292657,6.362774822383777,4.186491004014166,0.0172407531216232,0.0313115330396916,0.020601931555303845,1.0462,4.3744,1.9450357182463731
