region,factor,optimal_distance,max_correlation,p_value
0470,STD_DIP,50,-0.16700301500810258,0.016429477954210434
0470,K_age,20,-0.1266061460207412,0.07046252572500601
0470,K_soil,20,0.07518485388272413,0.2839814763023044
0470,K_traffic,20,-0.0451711968655328,0.5201418418723248
0470,hoop_stress,10,0.13073490573958535,0.06707940923756864
0470,K_stress,50,-0.15992348203288473,0.02166643720175328
0470,K_total,10,0.3328543698675497,1.7609558327113408e-06
0470,D_final,10,0.33285436986754935,1.760955832711373e-06
0470,K_repair,20,0.3577465654505496,1.3930898486471557e-07
0480,STD_DIP,10,-0.14215256285570774,0.08808239150945849
0480,K_age,20,0.10154149524249845,0.2226395872537247
0480,K_traffic,10,-0.16527117932206145,0.04696817229852623
0480,hoop_stress,10,-0.11399998187185927,0.17215382629943043
0480,K_stress,10,-0.15150743483178408,0.06889359480174917
0480,K_total,30,0.1935533684594356,0.019242877159156357
0480,D_final,30,0.1935533684594346,0.019242877159156735
0480,K_repair,30,0.24120933687662405,0.0033578541556406457
0490,STD_DIP,100,-0.09364614320803706,0.13664939305185217
0490,K_age,100,-0.07514192307628406,0.23273385242498515
0490,K_traffic,30,-0.19268740965259284,0.002037276523748887
0490,hoop_stress,20,0.09965882962708761,0.11381861362322686
0490,K_stress,100,-0.07832869820596082,0.21345947824079337
0490,K_total,50,0.11025175656127251,0.07946353006717335
0490,D_final,100,-0.1046018909686091,0.09622773929947934
0490,K_repair,30,0.2539121035582276,4.2394375840124e-05
