cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,1,35.8963622,128.6108785,37874,SPLY_LS,5.220132788024812,8,13,80,29.833299227846965,1.6784394250513346,1.688021902806297,1.583418153174228,1.0,1.0,1.0,1.0,1.2,1.0438535533281188,7.471264367816092,9.523809523809524,7.923026070626691,1.547126436781609,2.1333333333333337,1.7384811181563995,2.898233838973815,7.038973878554787,5.143979656934987,0.0142785837427803,0.0346785606587819,0.025342587376838706,0.691,3.1863,1.64820687349226
1,1,35.89607289999999,128.6121391,37859,SPLY_LS,4.679720226085752,13,13,150,39.88575671691531,1.6501300479123886,1.6926762491444216,1.6363054327256614,1.0,1.0,1.0,1.0,1.6,1.1721243307073859,7.471264367816092,12.5,7.839934830302886,1.547126436781609,3.3000000000000003,1.8314167676906021,6.576928504318982,11.330398627606204,6.561981251902628,0.0324022248158031,0.0558209083986961,0.03232858493468604,2.9032,4.0667,1.8273842902374071
2,3,35.89471045000003,128.6090872500002,143900,SPLY_LS,3.276531664324271,9,13,80,23.979959999814575,1.6160711841204654,1.808213552361396,1.6082953921195435,1.0,1.0,1.0,1.0,1.2,1.0495051343331838,7.471264367816092,9.846153846153848,8.36700676618733,1.547126436781609,2.1333333333333337,1.70905050083506,6.052880729618639,10.268521232283549,5.864925423607876,0.0298204248465756,0.0505894101290297,0.028894434838217686,2.6679,4.0012,2.1280390079043814
3,1,35.89510799999999,128.6111366,177234,SPLY_LS,2.0933619232941627,13,13,150,32.52932554544886,1.7439288158795343,1.7526899383983574,1.6637942696185977,1.0,1.0,1.0,1.2,1.2,1.1757946735710714,7.471264367816092,12.5,8.029799490874359,1.547126436781609,3.3000000000000003,1.7739486164787854,4.78526973539599,9.135449829878205,5.261719321421172,0.0235753491418886,0.0450071639043694,0.02592264949487956,1.2393,3.4584,1.229808590356066
4,4,35.89534400000001,128.6100321,106458,SPLY_LS,6.808682973195061,12,13,80,25.457463733132712,1.713812457221081,1.7326488706365502,1.5917198643109276,1.0,1.0,1.0,1.0,1.2,1.0253666151788872,7.471264367816092,11.428571428571429,8.080408657655928,1.547126436781609,2.1333333333333337,1.692596249695217,12.604472512292295,12.604472512292295,6.449926603485004,0.0620978245026848,0.0620978245026848,0.03177653090105933,6.2024,6.2024,2.6008290498651774
5,1,35.892652,128.6068654,3677,PIPE_LM,6.059643953820982,13,25,100,30.78876344194999,1.7326488706365502,1.7326488706365502,1.5777048001735205,1.0,1.0,1.0,1.0,1.6,1.0400010301529163,8.928571428571429,16.3265306122449,9.512838553032323,1.692857142857143,2.840816326530613,1.8166275860944225,2.526479450583996,5.1356417169384585,2.991490202798441,0.0124470799852196,0.0253015092647548,0.014738025207616889,0.2592,1.0962,0.5774266591105991
6,1,35.89482600000001,128.6093499,143903,SPLY_LS,6.568498626806264,9,40,150,56.49916644682751,1.350006844626968,1.7146338124572211,1.5092711487021782,1.0,1.0,1.0,1.0,1.2,1.0272305801067223,14.285714285714286,14.285714285714286,10.114536026131773,2.2285714285714286,3.3000000000000003,2.156736736541565,4.61520521590918,8.32402278759577,4.5921331495968305,0.0227375007769589,0.0410095468665087,0.02262383278146119,1.1873,2.6674,0.8439696834772271
7,1,35.894353,128.6110253,4689,SPLY_LS,3.743340320300144,3,20,150,62.77046770170643,1.7066392881587953,1.7066392881587953,1.5626140027166207,1.0,1.0,1.0,1.6,1.6,1.6,9.523809523809524,12.5,10.370867454892693,1.7523809523809524,3.3000000000000003,2.2393912158344715,5.898204196164758,10.110827862435327,7.250256865332852,0.0290583877030351,0.049812510088467,0.03571947798559207,0.8238,0.9913,0.7022671163814425
8,3,35.89591025000361,128.6120980999865,211331,SPLY_LS,8.711154592533976,12,13,80,34.895611847720126,1.7023134839151268,1.7023134839151268,1.595734209938394,1.0,1.0,1.0,1.0,1.6,1.1759537375673361,7.471264367816092,10.95890410958904,7.780727161210119,1.547126436781609,2.16986301369863,1.7707895381032814,5.302323696092739,8.695235905122516,5.890597957728073,0.0261226930373552,0.0428383839719718,0.029020914428440958,2.0503,4.0667,1.7771000184667116
9,1,35.8929585,128.6094276,212239,SPLY_LS,6.964328808312295,6,20,150,41.53632502066956,1.3305133470225874,1.735934291581109,1.5338542828144333,1.0,1.0,1.0,1.6,1.6,1.4238397484369874,9.523809523809524,12.5,9.15026678237813,1.7523809523809524,3.3000000000000003,1.9422717343754623,4.272299220282296,10.110827862435327,5.437406067187828,0.0210481229536037,0.049812510088467,0.026788196600910863,0.6945,1.8525,0.8494446759868789
