region,factor,optimal_distance,max_correlation,p_value
0243,STD_DIP,10,-0.1366485602297198,0.10614696118307633
0243,K_age,10,-0.19642305483433972,0.01957366451922096
0243,K_traffic,100,-0.06519403128292872,0.43593564884829716
0243,hoop_stress,10,-0.06842805739752635,0.4200982096424792
0243,K_stress,10,-0.12015240970625246,0.1558473074523598
0243,K_repair,10,0.4745571354716962,2.765932731680101e-09
0243,K_total,10,0.4094116663334034,4.631992243224268e-07
0243,D_final,20,0.34222377148367816,2.5179273151704926e-05
0461,STD_DIP,20,-0.09412974458659144,0.16906253810303526
0461,K_age,50,0.1096932652014577,0.10708903102058309
0461,K_soil,10,0.09156418195039755,0.19835987976749878
0461,K_traffic,100,0.058805583938625554,0.3886856768310539
0461,hoop_stress,30,-0.07139340886034244,0.2951212916552299
0461,K_stress,20,-0.08679300251010369,0.2049373499264918
0461,K_repair,10,0.4679487779857514,3.1910215714913906e-12
0461,K_total,10,0.4369310849004192,1.1032894853951893e-10
0461,D_final,10,0.4369310849004193,1.1032894853951616e-10
0470,STD_DIP,50,-0.16700301500810258,0.016429477954210434
0470,K_age,20,-0.12660614602074122,0.07046252572500601
0470,K_soil,20,0.07518485388272413,0.2839814763023044
0470,K_traffic,20,-0.0451711968655328,0.5201418418723248
0470,hoop_stress,10,0.13073490573958535,0.06707940923756864
0470,K_stress,50,-0.15992348203288473,0.02166643720175328
0470,K_repair,20,0.47299982416033515,7.981714657744214e-13
0470,K_total,10,0.5196250299004561,5.108512013231754e-15
0470,D_final,10,0.5196250299004561,5.108512013231754e-15
0480,STD_DIP,10,-0.14215256285570774,0.08808239150945849
0480,K_age,20,0.10154149524249831,0.22263958725372557
0480,K_traffic,10,-0.16527117932206145,0.04696817229852623
0480,hoop_stress,10,-0.11399998187185927,0.17215382629943043
0480,K_stress,10,-0.15150743483178408,0.06889359480174917
0480,K_repair,10,0.4889349747421411,4.383849757774215e-10
0480,K_total,10,0.46336439403334895,4.385613014505214e-09
0480,D_final,10,0.463364394033349,4.385613014505214e-09
0490,STD_DIP,100,-0.09364614320803706,0.13664939305185217
0490,K_age,100,-0.07514192307628412,0.23273385242498298
0490,K_traffic,30,-0.19268740965259284,0.002037276523748887
0490,hoop_stress,20,0.09965882962708761,0.11381861362322686
0490,K_stress,100,-0.07832869820596082,0.21345947824079337
0490,K_repair,10,0.4832334933549184,7.394174062134917e-16
0490,K_total,10,0.40734972992761515,2.7263331591535195e-11
0490,D_final,10,0.4073497299276152,2.7263331591535195e-11
