cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_K_repair,max_K_repair,avg_K_repair,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.319057244275564,41,1.6672142368240932,1.7526899383983574,1.6456953248249482,1.0,1.0,1.0,1.0,1.6,1.066443726052904,7.471264367816092,14.285714285714286,7.728498118795521,1.547126436781609,2.466666666666667,1.6692920839979206,2.3468337419948377,7.145312427849419,3.666734854559227,0.3785,2.4829,0.8075452452180895,13,100,23.786820854492852,0.0097793735445795,0.0297748741524699,0.015279467475690976
1,1,35.8948401,128.6108953,107356,SPLY_LS,5.4582102863219175,52,1.6154688569472964,1.7526899383983574,1.5612904784570956,1.0,1.0,1.0,1.0,1.6,1.0900098774999247,7.471264367816092,17.857142857142858,9.429758821699092,1.547126436781609,3.3000000000000003,1.9644016815853538,7.701065080626144,21.10882891509861,6.906549309421564,3.6684,8.1373,2.1837012854253874,13,150,42.4110658019205,0.0320907232442231,0.0879615455306616,0.028779936299825074
2,1,35.890437,128.6039201,73313,PIPE_LM,3.7182269888809656,64,1.373223819301848,1.862532511978097,1.592106037582478,1.0,1.0,1.0,1.2,1.6,1.099549390370815,17.857142857142858,17.857142857142858,8.876388814889822,2.585714285714286,2.840816326530613,1.7264615229581628,4.345598302338505,44.320708637351565,6.847639329088376,0.4374,9.828,2.3754697472851407,50,100,22.81180637002085,0.0181083254057596,0.1846866089272758,0.028534455466277673
3,2,35.89857815,128.6041736,143359,SPLY_LS,7.277534000002923,32,1.6140451745379876,1.7526899383983574,1.6122349456712477,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,17.857142857142858,8.686370554125254,1.547126436781609,3.3000000000000003,1.9537646875726922,2.9014239306293006,8.153821201341549,4.2053902974683615,0.7604,1.9523,0.8098154019396112,13,150,46.86480434893933,0.0120903785901288,0.0339773806370502,0.017524071639065487
4,1,35.8954174,128.6096018,245306,PIPE_LM,6.387179434234732,60,1.6726899383983571,1.7612867898699522,1.586182904398206,1.0,1.0,1.0,1.2,1.2,1.037278095130159,6.666666666666667,17.857142857142858,8.702006852371179,2.1333333333333337,3.3000000000000003,1.875087299555573,5.1880674570451015,13.490284710596164,5.738275545866155,0.1669,7.0042,1.8341610012659764,80,150,38.4755802967699,0.0216189364968797,0.0562146909032897,0.023911681113401508
5,1,35.8960453,128.6009302,143211,SPLY_LS,13.800348151893804,56,1.625160848733744,1.792662559890486,1.6350955184561409,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,20.833333333333332,9.030320118426703,1.547126436781609,4.966666666666667,1.8286475917660003,2.241835262814255,9.737784085247704,4.092956961250046,0.3509,3.0687,1.1564877936137627,13,300,33.097502558207935,0.0093418396319101,0.0405778331724314,0.01705555630537696
6,1,35.8979493,128.6042737,106802,SPLY_LS,6.925832555097114,62,1.702422997946612,1.7457905544147845,1.6734187597880592,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,17.857142857142858,7.868720787143816,1.547126436781609,2.585714285714286,1.633703088054834,3.977128986328045,9.10359990803878,4.254816524226167,1.2878,4.3426,1.3927513360596644,13,80,19.324004296421933,0.0165728953424782,0.037935155996793,0.01773003319727659
7,5,35.8952774,128.6101531,245302,SPLY_LS,6.9936724839440245,53,1.6729637234770705,1.7526899383983574,1.5960651009239526,1.0,1.0,1.0,1.0,1.2,1.0326294603307995,7.471264367816092,12.5,8.499208972478456,1.547126436781609,3.3000000000000003,1.7255184697645296,3.29057690626739,13.490284710596164,6.362078003656238,0.9262,7.0042,2.447076469038021,13,150,24.96926248970203,0.0137119984972615,0.0562146909032897,0.026511097145135682
8,1,35.8938976,128.5983609,142119,PIPE_LM,8.407063955836193,74,1.5126899383983572,1.712662559890486,1.5999193934286835,1.0,1.3,1.0159051680012465,1.2,1.4,1.0878668809480077,6.666666666666667,20.833333333333332,9.24100238900806,2.1333333333333337,4.966666666666667,2.0182500268533397,5.446902217806149,19.35919431283192,5.556253645267902,0.3547,3.6058,1.1718275221155128,80,300,50.46919035668839,0.0226975138867091,0.0806707306612862,0.02315318675251357
9,4,35.89371025,128.59912815,142115,SPLY_LS,6.4465732316027395,30,1.7000136892539357,1.7237234770704997,1.64124277378966,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,8.767957683903926,1.547126436781609,2.5777777777777775,1.7612903254720198,5.151423908203675,10.710689455521054,4.839477758200948,1.9675,5.2697,1.6240214444188985,13,80,28.476836759063065,0.0214662409966801,0.044631978495629,0.020166345792311205
