cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.61252699020841,105,1.667104722792608,1.752580424366872,1.6309975497088405,1.0,1.0,1.0,1.0,1.6,1.0807856697872238,7.471264367816092,25.3968253968254,8.086320589670931,1.547126436781609,3.9746031746031742,1.6873920317238174,1.7023428261929738,9.545899817069012,2.2351646085034282,13,200,24.62545405564494,0.0088052831513418,0.0493756895087986,0.011561277179253513
1,1,35.890437,128.6039201,38892,SPLY_LS,4.889799116019441,156,1.637426420260096,1.862422997946612,1.6017079467809912,1.0,1.0,1.0,1.0,1.6,1.0786992510837108,7.471264367816092,17.857142857142858,8.36379918897618,1.547126436781609,3.3000000000000003,1.6654837485313025,1.6720372042850864,8.305802812740584,2.022687119497563,13,150,19.57936046344458,0.0086485288373043,0.04296134975876,0.010462247991245118
2,1,35.8895649,128.6026112,107443,SPLY_LS,8.906133093295661,154,1.6527583846680356,2.160684462696783,1.6257812502835407,1.0,1.0,1.0,1.0,1.6,1.1003532935427058,7.471264367816092,17.857142857142858,8.041190416240928,1.547126436781609,3.9746031746031742,1.6429515729279704,1.6876932451231097,11.140823772476027,2.031905475903839,13,200,19.542768250923796,0.008729508925737,0.0576253539219436,0.010509929478838774
3,1,35.8902294,128.6026617,37842,SPLY_LS,6.668174658061635,169,1.5473511293634497,1.736536618754278,1.6233561053457681,1.0,1.0,1.0,1.0,1.4,1.0412657143932036,9.523809523809524,17.857142857142858,8.110277247757299,1.7523809523809524,2.840816326530613,1.6464352887815177,1.8326087118190488,6.137246981519508,1.8890648243131236,20,100,19.297094838347054,0.0094790769314484,0.0317446031495605,0.009771093350518373
4,2,35.8898263,128.6010129,47811,PIPE_LM,7.639698935722547,70,1.752580424366872,1.8395893223819304,1.6166229221141615,1.0,1.3,1.0140337433431923,1.4,1.6,1.1467903550398129,17.857142857142858,17.857142857142858,9.650881373592986,2.585714285714286,3.9746031746031742,1.9419491923077465,4.501480325325999,9.264608155875385,2.7819308920605654,50,400,40.97520082486929,0.0232836819087324,0.394529785476943,0.01731731567675242
5,1,35.8910713,128.6032933,143987,SPLY_LS,7.6161518664272805,180,1.6575222450376454,1.987707049965777,1.6206934965415873,1.0,1.0,1.0,1.0,1.6,1.0359198041737898,7.471264367816092,17.857142857142858,8.08025848936415,1.547126436781609,3.3000000000000003,1.6497678079240763,1.6925578006692092,9.573825895739466,1.9688707169995883,13,150,19.656591582713094,0.0087546705960714,0.0495201357544176,0.010183885340144475
6,1,35.8918995,128.6034968,73348,SPLY_LS,5.177025669162032,131,1.7201095140314853,1.987707049965777,1.633920238476076,1.0,1.0,1.0,1.0,1.6,1.0721864546352222,7.471264367816092,25.3968253968254,8.554971197466116,1.547126436781609,3.9746031746031742,1.7567020255852495,1.7564679959472824,9.545899817069012,2.3331713310776134,13,200,28.71764847572008,0.0090852428856375,0.0493756895087986,0.012068212051432351
7,3,35.89056696666667,128.60295126666668,212347,SPLY_LS,7.644346624939432,179,1.704996577686516,1.862422997946612,1.610157761107394,1.0,1.0,1.0,1.0,1.6,1.0370712691863249,7.471264367816092,17.857142857142858,8.276914657309273,1.547126436781609,3.3000000000000003,1.665339249494697,1.7410356128355169,9.573825895739466,1.9287664014489694,13,150,19.990502498656973,0.009005419655611,0.0495201357544176,0.009976447773174678
8,1,35.8899291,128.6016472,246339,SPLY_LS,6.189930870374972,112,1.72476386036961,1.8395893223819304,1.6292926680480038,1.0,1.3,1.0030434181225134,1.0,1.6,1.0851374323064167,7.471264367816092,17.857142857142858,8.553484691840577,1.547126436781609,3.9746031746031742,1.7573397407843312,1.761220722630254,11.140823772476027,2.236233191619657,13,400,28.6994827921272,0.0091098261267688,0.394529785476943,0.013455448053599207
9,1,35.8906833,128.6034433,178220,SPLY_LS,6.296596086828417,200,1.675482546201232,1.862422997946612,1.6201003489876777,1.0,1.0,1.0,1.0,1.6,1.0447302456129959,7.471264367816092,17.857142857142858,8.089567289778035,1.547126436781609,3.3000000000000003,1.6431586997641574,1.7108977342223222,8.305802812740584,1.95945927324704,13,150,19.018802958525196,0.0088495329853782,0.04296134975876,0.010135205117906606
