cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.61252699020841,4,1.667104722792608,1.7276112251882272,1.666224470287776,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,1.7023428261929738,1.7641282730716008,1.7014439675211988,13,13,13.0,0.0088052831513418,0.0091248652860492,0.008800633849805003
1,1,35.890437,128.6039201,38892,SPLY_LS,4.889799116019441,5,1.637426420260096,1.6814510609171802,1.5710515372348164,1.0,1.0,1.0,1.0,1.2,1.0331675431721261,7.471264367816092,17.857142857142858,9.193634733692093,1.547126436781609,2.585714285714286,1.7193634733692094,1.6720372042850864,3.022994116231858,1.8730583707526123,13,50,19.135995486843314,0.0086485288373043,0.0156362859165034,0.009688300769799284
2,1,35.8895649,128.6026112,107443,SPLY_LS,8.906133093295661,2,1.6527583846680356,1.6527583846680356,1.6506147666403364,1.0,1.0,1.0,1.0,1.2,1.0954824981240463,7.471264367816092,7.471264367816092,7.471264367816093,1.547126436781609,1.547126436781609,1.5471264367816093,1.6876932451231097,2.0197299140817973,1.846211698227922,13,13,13.000000000000002,0.008729508925737,0.0104469519940923,0.009549437698498956
3,1,35.8902294,128.6026617,37842,SPLY_LS,6.668174658061635,1,1.5473511293634497,1.5473511293634497,1.5473511293634497,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,9.523809523809524,9.523809523809524,1.7523809523809524,1.7523809523809524,1.7523809523809524,1.8326087118190488,1.8326087118190488,1.8326087118190488,20,20,20.0,0.0094790769314484,0.0094790769314484,0.0094790769314484
4,2,35.8898263,128.6010129,47811,PIPE_LM,7.639698935722547,1,1.752580424366872,1.752580424366872,1.7525804243668721,1.0,1.0,1.0,1.4,1.4,1.4,17.857142857142858,17.857142857142858,17.857142857142858,2.585714285714286,2.585714285714286,2.585714285714286,4.501480325325999,4.501480325325999,4.501480325325999,50,50,50.0,0.0232836819087324,0.0232836819087324,0.0232836819087324
5,1,35.8910713,128.6032933,143987,SPLY_LS,7.6161518664272805,2,1.6575222450376454,1.6575222450376454,1.6248466451625372,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,1.6925578006692092,1.6925578006692092,1.6591915266262904,13,13,13.0,0.0087546705960714,0.0087546705960714,0.00858208521189812
6,1,35.8918995,128.6034968,73348,SPLY_LS,5.177025669162032,5,1.7201095140314853,1.732539356605065,1.6954015435232437,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,7.873974579686734,1.547126436781609,1.7523809523809524,1.5873974579686734,1.7564679959472824,2.051936795877722,1.7867185780520873,13,20,14.373402906563639,0.0090852428856375,0.0106135404798377,0.009241712509045475
7,3,35.89056696666667,128.60295126666668,212347,SPLY_LS,7.644346624939432,1,1.704996577686516,1.704996577686516,1.704996577686516,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,1.7410356128355169,1.7410356128355169,1.7410356128355169,13,13,13.0,0.009005419655611,0.009005419655611,0.009005419655611
8,1,35.8899291,128.6016472,246339,SPLY_LS,6.189930870374972,1,1.72476386036961,1.72476386036961,1.72476386036961,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816093,1.547126436781609,1.547126436781609,1.547126436781609,1.761220722630254,1.761220722630254,1.761220722630254,13,13,13.0,0.0091098261267688,0.0091098261267688,0.0091098261267688
9,1,35.8906833,128.6034433,178220,SPLY_LS,6.296596086828417,3,1.675482546201232,1.6767967145790554,1.6759972262469203,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.5471264367816089,1.7108977342223222,1.7122396805798672,1.711423293217857,13,13,12.999999999999998,0.0088495329853782,0.0088564741358153,0.008852251413004652
