cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.61252699020841,32,1.667104722792608,1.752580424366872,1.6528544045237807,1.0,1.0,1.0,1.0,1.6,1.0265782964684214,7.471264367816092,14.285714285714286,7.639996672895996,1.547126436781609,2.466666666666667,1.5965709688250187,1.7023428261929738,6.765299822039701,1.9141070604254782,13,100,17.004029071192814,0.0088052831513418,0.0349931750645092,0.009900623064697727
1,1,35.890437,128.6039201,38892,SPLY_LS,4.889799116019441,51,1.637426420260096,1.862422997946612,1.6002492885457889,1.0,1.0,1.0,1.0,1.6,1.0859311643019844,7.471264367816092,17.857142857142858,8.31419743398775,1.547126436781609,2.585714285714286,1.6361574288615455,1.6720372042850864,8.305802812740584,2.0068450986200825,13,50,17.100161287732075,0.0086485288373043,0.04296134975876,0.010380305930357395
2,1,35.8895649,128.6026112,107443,SPLY_LS,8.906133093295661,51,1.6527583846680356,1.7249828884325804,1.6324538778306257,1.0,1.0,1.0,1.0,1.6,1.0764368418599153,7.471264367816092,15.873015873015872,7.953005607434615,1.547126436781609,3.9746031746031742,1.628420758614966,1.6876932451231097,11.140823772476027,1.9783763750953054,13,200,18.605420827066148,0.008729508925737,0.0576253539219436,0.010233052881361674
3,1,35.8902294,128.6026617,37842,SPLY_LS,6.668174658061635,36,1.5473511293634497,1.736536618754278,1.6426152361586839,1.0,1.0,1.0,1.0,1.4,1.0491047984069124,9.523809523809524,16.3265306122449,8.15368803033617,1.7523809523809524,2.840816326530613,1.6525884696925608,1.8326087118190488,5.073974866529774,1.9268451905044879,20,100,19.7909067017491,0.0094790769314484,0.0262448812983819,0.009966510405624896
4,2,35.8898263,128.6010129,47811,PIPE_LM,7.639698935722547,24,1.752580424366872,1.752580424366872,1.6054986191778928,1.0,1.3,1.0225519536841854,1.4,1.4,1.153788316280431,17.857142857142858,17.857142857142858,10.085952132714539,2.585714285714286,3.9746031746031742,2.0156689259814433,4.501480325325999,9.264608155875385,2.9774715999998262,50,200,43.413140649544644,0.0232836819087324,0.0479207224558576,0.015400822977419064
5,1,35.8910713,128.6032933,143987,SPLY_LS,7.6161518664272805,52,1.6575222450376454,1.7474332648870636,1.6194715816099612,1.0,1.0,1.0,1.0,1.2,1.0056482962017812,7.471264367816092,17.857142857142858,8.016323046427756,1.547126436781609,3.3000000000000003,1.63430200638752,1.6925578006692092,5.700821438438788,1.8110913571213423,13,150,18.29114714761083,0.0087546705960714,0.0294872138492527,0.009367779490142239
6,1,35.8918995,128.6034968,73348,SPLY_LS,5.177025669162032,46,1.7201095140314853,1.7468309377138946,1.657352181502979,1.0,1.0,1.0,1.0,1.6,1.0477911636549793,7.471264367816092,14.22222222222222,8.168819744321333,1.547126436781609,2.5777777777777775,1.6710496177113527,1.7564679959472824,5.92764622492414,2.055449068297795,13,80,22.006509134325434,0.0090852428856375,0.0306604537161088,0.010631707533316877
7,3,35.89056696666667,128.60295126666668,212347,SPLY_LS,7.644346624939432,56,1.704996577686516,1.736536618754278,1.6073517240266166,1.0,1.0,1.0,1.0,1.4,1.0214504951323184,7.471264367816092,17.857142857142858,8.403585129247292,1.547126436781609,2.840816326530613,1.6808637212867563,1.7410356128355169,6.137246981519508,1.9052952625979658,13,100,20.834398524233368,0.009005419655611,0.0317446031495605,0.009855044481024805
8,1,35.8899291,128.6016472,246339,SPLY_LS,6.189930870374972,42,1.72476386036961,1.8395893223819304,1.640562581473079,1.0,1.0,1.0,1.0,1.6,1.0345949861672044,7.471264367816092,14.22222222222222,8.268512455545507,1.547126436781609,2.5777777777777775,1.709740397550918,1.761220722630254,4.6051060805940045,1.9963970265331834,13,80,24.306563611428782,0.0091098261267688,0.0238196809465684,0.010326263799891522
9,1,35.8906833,128.6034433,178220,SPLY_LS,6.296596086828417,51,1.675482546201232,1.862422997946612,1.6415065148160253,1.0,1.0,1.0,1.0,1.2,1.0460540987176017,7.471264367816092,17.857142857142858,8.013049951370506,1.547126436781609,2.585714285714286,1.6310083472452872,1.7108977342223222,8.305802812740584,2.0231502976811346,13,80,18.311014753203988,0.0088495329853782,0.04296134975876,0.010464643757240735
