region,factor,optimal_distance,max_correlation,p_value
0470,K_age,20,0.0704,0.3809
0470,K_traffic,10,-0.0862,0.2944
0470,hoop_stress,20,-0.0596,0.4584
0470,K_stress,20,-0.0959,0.2321
0470,K_total,10,0.1865,0.0223
0470,STD_DIP,20,-0.1019,0.2041
0470,D_final,10,0.1865,0.0223
0480,K_age,10,0.0815,0.3625
0480,K_traffic,10,-0.1129,0.2062
0480,hoop_stress,10,-0.112,0.21
0480,K_stress,20,-0.0245,0.7841
0480,K_total,10,0.1049,0.2403
0480,STD_DIP,10,0.0097,0.9142
0480,D_final,10,0.1049,0.2403
0490,K_age,20,0.0652,0.329
0490,K_traffic,10,-0.0275,0.6847
0490,hoop_stress,20,0.054,0.4195
0490,K_stress,20,0.0809,0.2255
0490,K_total,20,0.1552,0.0196
0490,STD_DIP,20,0.083,0.2141
0490,D_final,20,0.1552,0.0196
