cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,구군,대표_주소
2183,33,205.4,0.0,868.0,2007-10-05 ~ 2022-05-31,,
21,30,166.8,0.0,1320.0,2008-11-27 ~ 2020-10-23,,
264,28,118.0,0.0,430.0,2010-05-11 ~ 2018-10-15,,
3819,28,138.0,0.0,477.0,2009-11-30 ~ 2018-08-20,,
331,27,165.7,0.0,769.0,2009-07-27 ~ 2021-05-26,,
6594,26,110.5,0.0,408.0,2009-03-10 ~ 2016-03-05,,
4167,25,171.1,0.0,728.0,2008-06-05 ~ 2015-12-10,,
5172,25,228.7,0.0,1397.0,2007-12-06 ~ 2021-09-25,,
49,24,215.4,1.0,1023.0,2009-09-15 ~ 2020-12-08,,
935,24,195.7,1.0,670.0,2009-04-03 ~ 2021-01-26,,
3661,23,139.2,7.0,507.0,2007-11-09 ~ 2014-09-26,,
3805,23,159.2,1.0,738.0,2010-01-08 ~ 2017-06-16,,
2660,23,219.0,7.0,794.0,2007-12-11 ~ 2021-03-02,,
312,22,261.1,17.0,849.0,2009-01-16 ~ 2019-01-25,,
538,21,264.0,0.0,893.0,2007-12-01 ~ 2021-08-30,,
2653,20,326.4,49.0,828.0,2007-10-17 ~ 2020-04-27,,
9301,20,422.5,0.0,1617.0,2009-08-28 ~ 2022-05-23,,
224,19,264.0,5.0,537.0,2009-01-30 ~ 2020-09-01,,
3522,19,252.6,3.0,693.0,2008-10-13 ~ 2018-06-27,,
252,19,297.3,0.0,701.0,2007-06-08 ~ 2019-08-27,,
2701,19,284.5,2.0,1389.0,2008-03-06 ~ 2019-11-18,,
573,18,320.3,0.0,968.0,2009-06-25 ~ 2020-01-11,,
7,18,283.2,2.0,1067.0,2009-02-06 ~ 2021-07-12,,
77,18,261.8,0.0,945.0,2010-03-25 ~ 2022-06-09,,
12,17,296.4,61.0,809.0,2009-06-11 ~ 2020-10-26,,
1140,17,335.5,0.0,904.0,2007-12-11 ~ 2019-11-25,,
266,16,201.6,0.0,650.0,2011-01-18 ~ 2018-10-17,,
4172,16,347.8,0.0,1027.0,2007-09-14 ~ 2017-03-27,,
6633,15,239.4,1.0,583.0,2009-01-19 ~ 2018-03-29,,
8247,15,256.1,0.0,881.0,2010-11-01 ~ 2020-09-01,,
539,14,348.2,61.0,1478.0,2008-02-20 ~ 2020-07-19,,
3114,14,584.6,183.0,1240.0,2009-10-28 ~ 2017-11-01,,
254,14,353.2,28.0,1652.0,2008-09-29 ~ 2020-05-14,,
652,14,332.8,6.0,1303.0,2009-03-14 ~ 2021-01-22,,
7155,14,267.6,7.0,915.0,2009-06-01 ~ 2018-12-15,,
973,13,263.9,0.0,1258.0,2011-01-12 ~ 2019-09-19,,
6683,13,401.9,19.0,1231.0,2008-11-26 ~ 2021-01-08,,
4530,13,580.2,54.0,1261.0,2008-08-07 ~ 2018-02-19,,
799,13,375.6,0.0,972.0,2009-04-17 ~ 2020-08-15,,
6979,13,364.2,9.0,1160.0,2009-05-04 ~ 2020-04-27,,
8709,12,357.8,14.0,918.0,2011-02-19 ~ 2021-12-04,,
10397,12,489.0,30.0,1028.0,2007-05-04 ~ 2022-01-29,,
5461,12,480.5,42.0,1742.0,2006-12-22 ~ 2021-06-14,,
3548,12,372.3,112.0,1185.0,2007-12-15 ~ 2017-02-20,,
3543,12,377.9,15.0,1198.0,2007-08-20 ~ 2015-12-03,,
11912,12,385.8,95.0,1335.0,2007-07-01 ~ 2019-02-18,,
3356,11,405.3,43.0,1104.0,2009-05-04 ~ 2017-02-13,,
6200,11,454.1,2.0,1270.0,2007-12-03 ~ 2020-05-13,,
3715,11,508.2,70.0,1183.0,2008-11-02 ~ 2019-12-25,,
5600,11,405.4,6.0,1179.0,2008-01-02 ~ 2019-02-12,,
1952,10,704.1,0.0,2293.0,2008-08-11 ~ 2022-02-10,,
5124,10,403.8,0.0,1543.0,2009-04-07 ~ 2018-02-12,,
315,10,445.2,23.0,1796.0,2009-05-01 ~ 2020-04-24,,
1204,10,310.7,44.0,630.0,2015-11-26 ~ 2021-01-04,,
2886,10,413.4,17.0,872.0,2009-08-21 ~ 2019-11-02,,
5349,10,455.6,37.0,2005.0,2010-06-07 ~ 2019-03-05,,
6932,10,332.1,63.0,726.0,2009-04-03 ~ 2015-08-17,,
902,10,627.7,313.0,966.0,2008-01-02 ~ 2020-01-16,,
5757,10,534.4,6.0,1689.0,2009-08-10 ~ 2021-04-26,,
4154,10,369.2,9.0,914.0,2007-09-01 ~ 2013-09-26,,
516,10,517.1,10.0,1262.0,2009-12-20 ~ 2021-04-21,,
3282,10,741.0,355.0,1114.0,2008-12-10 ~ 2017-01-23,,
1287,10,443.3,66.0,2346.0,2009-12-21 ~ 2020-11-27,,
4051,10,555.8,100.0,1157.0,2009-01-16 ~ 2018-03-08,,
3202,10,487.4,30.0,1133.0,2007-07-11 ~ 2016-11-15,,
362,10,427.6,36.0,906.0,2008-09-22 ~ 2019-04-11,,
9510,10,548.8,168.0,993.0,2007-07-24 ~ 2021-02-02,,
2616,9,506.7,1.0,1065.0,2009-10-07 ~ 2019-06-27,,
503,9,582.3,3.0,2754.0,2007-11-05 ~ 2019-01-05,,
2423,9,530.0,62.0,1365.0,2013-07-15 ~ 2022-04-01,,
637,9,773.3,284.0,1617.0,2007-12-06 ~ 2020-08-21,,
5489,9,316.0,116.0,726.0,2011-06-16 ~ 2017-07-10,,
5069,9,414.4,7.0,1931.0,2008-03-10 ~ 2016-02-23,,
7407,9,746.7,167.0,2585.0,2010-01-11 ~ 2022-04-22,,
8323,9,382.9,13.0,1236.0,2010-09-28 ~ 2018-02-01,,
12284,9,519.6,0.0,2581.0,2013-07-01 ~ 2024-11-17,,
259,9,478.9,0.0,1571.0,2011-01-03 ~ 2021-07-03,,
179,9,295.1,0.0,1113.0,2015-09-24 ~ 2022-03-14,,
18033,9,215.0,0.0,611.0,2016-10-20 ~ 2021-07-09,,
1269,9,549.8,7.0,2335.0,2010-05-05 ~ 2022-05-25,,
965,9,783.2,83.0,2481.0,2008-05-13 ~ 2021-03-26,,
139,9,521.4,2.0,1247.0,2009-03-20 ~ 2020-08-24,,
6494,9,555.4,0.0,2526.0,2009-01-15 ~ 2021-03-19,,
134,9,829.2,168.0,1778.0,2007-10-10 ~ 2021-05-28,,
3194,9,294.8,12.0,513.0,2010-05-15 ~ 2013-08-08,,
1193,9,529.4,198.0,1136.0,2008-02-18 ~ 2019-09-27,,
15528,9,341.4,10.0,1045.0,2014-12-26 ~ 2022-06-21,,
6860,9,397.9,45.0,1229.0,2008-04-07 ~ 2016-12-27,,
1472,9,2467.5,1465.0,3470.0,2008-07-16 ~ 2022-01-19,,
3513,9,772.6,167.0,1534.0,2009-07-10 ~ 2020-02-08,,
1524,9,522.3,4.0,1492.0,2012-12-03 ~ 2021-07-05,,
10627,8,396.1,4.0,1063.0,2012-08-02 ~ 2020-03-09,,
890,8,913.2,443.0,1447.0,2007-12-03 ~ 2020-06-05,,
6625,8,544.4,29.0,1690.0,2009-07-14 ~ 2019-12-23,,
2095,8,368.0,5.0,813.0,2018-01-10 ~ 2021-01-20,,
5434,8,880.8,226.0,1898.0,2007-11-19 ~ 2022-05-13,,
6036,8,698.0,273.0,1403.0,2008-11-15 ~ 2022-04-06,,
1373,8,514.8,68.0,1680.0,2011-02-07 ~ 2019-07-26,,
15291,8,409.3,0.0,1846.0,2014-07-09 ~ 2022-05-17,,
10058,8,1627.0,1627.0,1627.0,2012-10-19 ~ 2017-04-04,,
753,8,745.4,116.0,1448.0,2010-01-10 ~ 2020-03-27,,
1655,8,873.5,16.0,1930.0,2007-12-31 ~ 2022-05-10,,
788,8,663.9,159.0,1376.0,2007-03-08 ~ 2019-12-01,,
1443,8,664.2,0.0,3126.0,2011-06-10 ~ 2022-05-11,,
9839,8,349.7,0.0,1698.0,2012-12-10 ~ 2019-08-26,,
1437,8,723.1,0.0,2389.0,2010-01-03 ~ 2023-11-14,,
8903,8,910.2,102.0,3385.0,2009-03-13 ~ 2021-08-31,,
3586,8,896.3,25.0,1770.0,2010-12-01 ~ 2018-04-13,,
1791,8,355.3,0.0,2419.0,2014-08-01 ~ 2021-05-26,,
15148,8,136.3,34.0,378.0,2019-09-26 ~ 2022-05-11,,
5696,8,287.8,15.0,624.0,2010-04-21 ~ 2015-01-15,,
5654,8,736.7,120.0,3081.0,2008-03-25 ~ 2022-05-12,,
7228,8,692.9,68.0,2470.0,2008-02-25 ~ 2021-06-09,,
15153,8,303.6,25.0,945.0,2016-06-09 ~ 2022-04-07,,
1382,8,495.5,15.0,899.0,2011-02-08 ~ 2019-04-01,,
6250,8,364.4,16.0,1557.0,2008-12-23 ~ 2015-12-21,,
4783,8,273.8,4.0,545.0,2008-12-23 ~ 2013-06-25,,
4269,8,252.3,0.0,903.0,2008-08-01 ~ 2012-09-25,,
3343,8,599.2,11.0,1622.0,2009-04-23 ~ 2015-11-16,,
3971,8,819.3,0.0,1926.0,2009-03-26 ~ 2015-12-19,,
4454,8,781.2,449.0,1162.0,2007-04-04 ~ 2015-10-26,,
3883,8,481.2,21.0,973.0,2008-10-20 ~ 2015-05-26,,
4664,8,409.0,8.0,956.0,2013-01-14 ~ 2018-08-24,,
12690,8,150.1,0.0,690.0,2015-10-16 ~ 2018-09-03,,
4682,8,484.3,30.0,903.0,2008-07-25 ~ 2016-07-11,,
12727,8,630.7,0.0,1834.0,2010-11-25 ~ 2021-04-07,,
4709,8,225.8,26.0,823.0,2007-07-18 ~ 2011-04-05,,
3038,8,734.0,258.0,1486.0,2008-11-22 ~ 2014-12-04,,
4726,8,480.0,5.0,1374.0,2013-02-23 ~ 2018-05-31,,
348,8,833.3,0.0,2592.0,2008-08-29 ~ 2024-08-20,,
3142,8,1158.2,317.0,2277.0,2009-06-10 ~ 2022-02-17,,
3637,8,732.2,2.0,1439.0,2010-01-06 ~ 2018-01-15,,
3546,8,547.0,77.0,1261.0,2009-05-11 ~ 2016-11-07,,
8883,8,600.5,49.0,1052.0,2011-01-19 ~ 2020-12-02,,
15,8,423.7,1.0,1078.0,2012-10-15 ~ 2020-12-01,,
8326,8,498.4,18.0,1617.0,2010-12-09 ~ 2020-07-02,,
314,8,772.5,102.0,1968.0,2011-04-24 ~ 2019-10-11,,
90,8,261.6,28.0,404.0,2016-02-13 ~ 2021-02-20,,
3705,8,761.6,115.0,2166.0,2010-02-27 ~ 2020-08-03,,
7808,8,508.0,72.0,967.0,2011-01-13 ~ 2019-05-23,,
4927,8,954.2,178.0,2316.0,2008-03-21 ~ 2021-04-15,,
4176,7,848.8,111.0,1945.0,2012-01-25 ~ 2021-05-14,,
4250,7,1087.0,1.0,2269.0,2008-05-06 ~ 2020-04-02,,
4039,7,729.0,176.0,2125.0,2009-04-16 ~ 2019-04-11,,
6369,7,687.0,10.0,1608.0,2008-01-09 ~ 2019-04-26,,
4177,7,1217.3,177.0,3244.0,2011-02-20 ~ 2021-02-19,,
3035,7,859.3,134.0,2158.0,2015-04-14 ~ 2022-05-06,,
3010,7,2122.0,253.0,3991.0,2009-11-16 ~ 2021-07-01,,
2139,7,926.5,16.0,2451.0,2012-04-16 ~ 2022-06-11,,
9719,7,526.7,72.0,938.0,2012-02-29 ~ 2020-10-27,,
9705,7,268.0,6.0,1156.0,2008-03-18 ~ 2012-08-14,,
1451,7,783.2,29.0,2228.0,2009-02-12 ~ 2021-12-28,,
12511,7,806.0,0.0,1654.0,2008-03-28 ~ 2021-06-29,,
1273,7,406.0,310.0,558.0,2018-01-24 ~ 2021-05-28,,
3329,7,299.8,21.0,745.0,2009-10-19 ~ 2013-11-29,,
3369,7,1263.0,710.0,2180.0,2012-02-07 ~ 2022-06-24,,
12476,7,70.8,11.0,200.0,2015-07-02 ~ 2016-09-02,,
3408,7,773.0,63.0,2706.0,2010-02-23 ~ 2018-08-13,,
3437,7,706.2,70.0,2177.0,2010-01-05 ~ 2017-10-03,,
3530,7,1040.0,152.0,2876.0,2007-12-02 ~ 2019-04-25,,
3558,7,684.0,38.0,1407.0,2009-06-17 ~ 2016-12-15,,
6665,7,319.8,38.0,777.0,2009-02-01 ~ 2013-06-22,,
3848,7,679.0,195.0,1494.0,2016-09-14 ~ 2022-04-14,,
4310,7,547.8,42.0,1780.0,2008-09-11 ~ 2014-09-12,,
2859,7,552.7,0.0,1413.0,2013-03-11 ~ 2022-04-12,,
4804,7,762.8,3.0,1308.0,2010-05-09 ~ 2020-10-20,,
1846,7,826.6,77.0,2128.0,2011-01-14 ~ 2022-05-11,,
5500,7,580.0,8.0,2288.0,2010-12-02 ~ 2018-11-13,,
4744,7,629.6,11.0,1465.0,2007-12-18 ~ 2016-08-03,,
4750,7,133.8,0.0,407.0,2016-02-17 ~ 2017-12-20,,
4764,7,631.2,466.0,887.0,2012-03-14 ~ 2019-02-12,,
2473,7,1116.2,374.0,2241.0,2008-01-02 ~ 2020-03-26,,
1923,7,631.7,41.0,1305.0,2011-11-30 ~ 2022-04-18,,
10321,7,886.2,514.0,1372.0,2012-06-21 ~ 2022-03-08,,
4812,7,645.3,58.0,1324.0,2007-02-15 ~ 2017-09-25,,
4873,7,291.8,1.0,896.0,2017-03-22 ~ 2021-03-22,,
5356,7,300.4,14.0,734.0,2008-08-22 ~ 2012-10-04,,
14196,7,856.7,78.0,1612.0,2007-07-02 ~ 2021-07-30,,
2292,7,842.6,87.0,1936.0,2009-12-19 ~ 2021-07-05,,
5132,7,599.2,180.0,1082.0,2011-02-22 ~ 2019-05-09,,
4731,7,762.4,81.0,1952.0,2008-05-19 ~ 2018-10-30,,
4712,7,566.4,217.0,1447.0,2008-02-04 ~ 2015-11-09,,
6178,7,767.5,22.0,2580.0,2008-10-28 ~ 2021-06-09,,
5904,7,509.3,257.0,824.0,2008-01-30 ~ 2016-06-16,,
5152,7,675.8,154.0,1267.0,2007-01-01 ~ 2018-02-12,,
6145,7,564.5,262.0,907.0,2007-07-20 ~ 2013-09-26,,
9949,7,834.6,182.0,2419.0,2010-05-31 ~ 2021-11-05,,
11373,7,345.7,19.0,1533.0,2014-05-23 ~ 2020-01-30,,
5981,7,391.5,107.0,804.0,2007-06-13 ~ 2013-11-20,,
2812,7,402.2,8.0,712.0,2012-12-25 ~ 2019-08-06,,
11325,7,639.8,0.0,2435.0,2013-10-25 ~ 2024-04-30,,
4705,7,560.5,10.0,1851.0,2010-11-23 ~ 2017-01-13,,
4499,7,618.2,91.0,1359.0,2008-12-09 ~ 2015-09-19,,
5884,7,217.5,6.0,610.0,2007-11-24 ~ 2011-06-24,,
5866,7,572.7,135.0,1135.0,2007-11-28 ~ 2017-04-28,,
1713,7,511.8,8.0,1654.0,2012-12-04 ~ 2021-05-05,,
5837,7,1258.8,8.0,2473.0,2007-10-28 ~ 2021-08-12,,
5802,7,808.2,31.0,2056.0,2007-05-02 ~ 2020-08-13,,
6704,7,622.7,168.0,1154.0,2008-12-04 ~ 2019-03-01,,
3571,7,907.8,168.0,1842.0,2008-04-24 ~ 2018-04-04,,
142,7,783.4,5.0,1750.0,2010-03-26 ~ 2020-12-18,,
40,7,832.8,115.0,2504.0,2010-12-02 ~ 2022-04-29,,
8439,7,703.7,174.0,1712.0,2010-06-04 ~ 2021-12-28,,
873,7,504.3,103.0,1293.0,2013-07-09 ~ 2021-10-25,,
256,7,495.5,78.0,1521.0,2013-04-01 ~ 2021-05-24,,
923,7,652.4,147.0,1396.0,2011-08-22 ~ 2020-07-29,,
8185,7,769.5,5.0,2555.0,2010-02-19 ~ 2018-07-26,,
773,7,747.4,58.0,2326.0,2011-10-08 ~ 2022-01-03,,
8353,7,630.7,34.0,1776.0,2011-01-19 ~ 2021-06-03,,
8048,7,496.5,0.0,1731.0,2010-10-07 ~ 2018-12-06,,
8345,7,736.0,173.0,2226.0,2009-03-17 ~ 2021-04-22,,
7415,7,666.3,267.0,1280.0,2009-12-28 ~ 2020-12-11,,
6789,7,383.5,0.0,814.0,2009-02-10 ~ 2015-06-04,,
6811,7,700.2,251.0,1403.0,2009-07-31 ~ 2021-02-02,,
8320,7,491.5,4.0,1697.0,2010-05-10 ~ 2018-06-09,,
7216,6,942.8,53.0,2530.0,2009-01-29 ~ 2021-12-28,,
2004,6,656.8,29.0,1925.0,2010-12-03 ~ 2019-12-02,,
2995,6,1285.0,84.0,2449.0,2007-07-01 ~ 2021-07-30,,
1937,6,360.0,14.0,1048.0,2017-06-01 ~ 2021-05-12,,
5414,6,185.7,155.0,202.0,2010-02-25 ~ 2011-09-07,,
5797,6,756.4,98.0,2915.0,2007-12-10 ~ 2018-04-20,,
636,6,908.2,330.0,1412.0,2009-01-20 ~ 2021-06-29,,
5365,6,186.5,12.0,355.0,2013-01-02 ~ 2015-01-19,,
635,6,776.8,134.0,1295.0,2011-09-20 ~ 2022-05-11,,
8928,6,210.0,27.0,482.0,2010-10-14 ~ 2013-08-30,,
5339,6,830.4,65.0,1643.0,2008-05-11 ~ 2019-09-25,,
4033,6,178.0,178.0,178.0,2007-06-08 ~ 2007-12-04,,
3124,6,2927.0,2927.0,2927.0,2009-12-29 ~ 2018-01-04,,
10520,6,658.0,49.0,1742.0,2012-10-02 ~ 2021-10-07,,
5302,6,551.2,116.0,1336.0,2011-01-26 ~ 2017-02-10,,
2025,6,1241.0,147.0,2923.0,2011-10-28 ~ 2022-01-07,,
5287,6,440.8,29.0,1213.0,2008-01-05 ~ 2014-01-20,,
2944,6,1293.5,116.0,3698.0,2007-07-02 ~ 2021-09-01,,
7406,6,1119.0,151.0,2619.0,2010-01-27 ~ 2022-05-02,,
11614,6,605.8,27.0,1379.0,2010-11-02 ~ 2019-02-20,,
4190,6,725.2,3.0,1450.0,2014-06-28 ~ 2022-06-08,,
17028,6,14.0,14.0,14.0,2022-05-26 ~ 2022-06-09,,
11529,6,394.8,36.0,825.0,2013-11-04 ~ 2019-04-04,,
14013,6,746.4,319.0,1674.0,2007-06-26 ~ 2017-09-16,,
2998,6,1841.0,399.0,3283.0,2010-07-01 ~ 2020-07-31,,
12806,6,1154.8,400.0,2276.0,2008-07-14 ~ 2021-03-09,,
5753,6,788.5,39.0,1664.0,2010-06-21 ~ 2019-02-11,,
12778,6,26.4,0.0,95.0,2015-10-26 ~ 2016-03-07,,
5688,6,603.4,0.0,2096.0,2007-10-22 ~ 2016-01-27,,
16739,6,64.0,64.0,64.0,2022-02-15 ~ 2022-04-21,,
9082,6,1361.8,662.0,2267.0,2007-06-15 ~ 2022-05-16,,
7954,6,435.0,33.0,1962.0,2010-12-20 ~ 2016-12-06,,
5759,6,584.8,12.0,2508.0,2007-06-11 ~ 2015-06-15,,
4066,6,178.2,23.0,344.0,2012-01-25 ~ 2014-01-08,,
7265,6,887.0,0.0,4139.0,2009-07-01 ~ 2021-08-23,,
11715,6,538.4,254.0,1237.0,2014-10-22 ~ 2022-03-10,,
225,6,670.0,45.0,1656.0,2011-07-06 ~ 2020-09-08,,
1843,6,69.3,39.0,98.0,2021-08-30 ~ 2022-03-28,,
1859,6,964.2,271.0,2225.0,2009-03-04 ~ 2022-05-19,,
8938,6,739.6,16.0,1635.0,2011-03-05 ~ 2021-04-22,,
4100,6,615.3,157.0,1218.0,2007-07-19 ~ 2012-08-09,,
11650,6,763.6,5.0,2046.0,2008-08-29 ~ 2019-02-14,,
5511,6,766.5,62.0,1806.0,2008-09-09 ~ 2017-02-01,,
3064,6,1117.3,31.0,3160.0,2012-06-25 ~ 2021-08-30,,
7940,6,814.8,288.0,1619.0,2010-01-18 ~ 2021-03-16,,
8617,6,629.0,34.0,1226.0,2011-02-10 ~ 2018-01-02,,
3022,6,1020.0,194.0,1795.0,2009-05-13 ~ 2020-07-16,,
7342,6,255.6,5.0,1041.0,2009-07-27 ~ 2013-01-29,,
12801,6,83.0,0.0,212.0,2015-08-03 ~ 2016-09-23,,
11647,6,860.0,190.0,1936.0,2009-06-16 ~ 2021-03-29,,
4134,6,1599.0,337.0,2861.0,2010-05-14 ~ 2019-02-15,,
1072,6,790.2,22.0,2962.0,2009-01-08 ~ 2019-11-05,,
2883,6,2277.5,795.0,3760.0,2008-12-25 ~ 2021-06-16,,
2140,6,1263.7,273.0,2814.0,2012-01-12 ~ 2022-05-31,,
2787,6,131.2,0.0,656.0,2017-10-25 ~ 2019-08-13,,
13132,6,828.4,6.0,1941.0,2010-10-07 ~ 2022-02-11,,
8762,6,801.8,44.0,1320.0,2010-12-04 ~ 2021-11-27,,
493,6,399.8,157.0,1030.0,2014-08-01 ~ 2020-01-23,,
4761,6,868.3,344.0,1654.0,2010-03-16 ~ 2017-05-05,,
2773,6,815.3,154.0,1447.0,2012-11-14 ~ 2019-07-29,,
2496,6,980.8,165.0,1368.0,2008-05-22 ~ 2021-10-28,,
7773,6,311.5,152.0,483.0,2007-12-20 ~ 2011-05-20,,
13167,6,349.6,51.0,772.0,2012-02-29 ~ 2016-12-15,,
10990,6,857.0,83.0,1742.0,2009-08-06 ~ 2018-12-26,,
465,6,453.0,82.0,1252.0,2015-03-09 ~ 2021-05-23,,
2557,6,907.0,334.0,1842.0,2008-11-24 ~ 2021-04-27,,
431,6,1058.5,18.0,1827.0,2007-06-11 ~ 2019-01-14,,
7693,6,909.8,65.0,1711.0,2009-12-12 ~ 2022-05-30,,
2717,6,1105.8,273.0,2472.0,2007-06-26 ~ 2019-08-06,,
4485,6,345.0,2.0,1031.0,2007-11-02 ~ 2010-09-03,,
13281,6,712.7,9.0,1726.0,2015-03-24 ~ 2021-01-29,,
4623,6,419.0,264.0,574.0,2011-04-08 ~ 2013-07-25,,
4613,6,348.2,2.0,1376.0,2012-08-27 ~ 2016-06-22,,
17446,6,167.0,0.0,444.0,2018-02-23 ~ 2020-06-08,,
2599,6,748.2,5.0,2168.0,2012-02-11 ~ 2022-05-13,,
13292,6,283.4,0.0,769.0,2016-03-16 ~ 2020-02-03,,
8662,6,362.6,15.0,1259.0,2007-09-04 ~ 2012-08-23,,
4589,6,769.8,0.0,2068.0,2009-01-12 ~ 2017-06-20,,
2695,6,817.5,178.0,2103.0,2010-11-19 ~ 2019-11-04,,
