cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,작업타입_패턴,구군,대표_주소
17401,2,0.0,0,0,2016-02-29 ~ 2016-02-29,지하누수 → 긴급공사,,
17447,2,0.0,0,0,2019-12-02 ~ 2019-12-02,지하누수 → 긴급공사,,
17445,2,0.0,0,0,2022-02-18 ~ 2022-02-18,지하누수 → 긴급공사,,
14053,2,0.0,0,0,2017-09-26 ~ 2017-09-26,지상누수 → 긴급공사,,
17444,2,0.0,0,0,2018-10-12 ~ 2018-10-12,지하누수 → 긴급공사,,
17442,2,0.0,0,0,2017-11-17 ~ 2017-11-17,지하누수 → 긴급공사,,
17441,2,0.0,0,0,2015-06-25 ~ 2015-06-25,지하누수 → 긴급공사,,
17438,2,0.0,0,0,2019-03-25 ~ 2019-03-25,지하누수 → 긴급공사,,
11808,2,0.0,0,0,2014-07-04 ~ 2014-07-04,지상누수 → 긴급공사,,
17437,2,0.0,0,0,2021-01-18 ~ 2021-01-18,지하누수 → 긴급공사,,
11814,2,0.0,0,0,2014-06-17 ~ 2014-06-17,지상누수 → 긴급공사,,
17436,2,0.0,0,0,2019-03-25 ~ 2019-03-25,지하누수 → 긴급공사,,
17434,2,0.0,0,0,2019-09-16 ~ 2019-09-16,지하누수 → 긴급공사,,
11818,2,0.0,0,0,2014-09-11 ~ 2014-09-11,지상누수 → 긴급공사,,
17433,2,0.0,0,0,2018-05-03 ~ 2018-05-03,지하누수 → 긴급공사,,
14073,2,0.0,0,0,2017-09-08 ~ 2017-09-08,지상누수 → 긴급공사,,
17432,2,0.0,0,0,2019-03-12 ~ 2019-03-12,지하누수 → 긴급공사,,
17431,2,0.0,0,0,2016-07-20 ~ 2016-07-20,지하누수 → 긴급공사,,
17430,2,0.0,0,0,2018-12-20 ~ 2018-12-20,지하누수 → 긴급공사,,
11843,2,0.0,0,0,2014-07-02 ~ 2014-07-02,지상누수 → 긴급공사,,
17429,2,0.0,0,0,2016-03-18 ~ 2016-03-18,지하누수 → 긴급공사,,
11847,2,0.0,0,0,2014-08-13 ~ 2014-08-13,지상누수 → 긴급공사,,
1966,2,0.0,0,0,2019-12-28 ~ 2019-12-28,지상누수 → 긴급공사,,
17428,2,0.0,0,0,2016-01-21 ~ 2016-01-21,지하누수 → 긴급공사,,
17427,2,0.0,0,0,2016-08-22 ~ 2016-08-22,지하누수 → 긴급공사,,
17426,2,0.0,0,0,2019-08-05 ~ 2019-08-05,지하누수 → 긴급공사,,
17425,2,0.0,0,0,2016-01-19 ~ 2016-01-19,지하누수 → 긴급공사,,
17424,2,0.0,0,0,2021-06-16 ~ 2021-06-16,지하누수 → 긴급공사,,
17448,2,0.0,0,0,2022-06-16 ~ 2022-06-16,지하누수 → 긴급공사,,
17423,2,0.0,0,0,2016-07-19 ~ 2016-07-19,지하누수 → 긴급공사,,
17449,2,0.0,0,0,2019-10-10 ~ 2019-10-10,지하누수 → 긴급공사,,
17451,2,0.0,0,0,2021-03-03 ~ 2021-03-03,지하누수 → 긴급공사,,
17496,2,0.0,0,0,2017-10-10 ~ 2017-10-10,지하누수 → 긴급공사,,
9609,2,0.0,0,0,2012-01-12 ~ 2012-01-12,지상누수 → 지상누수,,
17491,2,0.0,0,0,2016-10-11 ~ 2016-10-11,지하누수 → 긴급공사,,
17490,2,0.0,0,0,2013-11-20 ~ 2013-11-20,지하누수 → 긴급공사,,
17487,2,0.0,0,0,2016-02-17 ~ 2016-02-17,지하누수 → 긴급공사,,
17468,2,0.0,0,0,2021-02-26 ~ 2021-02-26,지하누수 → 긴급공사,,
17467,2,0.0,0,0,2016-02-17 ~ 2016-02-17,지하누수 → 긴급공사,,
17466,2,0.0,0,0,2017-05-22 ~ 2017-05-22,지하누수 → 긴급공사,,
17465,2,0.0,0,0,2022-06-09 ~ 2022-06-09,지하누수 → 긴급공사,,
17464,2,0.0,0,0,2015-09-03 ~ 2015-09-03,지하누수 → 긴급공사,,
17463,2,0.0,0,0,2016-10-11 ~ 2016-10-11,지하누수 → 긴급공사,,
11761,2,0.0,0,0,2014-06-09 ~ 2014-06-09,지상누수 → 긴급공사,,
17462,2,0.0,0,0,2018-02-23 ~ 2018-02-23,지하누수 → 긴급공사,,
17461,2,0.0,0,0,2021-04-07 ~ 2021-04-07,지하누수 → 긴급공사,,
14001,2,0.0,0,0,2017-06-22 ~ 2017-06-22,지상누수 → 긴급공사,,
17460,2,0.0,0,0,2021-04-01 ~ 2021-04-01,지하누수 → 긴급공사,,
17459,2,0.0,0,0,2014-12-13 ~ 2014-12-13,지하누수 → 긴급공사,,
17458,3,0.0,0,0,2015-07-06 ~ 2015-07-06,지하누수 → 긴급공사 → 지하누수,,
14005,2,0.0,0,0,2017-06-28 ~ 2017-06-28,지상누수 → 지하누수,,
17456,2,0.0,0,0,2016-03-07 ~ 2016-03-07,지하누수 → 긴급공사,,
17455,2,0.0,0,0,2020-06-29 ~ 2020-06-29,지하누수 → 긴급공사,,
11785,2,0.0,0,0,2014-11-04 ~ 2014-11-05,지상누수 → 지상누수,,
17454,2,0.0,0,0,2017-06-07 ~ 2017-06-07,지하누수 → 긴급공사,,
14017,2,0.0,0,0,2017-07-24 ~ 2017-07-24,지상누수 → 긴급공사,,
11788,2,0.0,0,0,2014-11-22 ~ 2014-11-22,지상누수 → 긴급공사,,
17453,3,0.0,0,0,2014-10-10 ~ 2014-10-10,지하누수 → 긴급공사 → 지하누수,,
17452,2,0.0,0,0,2018-09-10 ~ 2018-09-10,지하누수 → 긴급공사,,
14046,2,0.0,0,0,2017-10-05 ~ 2017-10-05,지상누수 → 긴급공사,,
13942,2,0.0,0,0,2017-10-24 ~ 2017-10-24,지상누수 → 긴급공사,,
17422,2,0.0,0,0,2014-10-06 ~ 2014-10-06,지하누수 → 긴급공사,,
