repair_id,복구타입,위도,경도,sply_ls_count,valve_count,fire_count,total_infra
0,지상누수,35.8946241,128.6021673,10,0,0,10
1,지하누수,35.8947912,128.6023991,6,0,0,6
2,지상누수,35.8963622,128.6108785,6,0,0,6
3,지상누수,35.8960729,128.6121391,9,2,0,11
4,지상누수,35.897053,128.6060654,8,0,0,8
5,지상누수,35.8947157,128.6090842,7,0,0,7
6,지하누수,35.8915603,128.596439,6,0,0,6
7,지하누수,35.8915342,128.5965834,6,0,0,6
8,지하누수,35.8929799,128.5973392,4,2,0,6
9,지상누수,35.895108,128.6111366,9,1,0,10
10,지상누수,35.895344,128.6100321,8,0,0,8
11,지하누수,35.8929004,128.597316,4,2,0,6
12,지상누수,35.892652,128.6068654,9,0,0,9
13,지하누수,35.8959196,128.6054125,5,3,0,8
14,지상누수,35.8953002,128.6077841,9,0,0,9
15,지상누수,35.8900177,128.6000401,0,0,0,0
16,지상누수,35.894826,128.6093499,5,4,0,9
17,지하누수,35.8957562,128.6004581,8,7,1,16
18,지하누수,35.897234,128.6011778,10,2,0,12
19,지하누수,35.8969617,128.6013846,11,2,0,13
20,지하누수,35.8963338,128.5998717,9,4,0,13
21,지하누수,35.8960005,128.6017319,7,0,0,7
22,지하누수,35.894353,128.6110253,2,0,0,2
23,지하누수,35.8958723,128.6120701,8,4,0,12
24,지상누수,35.8929585,128.6094276,4,0,0,4
25,지하누수,35.8948463,128.6092167,5,2,0,7
26,지상누수,35.8956355,128.6073607,8,0,0,8
27,지하누수,35.8963653,128.6000976,9,1,0,10
28,지하누수,35.8948747,128.6014267,9,4,0,13
29,지상누수,35.8899151,128.601287,5,0,0,5
30,지하누수,35.8926445,128.6060532,8,4,0,12
31,지상누수,35.8955536,128.6113662,3,6,0,9
32,지상누수,35.893374,128.5992472,5,0,0,5
33,지하누수,35.8975146,128.6045759,11,1,1,13
34,지하누수,35.8974681,128.5989688,7,2,0,9
35,지하누수,35.8947381,128.6019531,8,0,0,8
36,지상누수,35.8935192,128.5982447,10,2,0,12
