repair_id,복구타입,위도,경도,sply_ls_count,valve_count,fire_count,total_infra
2,지상누수,35.8963622,128.6108785,111,16,2,129
3,지상누수,35.8960729,128.6121391,63,25,3,91
5,지상누수,35.8947157,128.6090842,162,22,1,185
9,지상누수,35.895108,128.6111366,103,28,1,132
10,지상누수,35.895344,128.6100321,153,35,2,190
12,지상누수,35.892652,128.6068654,124,20,2,146
16,지상누수,35.894826,128.6093499,158,25,2,185
22,지하누수,35.894353,128.6110253,75,19,1,95
23,지하누수,35.8958723,128.6120701,71,29,3,103
24,지상누수,35.8929585,128.6094276,66,14,2,82
25,지하누수,35.8948463,128.6092167,163,24,2,189
30,지하누수,35.8926445,128.6060532,129,20,2,151
31,지상누수,35.8955536,128.6113662,117,32,1,150
38,지하누수,35.895782,128.6105861,147,26,1,174
39,지하누수,35.896141,128.6122561,54,23,3,80
40,지하누수,35.8936404,128.6103236,78,10,2,90
46,지하누수,35.8938663,128.6102529,97,10,2,109
50,지상누수,35.8960952,128.6100066,166,29,1,196
51,지상누수,35.8948146,128.609921,158,28,2,188
62,지하누수,35.8932193,128.6093998,86,14,1,101
67,지상누수,35.8938663,128.6102529,97,10,2,109
72,지하누수,35.8938925,128.6104273,89,11,2,102
79,지상누수,35.8932193,128.6093998,86,14,1,101
90,지하누수,35.8950104,128.610865,126,25,0,151
91,지하누수,35.8945804,128.6077641,107,12,2,121
92,지하누수,35.8948612,128.6083472,143,19,2,164
93,지상누수,35.8970647,128.6098819,98,17,0,115
94,지하누수,35.8947414,128.6077693,112,19,2,133
95,지상누수,35.8955517,128.6118181,91,32,3,126
109,지상누수,35.8943311,128.6089668,154,21,2,177
112,지하누수,35.893442,128.6092004,114,15,1,130
116,지상누수,35.8961747,128.6118559,76,26,3,105
117,지상누수,35.8917529,128.6062886,110,16,2,128
121,지상누수,35.8921317,128.6057953,127,21,2,150
124,지상누수,35.8930283,128.605446,143,35,1,179
125,지상누수,35.8941155,128.607839,108,15,3,126
128,지상누수,35.8927563,128.6086165,88,24,2,114
131,지상누수,35.8959332,128.6097411,169,28,1,198
134,지상누수,35.8954002,128.6107026,141,23,1,165
135,지상누수,35.8929279,128.6061233,138,21,2,161
137,지상누수,35.8938019,128.6078556,116,15,1,132
145,지상누수,35.8956008,128.6100887,154,29,2,185
149,지상누수,35.8926445,128.6060532,129,20,2,151
151,지상누수,35.8956008,128.6100887,154,29,2,185
155,지하누수,35.8963747,128.6116947,76,19,2,97
156,지하누수,35.8944211,128.6104858,118,19,2,139
158,지상누수,35.8929263,128.6060014,136,25,2,163
164,지하누수,35.8937504,128.6065046,109,10,1,120
165,지하누수,35.8948467,128.6087656,158,22,1,181
166,지하누수,35.8926556,128.6089682,73,15,1,89
167,지하누수,35.892427,128.6063502,127,14,1,142
168,지상누수,35.8942895,128.6105837,98,19,1,118
175,지상누수,35.8957788,128.6102073,157,31,2,190
177,지상누수,35.8923093,128.6083009,81,25,2,108
178,지상누수,35.8913008,128.6057162,93,17,1,111
179,지하누수,35.8927815,128.6090508,79,17,2,98
182,지상누수,35.8930714,128.6079041,121,23,2,146
184,지상누수,35.894986,128.6116735,73,23,0,96
186,지상누수,35.8929917,128.6067571,129,18,2,149
188,지상누수,35.8952774,128.6101531,153,33,2,188
190,지상누수,35.8954002,128.6107026,141,23,1,165
194,지하누수,35.8914202,128.6062172,89,14,1,104
197,지상누수,35.8944829,128.6086036,145,22,1,168
198,지상누수,35.894484,128.6087472,148,16,1,165
214,지하누수,35.8962765,128.6107413,123,18,2,143
220,지상누수,35.8926632,128.6087565,76,17,1,94
222,지상누수,35.8948435,128.6078796,131,21,2,154
223,지상누수,35.8958128,128.6122184,63,25,3,91
224,지상누수,35.8951476,128.6104596,143,31,1,175
230,지상누수,35.8919762,128.6057557,124,22,2,148
231,지상누수,35.8947138,128.6112679,86,21,0,107
233,지상누수,35.8924384,128.6066901,125,18,2,145
237,지상누수,35.8947208,128.6107649,118,24,1,143
239,지상누수,35.8938053,128.609037,141,11,1,153
240,지상누수,35.8918433,128.6064363,110,16,2,128
242,지상누수,35.8917398,128.606704,98,16,2,116
243,지상누수,35.8924261,128.6064154,123,12,1,136
244,지상누수,35.8942835,128.6062351,104,16,0,120
245,지상누수,35.8952075,128.610789,135,28,1,164
246,지상누수,35.8959807,128.6123805,53,16,2,71
247,지상누수,35.8948166,128.6104906,138,23,1,162
249,지상누수,35.8950004,128.6102705,146,30,2,178
257,지하누수,35.8945457,128.6090655,160,15,1,176
259,지상누수,35.895344,128.6100321,153,35,2,190
260,지상누수,35.8933408,128.6062061,144,22,1,167
261,지상누수,35.8947138,128.6112679,86,21,0,107
266,지상누수,35.8921106,128.6071623,109,18,2,129
270,지상누수,35.8937121,128.6087386,133,15,1,149
273,지상누수,35.8948508,128.6084893,153,23,2,178
275,지하누수,35.8958366,128.6107121,148,17,1,166
281,지상누수,35.8937121,128.6087386,133,15,1,149
284,지하누수,35.8917457,128.6065576,108,14,2,124
286,지상누수,35.8942875,128.6098293,135,19,3,157
287,지상누수,35.8940889,128.6099565,116,15,3,134
289,지하누수,35.8916059,128.6059874,106,17,1,124
290,지상누수,35.8965721,128.6112018,77,18,2,97
291,지하누수,35.8941673,128.6102928,109,15,2,126
296,지상누수,35.8948166,128.6104906,138,23,1,162
305,지상누수,35.894859,128.6107751,125,25,1,151
307,지상누수,35.894585,128.6053741,124,28,2,154
309,지상누수,35.8939062,128.6061585,107,17,0,124
310,지상누수,35.8967216,128.6108766,95,13,2,110
332,지상누수,35.8930396,128.6087085,105,24,2,131
333,긴급공사,35.8930396,128.6087085,105,24,2,131
340,지하누수,35.8916117,128.6065452,92,10,1,103
341,지하누수,35.8916117,128.6065452,92,10,1,103
344,지상누수,35.8957541,128.612599,45,15,1,61
