FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,design_pressure,thickness,K_material,fatigue_limit,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_repair,K_total,0243_low_total_cycles,0243_high_total_cycles,0243_low_fatigue_damage,0243_high_fatigue_damage,0243_D_base,0243_D_final_org,0243_D_final,0243_remaining_life_years,0461_low_total_cycles,0461_high_total_cycles,0461_low_fatigue_damage,0461_high_fatigue_damage,0461_D_base,0461_D_final_org,0461_D_final,0461_remaining_life_years,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final_org,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final_org,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final_org,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final_org,0520_D_final,0520_remaining_life_years
SA001,2838,2723061000,35803044,54000,2,500,56.0,,0,0,20119006912,1,500-DTC-91,IQT903,2838,SA004,,B,461,520,P0,1.2,SS00201,DTC,2024-12-01,2000-01-01,2024-12-01,381.0,1.0431211498973305,1.0,9.5,1.0,1000000,1.080471895621705,1.0208624229979466,1.3,1.6,1.05,26.31578947368421,6.063157894736842,0.0,14.606030565580998,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.08339167091112815,0.08339167091112815,10.991605265539242,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.04739656918531033,0.04739656918531033,20.098573529451393,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.07554896279893944,0.07554896279893944,12.236449091449844,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.07187700671475236,0.07187700671475236,12.91265504375484,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.07195880048591963,0.07195880048591963,12.896840876268813,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.0608640596683043,0.0608640596683043,15.430057499446791
SA001,415766,2723063100,35803045,54000,2,400,259.11,,0,0,20119006912,1,400-DTC-89,IQT903,415766,SA004,,B,700,529,P0,1.2,SS00201,DTC,2024-12-01,1999-01-01,2024-12-01,381.0,1.0431211498973305,1.0,8.6,1.0,1000000,1.0693147180559945,1.0208624229979466,1.0,1.6,1.05,23.255813953488374,5.451162790697675,0.0242,12.416316999084291,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.057077069464228546,0.07088972027457185,13.106417631876312,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.032440377344628436,0.04029094866202852,23.819470208762592,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.051709161724568076,0.06422277886191355,14.57079929770894,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.049195907220888686,0.061101316768343746,15.366259401435592,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.049251890614765405,0.061170848143538625,15.347656283160891,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.04165814311677472,0.0517394137510342,18.327625257060657
SA001,415765,2723063100,35803045,54000,2,400,20.44,,0,0,20119006912,1,400-DTC-89,IQT903,415765,SA004,,B,580,520,P0,1.2,SS00201,DTC,2024-12-01,1999-01-01,2024-12-01,381.0,1.0431211498973305,1.0,8.6,1.0,1000000,1.0693147180559945,1.0208624229979466,1.3,1.6,1.05,23.255813953488374,5.451162790697675,0.0,12.996145007093059,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.07420019030349712,0.07420019030349712,12.477054383684905,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.04217249054801697,0.04217249054801697,22.71213999944857,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.06722191024193849,0.06722191024193849,13.876102098272696,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.0639546793871553,0.0639546793871553,14.636072443525387,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.06402745779919503,0.06402745779919503,14.618299310527558,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.054155586051807134,0.054155586051807134,17.46531582251487
SA001,142051,2723063100,35803044,54000,2,500,122.0,,0,0,20119006912,1,500-DTC-91,IQT903,142051,SA004,,B,461,520,P0,1.2,SS00201,DTC,2024-12-01,2000-01-01,2024-12-01,381.0,1.0431211498973305,1.0,9.5,1.0,1000000,1.080471895621705,1.0208624229979466,1.3,1.6,1.05,26.31578947368421,6.063157894736842,0.0027,15.000393390851682,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.08339167091112815,0.08564324602572859,10.676343978129742,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.04739656918531033,0.048676276553313705,19.54388853890106,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.07554896279893944,0.07758878479451078,11.888460653797319,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.07187700671475236,0.07381768589605067,12.546889039683391,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.07195880048591963,0.07390168809903945,12.5314906292783,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.0608640596683043,0.06250738927934851,14.99810856810788
SA001,199046,2723061000,35803035,54000,3,600,53.15,,0,0,20119006912,1,600-DT-78,IQT903,199046,SA003,,B,210,521,P0,1.2,SS00201,DT,1978-01-01,1978-01-01,1978-01-01,17517.0,47.95893223819302,2.0,10.7,0.8,1000000,1.0895879734614027,1.9591786447638606,1.0,1.0,1.05,56.07476635514019,6.407476635514019,0.0,11.489540400173587,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.06559838196075107,0.06559838196075107,14.24427844269576,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.037283558598563284,0.037283558598563284,25.82147406493904,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.05942907324287787,0.05942907324287787,15.82678099174031,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.05654060278627423,0.05654060278627423,16.686405003145094,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.056604944212515204,0.056604944212515204,16.666301308338763,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.047877489324543346,0.047877489324543346,19.886642430670896
SA001,175747,2723061000,35803035,54000,12,800,18.26,,0,0,20119006912,1,800-ST-79,IQT903,175747,SA002,,B,60,515,P0,1.2,SS00201,ST,1979-01-01,1979-01-01,1979-01-01,17152.0,46.959616700889804,2.0,21.4,0.9,1000000,1.1039720770839918,1.9391923340177961,1.0,1.6,1.05,37.38317757009346,4.538317757009346,0.0,14.690130912152586,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.08387183342984397,0.08387183342984397,10.922953858358982,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.047669474809935136,0.047669474809935136,19.97778513371796,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.07598396763656365,0.07598396763656365,12.160671008693127,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.07229086872524848,0.07229086872524848,12.83300571197504,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.07237313345835654,0.07237313345835654,12.817282079895014,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.061214510017485436,0.061214510017485436,15.335996150493697
SA001,415363,2723061000,35803035,54000,12,500,5.17,,0,0,20119006912,1,500-ST-79,IQT903,415363,SA003,,B,240,520,P0,1.2,SS00201,ST,1979-01-01,1979-01-01,1979-01-01,17152.0,46.959616700889804,2.0,15.1,0.9,1000000,1.080471895621705,1.9391923340177961,1.0,1.0,1.05,33.11258278145696,4.111258278145696,0.0,8.140309735862512,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.046476284405933425,0.046476284405933425,20.516349957449144,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.02641530509287385,0.02641530509287385,36.856840815735026,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.04210534509326205,0.04210534509326205,22.74995378342181,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.04005887122566622,0.04005887122566622,23.963259557830167,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.04010445696018705,0.04010445696018705,23.934884444208564,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.033921077684825884,0.033921077684825884,28.480195449313094
SA001,144224,2723061000,35803035,54000,12,800,134.0,,0,0,20119006912,1,800-ST-79,IQT903,144224,SA002,,B,240,520,P0,1.2,SS00201,ST,1979-01-01,1979-01-01,1979-01-01,17152.0,46.959616700889804,2.0,21.4,0.9,1000000,1.1039720770839918,1.9391923340177961,1.0,1.0,1.05,37.38317757009346,4.538317757009346,0.0,9.181331820095368,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.05241989589365249,0.05241989589365249,18.076726173374368,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.029793421756209464,0.029793421756209464,32.56445621394873,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.04748997977285229,0.04748997977285229,20.057073613908997,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.04518179295328031,0.04518179295328031,21.13280913916006,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.045233208411472846,0.045233208411472846,21.107651327832016,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.038259068760928404,0.038259068760928404,25.13759384078991
SA001,417714,2723063000,35803045,54000,2,200,2.56,,0,0,20119006912,1,200-DTC-88,IQT903,417714,SA005,,B,490,520,P0,1.3,SS00201,DTC,2024-12-01,1993-01-01,2024-12-01,381.0,1.0431211498973305,1.0,6.3,1.0,1000000,1.0346573590279973,1.0208624229979466,1.0,1.6,1.05,15.873015873015873,3.9746031746031747,0.118,15.37529012868476,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.040267743789317786,0.08778368146071276,10.391638894155356,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.022886613058523873,0.04989281646758204,19.04296551688462,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.03648069698445665,0.07952791942611549,11.574200447039717,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.03470760159989181,0.07566257148776413,12.216574329114842,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.03474709775802055,0.07574867311248477,12.201551379190846,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.029389726023273322,0.06406960273073584,14.60802560619397
SA001,414361,2723061000,35803044,54000,5,50,11.0,,0,0,20119006912,1,50-EPS-80,IQT903,414361,SA005,,B,461,520,P0,0.8,SS00201,EPS,1980-01-01,1980-01-01,1980-01-01,16787.0,45.960301163586585,1.6,3.2,1.0,1000000,0.9653426409720027,1.9192060232717316,1.0,1.0,1.05,12.5,2.3625,0.3819,22.147317451664506,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.02623944682683821,0.12644789425853334,6.908395832637719,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.014913476889531296,0.07186804513065131,12.914389881929678,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.02377171449530236,0.11455589215286208,7.729363293383559,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.02261632217171895,0.1089880565455136,8.17531729343571,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.022642058834455893,0.10911208152324295,8.164887939444002,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.019151064367495037,0.09228897918695858,9.835529971289473
