FTR_IDN,Region,Type,D_final,STD_DIP,IST_YMD,remaining_life_years
37748,470,SPLY_LS,0.2860195061529106,13,1982-07-05,2.496265039578747
107346,490,SPLY_LS,0.1761288567573377,13,2007-11-08,4.677661335063077
329428,243,PIPE_LM,0.1492256592268725,300,2006-07-18,5.701260394364671
324778,243,PIPE_LM,0.1379677925091897,200,2006-07-18,6.248068420993199
324771,470,PIPE_LM,0.1308595327501651,200,1994-01-01,6.641781832655505
455022,470,PIPE_LM,0.1296339532645981,50,2017-10-31,6.714028422468011
4814,470,SPLY_LS,0.1278149163786782,13,1976-03-30,6.823812965908392
42328,490,PIPE_LM,0.1254043910536151,80,2002-01-01,6.974202431017445
411544,490,PIPE_LM,0.1139581990770333,100,1995-01-01,7.77514744967162
308847,243,PIPE_LM,0.113101051710709,100,2004-12-01,7.841650761637567
106660,243,PIPE_LM,0.1130876317854241,200,1995-01-01,7.842699985949215
106346,480,PIPE_LM,0.1117901548076496,200,1989-01-01,7.945331560911045
324943,470,PIPE_LM,0.1090481792613999,200,2006-07-18,8.170258566196647
37847,480,PIPE_LM,0.108557494339106,80,2001-01-01,8.211708561329296
71255,470,PIPE_LM,0.1080471209594915,200,1999-01-01,8.255221158321424
38779,490,PIPE_LM,0.1079134737742299,100,1992-01-01,8.266683436510807
73254,490,SPLY_LS,0.1077026962574388,13,1985-06-14,8.284818623386432
3686,470,SPLY_LS,0.1069981485085105,13,1989-05-30,8.345956111758895
308844,243,PIPE_LM,0.1057262664328975,100,2004-12-01,8.458387529788359
324767,243,PIPE_LM,0.1055612882341938,100,1994-01-01,8.47316972658994
406716,470,SPLY_LS,0.1019817942713973,13,1990-04-25,8.805671758811837
212345,470,SPLY_LS,0.1019186248495402,25,1994-04-06,8.811749339007205
324795,243,PIPE_LM,0.1013517462418608,200,1995-01-01,8.866628223786579
308956,243,PIPE_LM,0.1009358076199602,100,2004-12-01,8.907286854682559
