FTR_IDN,zone,SMZ_NUM_원본,SMZ_NUM_정정후,DATA_SRC
415766,470,700,470,PIPE_LM
324940,470,580,470,PIPE_LM
175888,520,580,520,PIPE_LM
415765,520,580,520,PIPE_LM
175756,520,580,520,PIPE_LM
211323,520,580,520,PIPE_LM
210313,520,580,520,PIPE_LM
37749,520,580,520,PIPE_LM
324849,520,580,520,PIPE_LM
37852,520,580,520,PIPE_LM
177096,520,580,520,PIPE_LM
4149,520,210,520,PIPE_LM
324765,520,210,520,PIPE_LM
245698,520,240,520,PIPE_LM
144224,520,240,520,PIPE_LM
141944,520,240,520,PIPE_LM
105328,520,240,520,PIPE_LM
415364,520,240,520,PIPE_LM
418174,520,240,520,PIPE_LM
226116,520,210,520,PIPE_LM
59818,520,240,520,PIPE_LM
212550,520,240,520,PIPE_LM
175745,520,240,520,PIPE_LM
175746,520,240,520,PIPE_LM
243877,520,210,520,PIPE_LM
246575,520,240,520,PIPE_LM
198939,520,240,520,PIPE_LM
199046,520,210,520,PIPE_LM
71253,520,240,520,PIPE_LM
427780,520,240,520,PIPE_LM
427781,520,240,520,PIPE_LM
415692,520,240,520,PIPE_LM
261304,520,240,520,PIPE_LM
7238,520,240,520,PIPE_LM
53635,520,240,520,PIPE_LM
210305,520,243,520,PIPE_LM
192893,520,240,520,PIPE_LM
39095,520,240,520,PIPE_LM
146477,520,240,520,PIPE_LM
214924,520,240,520,PIPE_LM
144225,520,240,520,PIPE_LM
210307,520,240,520,PIPE_LM
310734,520,240,520,PIPE_LM
210306,520,210,520,PIPE_LM
408303,520,210,520,PIPE_LM
408306,520,240,520,PIPE_LM
408309,520,240,520,PIPE_LM
408308,520,240,520,PIPE_LM
408305,520,240,520,PIPE_LM
408307,520,240,520,PIPE_LM
415695,520,240,520,PIPE_LM
415694,520,240,520,PIPE_LM
415693,520,240,520,PIPE_LM
210308,520,240,520,PIPE_LM
36299,520,240,520,PIPE_LM
209417,520,240,520,PIPE_LM
415362,520,240,520,PIPE_LM
415363,520,240,520,PIPE_LM
267360,520,240,520,PIPE_LM
7162,520,240,520,PIPE_LM
141947,520,240,520,PIPE_LM
175753,520,240,520,PIPE_LM
175747,520,60,520,PIPE_LM
142051,520,461,520,PIPE_LM
71585,520,230,520,PIPE_LM
313693,520,240,520,SPLY_LS
468355,520,240,520,SPLY_LS
245195,520,580,520,SPLY_LS
142084,520,580,520,SPLY_LS
246551,520,580,520,SPLY_LS
106425,520,580,520,SPLY_LS
37751,520,580,520,SPLY_LS
3687,520,580,520,SPLY_LS
142971,520,580,520,SPLY_LS
72306,520,580,520,SPLY_LS
177180,520,580,520,SPLY_LS
37750,520,580,520,SPLY_LS
37825,520,580,520,SPLY_LS
37826,520,580,520,SPLY_LS
142972,520,580,520,SPLY_LS
72218,520,580,520,SPLY_LS
211246,520,580,520,SPLY_LS
245217,520,580,520,SPLY_LS
192894,520,240,520,SPLY_LS
211524,461,243,461,PIPE_LM
36478,461,243,461,SPLY_LS
407185,243,580,243,PIPE_LM
324848,243,580,243,PIPE_LM
324776,243,470,243,PIPE_LM
177614,243,240,243,PIPE_LM
407424,243,470,243,PIPE_LM
310731,243,240,243,PIPE_LM
310733,243,240,243,PIPE_LM
