wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT,BEG_YMD,PIP_TYPE,PIP_TYPE_VALID
"MultiLineString ((1098931.4493154298979789 1767772.13867405010387301, 1099009.5533414299134165 1767792.49678353010676801, 1099011.10278875008225441 1767792.91678386996500194, 1099012.19098833994939923 1767793.21179087995551527, 1099069.66577740991488099 1767808.23584394995123148, 1099102.47193053993396461 1767814.20656770002096891, 1099102.62020011991262436 1767814.58074226998724043, 1099102.90279330988414586 1767814.86604714998975396, 1099103.2764648599550128 1767815.01566445990465581, 1099103.67752760997973382 1767815.00680275005288422, 1099104.04399470007047057 1767814.83940863003954291, 1099104.31348763010464609 1767814.54259174992330372, 1099104.99250473990105093 1767814.66587543999776244, 1099139.47430900996550918 1767818.47260218998417258, 1099236.60382725996896625 1767828.71667010989040136, 1099338.46540315006859601 1767837.99432022008113563))",SA001,71585,2723061000,35803034,54000,1986-01-01,SA003,12,700,414.06,,0,0,20119006912.0,1,700-ST-86,IQT903,71585,SA003,,B,230,519,S0,1.2,1986-01-01,SS00201,,1986-01-01,ST,True
"MultiLineString ((1099742.57263068994507194 1767808.17632136004976928, 1099740.98865819000639021 1767807.99520661006681621, 1099735.05106394994072616 1767807.31782330991700292))",SA001,261304,2723061000,35803035,54000,2002-10-14,SA005,4,250,8.0,,0,0,2002200000000.0,1,250-DTC-02,IQT903,261304,SA005,,B,240,520,P0,1.2,2002-10-14,SS00201,,2002-10-14,DTC,True
"MultiLineString ((1099734.15310453996062279 1767771.09456140990369022, 1099736.87110461993142962 1767771.390954369911924, 1099737.08164634997956455 1767771.02621858008205891, 1099737.37023654999211431 1767770.78567416989244521, 1099737.69835610990412533 1767770.70963383000344038, 1099737.83484111004509032 1767770.74513770011253655, 1099737.86168427998200059 1767770.75217535998672247, 1099737.90229510003700852 1767770.71276508993469179, 1099738.22729804995469749 1767770.83970945002511144, 1099738.38873909995891154 1767771.00515889003872871, 1099738.34261229005642235 1767771.01436084997840226, 1099738.50946327997371554 1767771.0889329700730741, 1099738.50883367005735636 1767771.12993970001116395, 1099738.66553234006278217 1767771.54026365000754595, 1099740.62385962996631861 1767771.69307203008793294, 1099740.33024542010389268 1767774.62504016002640128, 1099739.45280572003684938 1767783.39311912003904581, 1099739.57371577993035316 1767783.39896211004815996, 1099739.99349780008196831 1767783.67031550011597574, 1099740.0969998799264431 1767783.8298781500197947, 1099740.17248742002993822 1767784.15560291009023786, 1099740.19552142010070384 1767784.25531114009208977, 1099740.08973462996073067 1767784.30671904003247619, 1099740.14032976003363729 1767784.46544129005633295, 1099739.97658722009509802 1767784.78083934006281197, 1099739.4461940499022603 1767784.87875998998060822, 1099739.37415714003145695 1767784.87866460997611284, 1099739.28250024002045393 1767786.62998527009040117, 1099747.41609741002321243 1767790.97818143991753459, 1099750.72335118008777499 1767792.74620322999544442))",SA001,53635,2723061000,35803035,54000,1994-01-01,SA005,4,400,36.0,,0,0,20119006912.0,1,400-DTC-94,IQT903,53635,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
"MultiLineString ((1099742.26629038993269205 1767809.51440642005763948, 1099740.36325472011230886 1767819.25264774006791413, 1099741.58140921988524497 1767821.72371630999259651, 1099741.23916491004638374 1767824.23913087998516858, 1099740.17026067990809679 1767824.96368097001686692, 1099738.90330439992249012 1767824.78240834991447628))",SA001,192893,2723061000,35803035,54000,2002-10-14,SA005,4,150,18.0,,0,0,2002200000000.0,1,150-DTC-02,IQT903,192893,SA005,,B,240,520,P0,1.2,2002-10-14,SS00201,,2002-10-14,DTC,True
"MultiLineString ((1099745.23087440989911556 1767815.98860608995892107, 1099738.03707958990707994 1767840.00393348000943661, 1099737.0228461199440062 1767843.17975069000385702))",SA001,39095,2723061000,35803035,54000,1994-01-01,SA005,4,400,28.41,,0,0,20119006912.0,1,400-DTC-94,IQT903,39095,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
"MultiLineString ((1099750.72335118008777499 1767792.74620322999544442, 1099752.10736509994603693 1767793.51518143992871046, 1099750.75931101990863681 1767798.1257426799274981, 1099749.6278313600923866 1767802.02985741989687085))",SA001,146477,2723061000,35803035,54000,1994-01-01,SA005,4,400,10.45,,0,0,20119006912.0,1,400-DTC-94,IQT903,146477,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
"MultiLineString ((1099737.0228461199440062 1767843.17975069000385702, 1099683.57041110005229712 1767852.91936323000118136, 1099635.62813982996158302 1767853.55475616990588605, 1099634.53899013996124268 1767860.27502275002188981))",SA001,212550,2723061000,35803035,54000,1994-01-01,SA005,4,400,109.12,,0,0,20119006912.0,1,400-DTC-94,IQT903,212550,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
"MultiLineString ((1099634.53899013996124268 1767860.27502275002188981, 1099634.3278508901130408 1767861.59654539008624852, 1099633.84395529003813863 1767864.61770218005403876, 1099633.65833664010278881 1767866.10553506994619966))",SA001,246575,2723061000,35803035,54000,1994-01-01,SA005,4,400,6.0,,0,0,20119006912.0,1,400-DTC-94,IQT903,246575,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
"MultiLineString ((1099729.01756480010226369 1767778.47505129990167916, 1099732.27202283986844122 1767778.9187611355446279))",SA001,245698,2723061000,35803035,54000,1994-01-01,SA005,12,400,3.0,,0,0,20119006912.0,1,400-ST-94,IQT903,245698,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,ST,True
"MultiLineString ((1099749.6278313600923866 1767802.02985741989687085, 1099745.23087440989911556 1767815.98860608995892107))",SA001,144225,2723061000,35803035,54000,1994-01-01,SA005,4,400,14.64,,0,0,20119006912.0,1,400-DTC-94,IQT903,144225,SA005,,B,240,520,P0,1.2,1994-01-01,SS00201,,1994-01-01,DTC,True
