FTR_CDE,FTR_IDN,CNT_NUM,SYS_CHK,STD_HOL,STD_VEL,PIP_LBL,IST_YMD,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,AVG_DEP,IQT_CDE,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,SAA_CDE,MOD_CDE,A_MOD_CDE,B_MOD_CDE,SHAPE_LEN
SA001,27435,,1,0.00,0.00,1997/DCIP/Ø150/L38.3/D0.6,19971211,MOP001,150.0,38.29,JHT002,0.6,0.6,0.6,IQT001,5011051000,5011010100,336071165,6500000,SAA004,,,,38.29266802670
SA001,701478,WT2020080179,1,0.00,0.00,1900/DCIP/Ø80/L6.1/D0.9,19000101,MOP001,80.0,6.12,JHT002,0.80000001,0.89999998,0.89999998,IQT001,5011051000,5011010100,336071175,6500000,SAA004,,,,6.11520275052
SA001,701482,WT2020080179,1,0.00,0.00,1997/DCIP/Ø80/L1.7/D0.7,19970101,MOP001,80.0,1.68,JHT002,0.69999999,0.69999999,0.69999999,IQT001,5011051000,5011010100,336071175,6500000,SAA004,,,,1.67771219341
SA001,701496,WT2020080179,1,0.00,0.00,1999/DCIP/Ø100/L0.3/D1.1,19990101,MOP001,100.0,0.32,JHT002,1.10000002,1.10000002,1.10000002,IQT001,5011051000,5011010100,336071175,6500000,SAA004,,,,0.32328080673
SA001,701559,WT2020080179,1,0.00,0.00,1997/DCIP/Ø80/L0.2/D0.8,19970101,MOP001,80.0,0.22,JHT002,0.80000001,0.80000001,0.80000001,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,0.22409841588
SA001,701921,WT2020080179,1,0.00,0.00,1998/HI-3P/Ø80/L37.4/D,19980520,MOP032,80.0,37.44,JHT904,0.0,0.0,0.0,IQT002,5011051000,5011010100,336071175,6500000,SAA004,,,,37.44276860010
SA001,702087,WT2020080179,1,0.00,0.00,1900/DCIP/Ø80/L41.0/D,19000101,MOP001,80.0,41.0,JHT002,0.0,0.0,0.0,IQT904,5011051000,5011010100,336071175,6500000,SAA004,,,,41.00075221720
SA001,702172,WT2020080179,,0.00,0.00,1900/DCIP/Ø200/L41.5/D,19000101,MOP001,200.0,41.46,JHT002,0.0,0.0,0.0,IQT904,5011051000,5011010100,336071175,6500000,SAA004,,,,41.46010197080
SA001,702853,0,1,0.00,0.00,1900/DCIP/Ø80/L40.0/D0.6,19000101,MOP001,80.0,40.01,JHT002,0.0,0.0,0.60000002,IQT001,5011059000,5011010700,336071165,6500000,SAA004,,,,40.01297692220
SA001,304314,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L48.1/D,20030101,MOP032,80.0,48.11,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,48.10972945770
SA001,304385,WT2021080329,1,0.00,0.00,1997/DCIP/Ø100/L50.7/D,19970101,MOP001,100.0,50.66,JHT002,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071175,6500000,SAA908,,,,50.66355975730
SA001,304391,WT2021080329,1,0.00,0.00,2012/HI-3P/Ø80/L65.9/D,20120101,MOP032,80.0,65.92,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,65.92083789670
SA001,304400,WT2021080329,1,0.00,0.00,1997/DCIP/Ø80/L10.5/D,19970101,MOP001,80.0,10.46,JHT002,0.0,0.0,0.0,IQT904,5011059000,5011010700,336071165,6500000,SAA908,,,,10.46136318170
SA001,304417,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L54.9/D,19000101,MOP001,80.0,54.94,JHT002,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071164,6500000,SAA908,,,,54.94151933330
SA001,304439,WT2021080329,1,0.00,0.00,1997/DCIP/Ø80/L54.9/D0.7,19970101,MOP001,80.0,54.94,JHT002,0.60000002,0.80000001,0.69999999,IQT001,5011056000,5011010600,336071165,6500000,SAA004,,,,54.93514840260
