FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
2652,3145033,연암공원로,10.0,3
2767,3145033,연암공원로,8.0,3
2774,3145033,연암공원로,3.0,3
2777,4235267,연암로12길,8.0,4
2778,3145034,연암로,25.0,3
2779,3145034,연암로,25.0,3
2782,4235225,산격로11길,6.0,4
2789,4235265,연암공원로7길,3.0,4
2835,3145034,연암로,25.0,3
2836,4235266,연암공원로8길,6.0,4
2838,2007001,중앙대로,40.0,2
2840,,,,
2879,4235254,연암공원로13길,3.0,4
2880,4235254,연암공원로13길,4.0,4
2881,4235235,산격로서9길,6.0,4
2882,4235251,연암공원로10길,6.0,4
2886,4235252,연암공원로11길,6.0,4
2970,3145033,연암공원로,10.0,3
3660,4235226,산격로13길,7.0,4
3661,4235259,연암공원로20길,4.0,4
3672,4235224,산격로10길,3.0,4
3673,4235224,산격로10길,3.0,4
3675,3145021,대학로,35.0,3
3677,4235231,산격로6길,6.0,4
3678,3145029,산격로,14.0,3
3679,4235147,대학로9길,6.0,4
3680,4235147,대학로9길,6.0,4
3683,4235230,산격로1길,5.0,4
3693,4235224,산격로10길,2.0,4
3694,4235131,대동로4길,6.0,4
3695,4235142,대학로13길,5.0,4
3696,4235142,대학로13길,5.0,4
3697,4235142,대학로13길,5.0,4
3698,4235147,대학로9길,4.0,4
3699,4235226,산격로13길,7.0,4
3700,4235255,연암공원로14길,6.0,4
3702,3145033,연암공원로,1.0,3
3773,4235144,대학로17길,8.0,4
3776,3145021,대학로,35.0,3
3777,4235133,대동로6길,6.0,4
3778,4235224,산격로10길,8.0,4
3797,,,,
3803,,,,
3805,,,,
3812,4235142,대학로13길,5.0,4
3874,4235227,산격로14길,6.0,4
3902,,,,
3903,3145029,산격로,6.0,3
3904,4235227,산격로14길,6.0,4
3905,4235224,산격로10길,8.0,4
3906,4235146,대학로25길,1.0,4
3958,4235233,산격로9길,15.0,4
3959,4235233,산격로9길,15.0,4
3960,,,,
3989,,,,
4007,4235226,산격로13길,7.0,4
4008,4235225,산격로11길,6.0,4
4009,4235235,산격로서9길,5.0,4
4011,4235226,산격로13길,7.0,4
4012,4235226,산격로13길,7.0,4
4149,3007005,동북로,35.0,3
4156,4235259,연암공원로20길,6.0,4
