FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
2653,4235235,산격로서9길,3.0,4
2770,3145033,연암공원로,10.0,3
2775,3145033,연암공원로,10.0,3
2780,4235255,연암공원로14길,2.0,4
2781,3145033,연암공원로,3.0,3
2783,4235235,산격로서9길,3.0,4
2784,4235251,연암공원로10길,6.0,4
2802,,,,
2807,,,,
2808,3145034,연암로,3.0,3
2810,3145034,연암로,3.0,3
2811,,,,
2812,3145034,연암로,3.0,3
2813,3145034,연암로,3.0,3
2815,,,,
2816,,,,
2817,4235267,연암로12길,4.0,4
2818,4235267,연암로12길,8.0,4
2819,4235267,연암로12길,3.0,4
2820,3145033,연암공원로,3.0,3
2821,3145033,연암공원로,3.0,3
2822,3145033,연암공원로,3.0,3
2823,4235264,연암공원로6길,3.0,4
2824,4235264,연암공원로6길,8.0,4
2825,,,,
2826,4235266,연암공원로8길,6.0,4
2827,4235266,연암공원로8길,3.0,4
2828,,,,
2829,4235266,연암공원로8길,3.0,4
2830,4235266,연암공원로8길,6.0,4
2832,4235266,연암공원로8길,6.0,4
2833,4235251,연암공원로10길,6.0,4
2834,4235266,연암공원로8길,6.0,4
2841,,,,
2843,4235225,산격로11길,6.0,4
2844,4235225,산격로11길,3.0,4
2845,,,,
2847,4235225,산격로11길,6.0,4
2848,3145033,연암공원로,3.0,3
2849,3145033,연암공원로,5.0,3
2850,3145033,연암공원로,4.0,3
2851,3145033,연암공원로,4.0,3
2853,,,,
2854,4235254,연암공원로13길,4.0,4
2855,4235254,연암공원로13길,4.0,4
2856,4235254,연암공원로13길,4.0,4
2857,,,,
2858,4235252,연암공원로11길,4.0,4
2859,4235254,연암공원로13길,6.0,4
2860,4235252,연암공원로11길,6.0,4
2861,4235252,연암공원로11길,6.0,4
2862,4235252,연암공원로11길,5.0,4
2863,3145033,연암공원로,10.0,3
2865,3145033,연암공원로,10.0,3
2866,3145033,연암공원로,10.0,3
2867,4235253,연암공원로12길,3.0,4
2869,,,,
2870,4235225,산격로11길,2.0,4
2871,4235253,연암공원로12길,6.0,4
2872,4235255,연암공원로14길,6.0,4
2873,4235255,연암공원로14길,6.0,4
2874,3145033,연암공원로,3.0,3
2875,4235251,연암공원로10길,3.0,4
2876,4235235,산격로서9길,3.0,4
2877,4235251,연암공원로10길,4.0,4
2878,4235253,연암공원로12길,3.0,4
2883,,,,
2884,4235253,연암공원로12길,3.0,4
2885,4235251,연암공원로10길,6.0,4
2887,3145033,연암공원로,10.0,3
2945,3145033,연암공원로,3.0,3
2946,3145033,연암공원로,3.0,3
2947,4235265,연암공원로7길,2.0,4
2948,4235265,연암공원로7길,2.0,4
2949,4235265,연암공원로7길,3.0,4
2950,3145033,연암공원로,10.0,3
2952,4235265,연암공원로7길,3.0,4
2953,4235265,연암공원로7길,3.0,4
3668,4235125,대구체육관로4길,5.0,4
3676,,,,
3681,4235125,대구체육관로4길,5.0,4
3682,4235125,대구체육관로4길,2.0,4
3684,4235230,산격로1길,2.0,4
3685,4235230,산격로1길,2.0,4
3686,4235230,산격로1길,5.0,4
3687,,,,
3703,3145033,연암공원로,4.0,3
3704,4235225,산격로11길,6.0,4
3708,4235259,연암공원로20길,4.0,4
3753,3145034,연암로,3.0,3
3755,4235134,대동로8길,6.0,4
3756,,,,
3757,,,,
3763,,,,
3775,4235146,대학로25길,6.0,4
3779,,,,
3780,4235128,대동로10길,3.0,4
3781,4235128,대동로10길,3.0,4
3783,4235146,대학로25길,6.0,4
3784,4235128,대동로10길,8.0,4
3785,4235146,대학로25길,3.0,4
3786,4235128,대동로10길,4.0,4
3788,4235134,대동로8길,6.0,4
3789,4235134,대동로8길,2.0,4
3790,4235134,대동로8길,2.0,4
3791,4235134,대동로8길,2.0,4
3792,4235133,대동로6길,6.0,4
3793,4235133,대동로6길,6.0,4
3798,4235227,산격로14길,3.0,4
3799,4235227,산격로14길,3.0,4
3800,,,,
3801,4235227,산격로14길,3.0,4
3802,4235227,산격로14길,3.0,4
3806,4235146,대학로25길,6.0,4
3807,4235146,대학로25길,3.0,4
3808,4235128,대동로10길,8.0,4
3809,4235224,산격로10길,2.0,4
3810,,,,
3811,4235224,산격로10길,8.0,4
3813,,,,
3814,4235131,대동로4길,6.0,4
3815,4235131,대동로4길,6.0,4
3816,4235134,대동로8길,6.0,4
3817,4235134,대동로8길,6.0,4
3818,4235134,대동로8길,6.0,4
3820,,,,
3821,4235142,대학로13길,5.0,4
3822,4235142,대학로13길,5.0,4
3823,4235134,대동로8길,3.0,4
3824,4235134,대동로8길,3.0,4
3825,4235134,대동로8길,3.0,4
3826,4235134,대동로8길,3.0,4
3827,4235227,산격로14길,6.0,4
3829,,,,
3830,,,,
3831,4235227,산격로14길,6.0,4
