지시번호,접수번호,공사일자,위치,유형,공사개요,계,도급액,관급자재,도로복구비,건강보험,연금보험,산재보험,고용보험,요양보험,퇴직공제,보험료 (원),"산업안전
보건관리비",관경,관종,부위,원인,누수량,중구역,소구역,살수량,계.1,사용료,물이용부담금,GIS 등록,비고,작업일시,위도,경도
2,20220102-0002,01-02,동구 신평동 322-1 101동,지상공도,D80x32 분기점 수선,"1,746,230 ","1,514,230 ",0 ,"232,000 ","16,200 ","21,260 ","19,750 ","4,640 ","1,860 ","10,860 ",0,0,32.0,부분기대,부분기대,노후,3.3,226.0,224-1,0.102,130 ,114 ,0 ,미등록,폐아 0.3,2022-01-02,35.878947,128.6825921
4,20220102-0011,01-02,동구 효목동 189-23,지상공도,D40x13 분기점 수선,"363,840 ","363,840 ",0 ,0 ,"4,420 ","5,800 ","5,390 ","1,260 ",500 ,"2,960 ",0,0,15.0,부분기대,부분기대,노후,2,213.0,38,0.0,0 ,0 ,0 ,미등록,,2022-01-02,35.8795166,128.6458885
5,20220103-0086,01-03,동구 신암동 27-12,지하공도,D50x13 분기점 수선,"584,160 ","584,160 ",0 ,0 ,"6,790 ","8,910 ","8,280 ","1,940 ",780 ,"4,550 ",0,0,15.0,부분기대,부분기대,노후,8.64,209.0,12,,0 ,0 ,0 ,미등록,폐아 0.1,2022-01-03,35.888625,128.6361371
6,20220103-0119,01-03,동구 신암동 193-1 73-3-7,기타,D13 계량기 철거 및 설치 외 8개소(N=9),"907,730 ","907,730 ",0 ,0 ,"11,630 ","15,250 ","14,170 ","3,330 ","1,330 ","7,790 ",0,0,,,,,,217.0,17,,0 ,0 ,0 ,미등록,,2022-01-03,35.8774377,128.6175951
9,20220103-0550,01-03,동구 신암동 1298-145,지상사유지,D13 보호통 수선,"605,240 ","605,240 ",0 ,0 ,"6,790 ","8,910 ","8,280 ","1,940 ",780 ,"4,550 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,216.0,14,,,,,미등록,폐콘 0.23,2022-01-03,35.8769201,128.6088859
10,20220103-0555,01-03,동구 신기동 74,지상공도,D50x25 분기점 수선,"530,330 ","530,330 ",0 ,0 ,"6,370 ","8,360 ","7,770 ","1,820 ",730 ,"4,270 ",0,0,25.0,부분기대,부분기대,노후,4,233.0,255,0.0,0 ,0 ,0 ,미등록,,2022-01-03,35.871094,128.7069279
11,20220104-0037,01-04,동구 도동 978-274,지상공도,D13 인입선 수선,"2,262,400 ","2,024,400 ",0 ,"238,000 ","24,720 ","32,430 ","30,130 ","7,080 ","2,840 ","16,570 ",0,0,15.0,스텐레스관,이형관,부식,2,206.0,86,0.0,0 ,0 ,0 ,미등록,"폐콘 0.3, 폐아 0.4",2022-01-04,35.9097058,128.6517108
12,20220104-0534,01-04,동구 신암동 27-12,지상사유지,D13 보호통 수선,"608,990 ","608,990 ",0 ,0 ,"7,040 ","9,240 ","8,580 ","2,010 ",810 ,"4,720 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,209.0,12,,,,,미등록,페콘 0.23,2022-01-04,35.888625,128.6361371
13,20220104-0668,01-04,동구 신천동 53-1,지상공도,DTC D80x80 불용관 수선,"1,323,500 ","1,323,500 ",0 ,0 ,"14,170 ","18,590 ","17,280 ","4,060 ","1,630 ","9,500 ",,0,80.0,닥타일관,직관,노후,3.44,219.0,30,0.0,0 ,0 ,0 ,미등록,폐아 2.1,2022-01-04,35.8771469,128.6232154
14,20220105-0433,01-05,동구 검사동 744-19,지상사유지,D13 보호통 수선,"624,800 ","624,800 ",0 ,0 ,"6,820 ","8,950 ","8,320 ","1,950 ",780 ,"4,570 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,228.0,123-2,,,,,미등록,페콘 0.23,2022-01-05,35.8865092,128.6615511
15,20220105-0452,01-05,동구 신암동 193-1 3·5·6동,기타,D80 제수변 개폐 외 5개소(N=6),"187,510 ","187,510 ",0 ,0 ,810 ,"1,070 ",990 ,230 ,90 ,540 ,0,0,,,,,,217.0,17,,0 ,0 ,0 ,미등록,,2022-01-05,35.8774377,128.6175951
16,20220106-0079,01-06,동구 효목동 1172,지상공도,D13 보호통 수선 및 D25 불용관 수선,"842,610 ","760,710 ","81,900 ",0 ,"9,520 ","12,490 ","11,600 ","2,720 ","1,090 ","6,380 ",0,0,25.0,스텐레스관,직관,노후,2,214.0,136,0.0,0 ,0 ,0 ,미등록,,2022-01-06,35.8788228,128.6557464
17,20220106-0222,01-06,동구 도동 129-1,지상사유지,D13 보호통 수선,"593,490 ","593,490 ",0 ,0 ,"6,430 ","8,440 ","7,840 ","1,840 ",740 ,"4,310 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,213.0,24,,,,,미등록,폐콘 0.23,2022-01-06,35.9111735,128.6510231
18,20220106-0224,01-06,동구 도동 3-18,시설물수선,제수변 철개입상,"542,810 ","542,810 ",0 ,0 ,"5,440 ","7,140 ","6,640 ","1,560 ",620 ,"3,650 ",0,0,,,,,,217.0,18,,0 ,0 ,0 ,미등록,,2022-01-06,35.9095483,128.6452707
19,20220106-0379,01-06,동구 신천동 807-19,지상사유지,D13 앵글밸브 수선 후 보호통 수선,"692,770 ","692,770 ",0 ,0 ,"8,420 ","11,050 ","10,260 ","2,410 ",960 ,"5,640 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,,,,,미등록,폐콘 0.23,2022-01-06,35.8693031,128.6167261
21,20220107-0112,01-07,동구 신천동 541-8,지하공도,D80x13 분기점 수선,"799,360 ","799,360 ",0 ,0 ,"8,830 ","11,580 ","10,760 ","2,530 ","1,010 ","5,920 ",0,0,15.0,부분기대,부분기대,노후,20.16,219.0,29,,0 ,0 ,0 ,미등록,폐아 0.3,2022-01-07,35.8749742,128.615575
22,20220107-0113,01-07,동구 불로동 1146-6,지하사유지,D13 보호통 수선,"645,220 ","645,220 ",0 ,0 ,"7,310 ","9,600 ","8,920 ","2,090 ",840 ,"4,900 ",,0,15.0,계량기보호통(실),계량기보호통,노후,11.76,205.0,77,,,,,미등록,폐콘 0.23,2022-01-07,35.9140705,128.6425131
24,20220107-0130,01-07,동구 신천동 309-8,지하공도,D80*20mm 분기점 누수수선(불용관 폐쇄),"709,980 ","709,980 ",0 ,0 ,"9,200 ","12,070 ","11,210 ","2,630 ","1,050 ","6,170 ",0,0,80.0,닥타일관,이형관,노후,"1,008",222.0,43,,0 ,0 ,0 ,미등록,폐콘 0.1,2022-01-07,35.8693098,128.6276108
25,20220107-0307,01-07,동구 신암동 106-11 201,지상사유지,D13 보호통 수선,"601,060 ","601,060 ",0 ,0 ,"6,720 ","8,820 ","8,190 ","1,920 ",770 ,"4,510 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,209.0,1,,,,,미등록,폐콘 0.23,2022-01-07,35.8863226,128.6334921
26,20220110-0010,01-10,동구 신암동 206-34,지상사유지,D13 보호통 수선,"618,610 ","618,610 ",0 ,0 ,"7,040 ","9,240 ","8,580 ","2,010 ",810 ,"4,720 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,217.0,18,,,,,미등록,폐콘 0.23,2022-01-10,35.8782801,128.6223364
28,20220110-0421,01-10,동구 효목동 401-8,지하공도,D80 직관부 수선,"885,510 ","687,510 ","198,000 ",0 ,"9,270 ","12,160 ","11,300 ","2,650 ","1,060 ","6,210 ",,0,80.0,닥타일관,직관,노후,"1,440",606.0,36,,0 ,0 ,0 ,미등록,폐아 0.2,2022-01-10,35.8752758,128.6348494
29,20220110-0422,01-10,동구 둔산동 180-1,지상공도,D25 접합부 수선,"440,590 ","440,590 ",0 ,0 ,"5,140 ","6,750 ","6,270 ","1,470 ",590 ,"3,450 ",,0,25.0,스텐레스관,직관,침하,4.68,225.0,98,0.0,0 ,0 ,0 ,미등록,,2022-01-10,35.9024667,128.6888433
31,20220110-0500,01-10,동구 신서동 626-59,지상사유지,D13 보호통 수선,"669,190 ","669,190 ",0 ,0 ,"7,280 ","9,550 ","8,870 ","2,080 ",830 ,"4,880 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,235.0,260-1,,,,,미등록,폐콘 0.23,2022-01-10,35.8695273,128.7241032
32,20220110-0507,01-10,동구 효목동 623-24,지상사유지,D20 보호통 수선,"715,030 ","715,030 ",0 ,0 ,"8,210 ","10,780 ","10,010 ","2,350 ",940 ,"5,510 ",0,0,20.0,계량기보호통(실),계량기보호통,노후,,224.0,47,0.0,0 ,0 ,0 ,미등록,폐콘 0.2,2022-01-10,35.8766078,128.641465
34,20220111-0264,01-11,동구 방촌동 111-2,지상사유지,D13 보호통 수선,"628,550 ","628,550 ",0 ,0 ,"7,070 ","9,280 ","8,620 ","2,020 ",810 ,"4,740 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,226.0,116,,,,,미등록,폐콘 0.23,2022-01-11,35.8928543,128.676335
35,20220111-0265,01-11,동구 지저동 774-40,지상사유지,D13 보호통 수선,"638,170 ","638,170 ",0 ,0 ,"7,070 ","9,280 ","8,620 ","2,020 ",810 ,"4,740 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,208.0,106-2,,,,,미등록,폐콘 0.23,2022-01-11,35.8944395,128.638442
37,20220112-0106,01-12,동구 신암동 620-60,미누수,굴착확인 - 미누수(하수도),"101,220 ","101,220 ",0 ,0 ,"1,470 ","1,930 ","1,800 ",420 ,160 ,990 ,0,0,,,,,,211.0,9,,0 ,0 ,0 ,미등록,,2022-01-12,35.8849571,128.6263919
38,20220112-0253,01-12,동구 부동 595-21,지상공도,D40×13 분기점수선,"474,370 ","474,370 ",0 ,0 ,"4,670 ","6,130 ","5,700 ","1,340 ",530 ,"3,130 ",0,0,15.0,부분기대,부분기대,노후,2,225.0,110,0.0,0 ,0 ,0 ,등록,,2022-01-12,35.894714,128.6828786
39,20220113-0003,01-13,동구 둔산동 211,지상사유지,D13 보호통 수선,"598,920 ","598,920 ",0 ,0 ,"6,360 ","8,350 ","7,760 ","1,820 ",730 ,"4,260 ",,0,15.0,계량기보호통(실),계량기보호통,노후,,225.0,98,,,,,미등록,폐콘 0.23,2022-01-13,35.9002504,128.6868711
40,20220113-0008,01-13,동구 신암동 603-275,지상공도,DTC D80mm 클램프 수선(보수형클램프),"378,330 ","180,330 ","198,000 ",0 ,"3,030 ","3,980 ","3,690 ",860 ,340 ,"2,030 ",,0,80.0,닥타일관,이형관,노후,0.86,211.0,8,,,,,미등록,,2022-01-13,35.8839303,128.6220277
