긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종류일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분코드,복구공사구분,공사유형코드,공사유형코드명,살수량,총공사비,위도,경도,작업일시
202005552,54000,북부사업소,,,3.0,배수본관,202012180126.0,202012181028.0,,,제수변 철개 내부 토사제거,B,북구,북구 산격동 1427-1 2층,520.0,470.0,726.0,20209010384,"북구 대구체육관로 39, 2층 (산격동,대구유도회) / 1427-1번지",E,기타공사,2.0,시설물수선,0.0,"129,210",35.8936393,128.6034359,2020-12-18 10:28:00
202100057,54000,북부사업소,,,,,202012240498.0,202012242016.0,,202012251000.0,터파기 확인 미누수(하수도),B,북구,북구 산격동 1125-1,520.0,461.0,749.0,20219000132,"북구 연암공원로10길 5 (산격동,삼원주택) / 1125-1번지",E,기타공사,1.0,미누수,0.0,"163,930",35.8945089,128.5990098,2020-12-24 20:16:00
201902719,54000,북부사업소,,,4.0,배수지관,201904300229.0,201904301134.0,,201905011800.0,철개입상1개소,B,북구,북구 산격동 1139-4,520.0,461.0,346.0,20199004972,북구 연암공원로7길 2-11 (산격동) / 1139-4번지,E,기타공사,2.0,시설물수선,0.0,"255,820",35.894912,128.5983583,2019-04-30 11:34:00
201804640,54000,북부사업소,,,,,201807040649.0,201807041749.0,,201807041900.0,계량기연결부확인미누수,B,북구,북구 산격동 1135-28,520.0,461.0,839.0,20189008254,북구 연암공원로7길 6-2 (산격동) / 1135-28번지,E,기타공사,1.0,미누수,,"69,210",35.8945176,128.5979996,2018-07-04 17:49:00
201905171,54000,북부사업소,,,5.0,급수관,201909260037.0,201909260925.0,,201909261700.0,소형고압블럭복구 2차,B,북구,북구 산격동 1401-11,520.0,470.0,587.0,20199009858,북구 대구체육관로4길 7-5 (산격동) / 1401-11번지,E,기타공사,99.0,기타,0.0,"198,750",35.8908545,128.6028273,2019-09-26 09:25:00
201904481,54000,북부사업소,,,4.0,배수지관,201908260073.0,201908260941.0,,201908271800.0,"STS D40,  L=36m 노후관 교체공사 ",B,북구,북구 산격동 1401-65,520.0,470.0,538.0,20199008598,북구 산격로1길 31-30 (산격동) / 1401-65번지,E,기타공사,3.0,배수관망유지수선,1.0,"5,070,470",35.8905811,128.6032962,2019-08-26 09:41:00
201904482,54000,북부사업소,,,4.0,배수지관,201908210055.0,201908210937.0,,201908231500.0,"노후관 교체공사 STS D50,  L= 122m ",B,북구,북구 산격동 1404-61,520.0,470.0,534.0,20199008599,북구 대구체육관로4길 7-1 (산격동) / 1404-61번지,E,기타공사,3.0,배수관망유지수선,3.0,"14,453,880",35.8908965,128.6026341,2019-08-21 09:37:00
201905861,54000,북부사업소,,,4.0,배수지관,201911190009.0,201911190900.0,,201911221800.0,노후관 교체 (D50  L=55m),B,북구,북구 산격동 1312-60 소피아 ,520.0,480.0,668.0,20199011015,"북구 산격로10길 35 (산격동,소피아) / 1312-60번지",E,기타공사,3.0,배수관망유지수선,1.0,"7,355,720",35.8950289,128.6090777,2019-11-19 09:00:00
202203966,54000,북부사업소,SS00201,생활용수,99.0,기타,202206200419.0,202206201619.0,,202206202000.0,제수변 철개입상,B,북구,북구 산격동 1223-15,520.0,470.0,445.0,20229006438,"북구 산격로13길 5-2 (산격동,원룸) / 1223-15번지",E,기타공사,99.0,기타,1.0,"4,248,340",35.8968314,128.6046401,2022-06-20 16:19:00
202203997,54000,북부사업소,SS00201,생활용수,99.0,기타,202206290297.0,202206291352.0,,202206291600.0,제수변 철개입상,B,북구,북구 산격동 1234-1,520.0,480.0,476.0,20229006470,북구 대동로 2 (산격동) / 1234-1번지,E,기타공사,99.0,기타,1.0,"4,899,700",35.8981896,128.6074701,2022-06-29 13:52:00
