중복유형,파일명,원본행번호,작업일자,위도,경도,x_5179,y_5179,그룹내거리_m,주소또는위치
파일내,관리대장_위치추가.csv,1135,2023-09-05,35.9920413,128.6142041,1100432.6311761353,1777824.6219546963,0.0,동구 덕곡동 217
파일내,관리대장_위치추가.csv,1214,2023-09-05,35.9920413,128.6142041,1100432.6311761353,1777824.6219546963,0.0,동구 덕곡동 217
파일내,관리대장_위치추가.csv,1221,2023-10-04,35.8742983,128.6400874,1102918.3313451447,1764791.5131602446,0.0,동구 효목동 535 B동상가
파일내,관리대장_위치추가.csv,1222,2023-10-04,35.8742983,128.6400874,1102918.3313451447,1764791.5131602446,0.0,동구 효목동 535 B동상가
파일내,관리대장_위치추가.csv,1455,2024-03-22,35.8888695,128.6794032,1106448.1131419954,1766449.8544840221,0.0,동구 부동 526-6
파일내,관리대장_위치추가.csv,1458,2024-03-22,35.8888695,128.6794032,1106448.1131419954,1766449.8544840221,0.0,동구 부동 526-6
파일내,관리대장_위치추가.csv,1697,2024-07-02,35.8772714,128.6366832,1102607.1790488183,1765117.708449576,0.0,동구 효목동 424-10
파일내,관리대장_위치추가.csv,1821,2024-07-02,35.8772714,128.6366832,1102607.1790488183,1765117.708449576,0.0,동구 효목동 424-10
파일내,관리대장_위치추가.csv,1983,2024-10-24,35.9094788,128.6468453,1103482.6110317092,1768700.8568683078,0.0,동구 도동 9-4
파일내,관리대장_위치추가.csv,1984,2024-10-24,35.9094788,128.6468453,1103482.6110317092,1768700.8568683078,0.0,동구 도동 9-4
파일내,긴급공사_위치추가.csv,690,2013-02-27,36.6685172,126.8632648,943100.4834340563,1852474.7276435518,0.0,대학로 59-29 (산격동) / 1417-25번지
파일내,긴급공사_위치추가.csv,691,2013-02-27,36.6685172,126.8632648,943100.4834340563,1852474.7276435518,0.0,대학로 59-29 (산격동) / 1417-25번지
파일내,긴급공사_위치추가.csv,713,2025-07-21,35.8934489,128.5987172,1099159.721507246,1766872.9122910264,0.0,산격동 1106-18
파일내,긴급공사_위치추가.csv,714,2025-07-21,35.8934489,128.5987172,1099159.721507246,1766872.9122910264,0.0,산격동 1106-18
