긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호 ,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분명,시공년도,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,손괴원인,손괴원인코드명,누수부위형태코드,누수부위형태코드명,파열상태,파열상태명,측정수압,누수시간,시간당 누수량,누수량,살수량,총공사비,과수압여부,위도,경도,작업일시
202100441,54000,북부사업소,,,5.0,급수관,202101150012.0,202101150743.0,,202101150940.0,D13보호통교체,B,북구,북구 대구체육관로9길 14 (산격동) / 1430-35번지,520.0,470.0,70.0,20219000806,북구 대구체육관로9길 14 (산격동) / 1430-35번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,,,,,,,,,,"686,790",N,35.8932559,128.6040557,2021-01-15 07:43:00
202100459,54000,북부사업소,,,5.0,급수관,202101180423.0,202101181309.0,,202101181540.0,앵글밸브수선,B,북구,북구 산격로10길 52 (산격동) / 1308-5번지,520.0,490.0,99.0,20219000824,북구 산격로10길 52 (산격동) / 1308-5번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),603.0,앵글밸브,1.0,노후,,,,,,,,,,,,"61,970",N,35.8948401,128.6108953,2021-01-18 13:09:00
202004541,54000,북부사업소,,,5.0,급수관,202010130276.0,202010131636.0,,202010131830.0,D13개조공사,B,북구,북구 연암로4길 52-4 (산격동) / 1498-136번지,520.0,470.0,520.0,20209008818,북구 연암로4길 52-4 (산격동) / 1498-136번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,,,,,,,,0.0,0.0,"1,754,860",N,35.890437,128.6039201,2020-10-13 16:36:00
202004564,54000,북부사업소,,,5.0,급수관,202010270132.0,202010271024.0,,202010271320.0,80×13분기대교체(2개소),B,북구,북구 연암공원로20길 30 (산격동) / 1197-86번지,520.0,243.0,554.0,20209008841,북구 연암공원로20길 30 (산격동) / 1197-86번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,,,,,,,,0.0,0.0,"324,480",N,35.8986193,128.6041785,2020-10-27 10:24:00
202100430,54000,북부사업소,,,5.0,급수관,202101140136.0,202101140929.0,,202101151400.0,D13보호통교체,B,북구,북구 대학로25길 25 (산격동) / 1307-4번지,520.0,490.0,62.0,20219000795,북구 대학로25길 25 (산격동) / 1307-4번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,1.0,노후,,,,,,,,,,,,"611,940",N,35.8954174,128.6096018,2021-01-14 09:29:00
202100466,54000,북부사업소,,,5.0,급수관,202101090230.0,202101091411.0,,202101091600.0,계량기연결부수선,B,북구,북구 산격로11길 40-1 (산격동) / 1161-55번지,520.0,461.0,32.0,20219000832,북구 산격로11길 40-1 (산격동) / 1161-55번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),602.0,연결부,1.0,노후,,,,,,,,,,,,"118,700",N,35.8960453,128.6009302,2021-01-09 14:11:00
202004566,54000,북부사업소,,,5.0,급수관,202010280007.0,202010280844.0,,202010281533.0,D80x13mm분기대교체,B,북구,북구 연암공원로20길 30-17 (산격동) / 1197-81번지,520.0,243.0,556.0,20209008843,북구 연암공원로20길 30-17 (산격동) / 1197-81번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,,,,,,,,,,"342,450",N,35.8979493,128.6042737,2020-10-28 08:44:00
201900531,54000,북부사업소,,,5.0,급수관,201812210346.0,201812211647.0,,201812211710.0,계량기보호통교체,B,북구,북구 대학로25길 17-6 (산격동) / 1307-59번지,520.0,490.0,1388.0,20199000892,북구 대학로25길 17-6 (산격동) / 1307-59번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,2.0,부식,,,,,,,,,,,,"631,450",N,35.8952774,128.6101531,2018-12-21 16:47:00
201900205,54000,북부사업소,,,5.0,급수관,201811270045.0,201811270939.0,,201811271150.0,15 연결부수선,B,북구,"북구 연암공원로 36 (산격동,키메라 pc(당구장)) / 1128-1번지",520.0,461.0,1302.0,20199000400,"북구 연암공원로 36 (산격동,키메라 pc(당구장)) / 1128-1번지",G,지상누수,2.0,사유지,,1.0,15.0,5.0,PFP관,201.0,이형관,2.0,부식,,,,,,,,,,,,"350,930",N,35.8938976,128.5983609,2018-11-27 09:39:00
201900991,54000,북부사업소,,,5.0,급수관,201901100094.0,201901101105.0,,201901101300.0,분기점접합부수선,B,북구,북구 연암공원로8길 7-1 (산격동) / 1106-1번지,520.0,461.0,39.0,20199001627,북구 연암공원로8길 7-1 (산격동) / 1106-1번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,12.0,타공사손괴,11.0,구청(기타),2.0,반도,1.0,1,3.0,1.0,1.0,1.0,,"69,210",N,35.8937372,128.5991425,2019-01-10 11:05:00
201903104,54000,북부사업소,,,5.0,급수관,201905150012.0,201905150904.0,,201905151800.0,D150*15구분기점폐쇄(누방),B,북구,"북구 연암공원로 70 (산격동,하나로마트) / 1163-4번지",520.0,243.0,375.0,20199005740,"북구 연암공원로 70 (산격동,하나로마트) / 1163-4번지",G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,2.0,반도,5.0,1/7,4.0,1.0,0.0,0.0,0.0,"97,210",N,35.8966024,128.6001585,2019-05-15 09:04:00
201900535,54000,북부사업소,,,5.0,급수관,201812100029.0,201812100920.0,,201812101150.0,앵글밸브교체,B,북구,북구 연암공원로10길 31 (산격동) / 1438-7번지,520.0,461.0,1339.0,20199000899,북구 연암공원로10길 31 (산격동) / 1438-7번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),602.0,연결부,2.0,부식,,,,,,,,,,,,"139,730",N,35.8944897,128.6018621,2018-12-10 09:20:00
201804645,54000,북부사업소,,,5.0,급수관,201807110181.0,201807111403.0,,201807111600.0,계량기보호통교체_이덕두?,B,북구,"북구 산격로13길 35-11 (산격동,로타리수퍼) / 1186-22번지",520.0,243.0,862.0,20189008266,"북구 산격로13길 35-11 (산격동,로타리수퍼) / 1186-22번지",G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,2.0,부식,,,,,,,,,,,,"585,530",N,35.8971662,128.6015565,2018-07-11 14:03:00
201900987,54000,북부사업소,,,5.0,급수관,201901290305.0,201901291520.0,,201901291700.0,D15 계량기보호통교체수선,B,북구,북구 연암공원로10길 33-5 (산격동) / 1437-82번지,520.0,243.0,102.0,20199001617,북구 연암공원로10길 33-5 (산격동) / 1437-82번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,1.0,노후,,,,,,,,,,,,"624,470",N,35.8947001,128.6021672,2019-01-29 15:20:00
201804651,54000,북부사업소,,,5.0,급수관,201807080009.0,201807081130.0,,201807081430.0,STS 15 직관부수선,B,북구,북구 연암로4길 22-6 (산격동) / 1498-69번지,520.0,470.0,853.0,20189008292,북구 연암로4길 22-6 (산격동) / 1498-69번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,101.0,직관,2.0,부식,,,,,,,,,,,,"299,380",N,35.8895649,128.6026112,2018-07-08 11:30:00
201901275,54000,북부사업소,,,5.0,급수관,201902150106.0,201902151309.0,,201902151500.0,25 직관부수선,B,북구,"북구 연암공원로 32 (산격동,한려수도횟집) / 1102-4번지",520.0,461.0,142.0,20199002284,"북구 연암공원로 32 (산격동,한려수도횟집) / 1102-4번지",G,지상누수,1.0,공도,,3.0,25.0,6.0,스텐레스관,101.0,직관,1.0,노후,,,4.0,직관,6.0,1/10,3.0,1.0,1.0,1.0,,"184,000",N,35.8936997,128.5981166,2019-02-15 13:09:00
201901285,54000,북부사업소,,,5.0,급수관,201902080123.0,201902081108.0,,201902081300.0,D15 인입선누수수선,B,북구,"북구 연암공원로 14-1 (산격동,삼성수퍼) / 1048-1번지",520.0,2010.0,121.0,20199002295,"북구 연암공원로 14-1 (산격동,삼성수퍼) / 1048-1번지",G,지상누수,1.0,공도,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,1.0,소켓,4.0,1/5,3.0,1.0,0.0,0.0,,"60,690",N,35.8925156,128.5967567,2019-02-08 11:08:00
