긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부),위도,경도,작업일시
200900243,54000,북부사업소,,,,,,200809180900.0,,,DTC(100*80)분기점수선,B,북구,북구 대구체육관로11길 48 (산격동) / 1425-26번지,520.0,470.0,594.0,20099000639,북구 산격동 1425-26 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,7.0,80.0,11.0,접합부속,301.0,볼트·너트,1.0,노후,1,누수,1.0,소켓,,,0.0,1.0,0.0,0,0,,0,N,35.8947758,128.6046433,2008-09-18 09:00:00
201001649,54000,북부사업소,,,5.0,급수관,,201002180900.0,,,D15mm 계량기보호통 교체,B,북구,북구 대구체육관로4길 7-3 (산격동) / 1404-33번지,520.0,470.0,241.0,20109002604,북구 산격동1404-33 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,1,누수,2.0,반도,6.0,1/10,4.0,49.0,0.0,165,"1,226",,"652,640",N,35.8909603,128.6027368,2010-02-18 09:00:00
9908351,54000,북부사업소,,,4.0,배수지관,,20051004090000.0,,,DTC D80*15분기점수선,B,북구,북구 대구체육관로8길 26 (산격동) / 1498-6번지,520.0,470.0,,20055400008351,산격4동 1498-6,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,2.0,부식,1,누수,,,3.0,1/3,,0.0,0.0,0,"3,416",,,,35.891356,128.6032407,2005-10-04 09:00:00
201301469,54000,북부사업소,,,5.0,급수관,,201302250900.0,,,D80*20mm 분기점 수선,B,북구,북구 대구체육관로9길 40-1 (산격동) / 1426-46번지,520.0,490.0,232.0,20139002443,북구 대구체육관로9길 40-1 (산격동) / 1426-46번지,U,지하누수,1.0,공도,,2.0,용역,,,2.0,20.0,10.0,부분기대,501.0,부분기대,1.0,노후,1,누수,2.0,반도,6.0,1/10,3.0,56.0,0.0,457,"1,485",0.0,"325,500",N,35.8944037,128.6041922,2013-02-25 09:00:00
201103843,54000,북부사업소,,,4.0,배수지관,,201105260900.0,,,D40*15mm분기점수선,B,북구,북구 대동로 2-18 (산격동) / 1232-23번지,520.0,480.0,680.0,20119006261,북구 산격동1232-23 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,11.0,접합부속,303.0,나사,1.0,노후,1,누수,1.0,소켓,7.0,1/4,4.0,146.0,0.0,771,"1,927",,"327,130",N,35.8978486,128.6067485,2011-05-26 09:00:00
9905605,54000,북부사업소,,,5.0,급수관,,20040826090000.0,,,DTC D=150mm 직관부 수선,B,북구,북구 대동로 28 (산격동) / 1253-43번지,520.0,480.0,,20045400005605,산격3동 1253-43,U,지하누수,,,,,,,,3.0,25.0,2.0,,101.0,,1.0,노후,1,누수,,,9.0,1/100,,239.0,3.0,"16,864","8,891",,,,35.8972211,128.6096754,2004-08-26 09:00:00
201003622,54000,북부사업소,,,5.0,급수관,,201005100900.0,,,D150mm 분기점폐쇄,B,북구,북구 대동로 48 (산격동) / 1275-5번지,520.0,490.0,502.0,20109005992,북구 산격동1275-5 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,2.0,반도,4.0,1/5,4.0,130.0,0.0,905,"2,540",,"94,680",N,35.8963747,128.6116947,2010-05-10 09:00:00
803354,54000,북부사업소,,,0.0,,,200804110900.0,,,DTC(150*20)분기점 수선 ,B,북구,북구 대동로 54 (산격동) / 1279-2번지,520.0,490.0,251.0,20089006515,산격동 1279-2번지 ,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,2.0,20.0,10.0,부분기대,801.0,불용관,2.0,부식,1,누수,,,,,,1.0,0.0,0,0,,,N,35.896141,128.6122561,2008-04-11 09:00:00
201803888,54000,북부사업소,,,,,201805100046.0,201805100943.0,,201805101200.0,"확인결과 미누수
",B,북구,북구 대동로10길 17-2 (산격동) / 1304-2번지,520.0,490.0,649.0,20189006733,북구 대동로10길 17-2 (산격동) / 1304-2번지,U,지하누수,,,,2.0,용역,,,,,,,,,,,2,미누수,,,,,,,,,,,"769,070",N,35.8950417,128.611353,2018-05-10 09:43:00
9907028,54000,북부사업소,,,5.0,급수관,,20050308090000.0,,,STS D=25㎜ 직관부수선,B,북구,북구 대동로4길 10-1 (산격동) / 1252-24번지,520.0,480.0,,20055400007028,산격3동 1252-24,U,지하누수,,,,,,,,3.0,25.0,7.0,,101.0,,1.0,노후,1,누수,,,6.0,1/10,,66.0,1.0,"1,917","8,683",,,,35.8972868,128.6080448,2005-03-08 09:00:00
9907568,54000,북부사업소,,,5.0,급수관,,20050624090000.0,,,STS 25*15 구분기점수선,B,북구,북구 대동로6길 18-4 (산격동) / 1311-43번지,520.0,480.0,,20055400007568,산격3동 1311-43,U,지하누수,,,,,,,,1.0,15.0,7.0,,901.0,,2.0,부식,1,누수,,,3.0,1/3,,174.0,0.0,"1,086","1,192",,,,35.8958057,128.6091948,2005-06-24 09:00:00
