긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부),위도,경도,작업일시
201203297,51000,중남부사업소,,,5.0,급수관,201205120003.0,201205120943.0,201205121000.0,201205121400.0,D=15mm 계량기보호통 교체 수선,N,남구,남구 경상2길 26 (대명동) / 3016-69번지,406.0,162.0,526.0,20129006401,남구 경상2길 26 (대명동) / 3016-69번지,U,지하누수,2.0,사유지,,2.0,용역,,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,1.0,노후,1,누수,1.0,소켓,4.0,1/5,3.0,132.0,0.0,475,655,,"406,840",N,35.8467537,128.5756894,2012-05-12 09:43:00
201206699,51000,중남부사업소,,,4.0,배수지관,201211090054.0,201211091032.0,201211091100.0,201211091330.0,DTC D=80*15mm 분기점 수선,N,남구,남구 경상2길 3 (대명동) / 3016-48번지,406.0,162.0,1284.0,20129012930,남구 경상2길 3 (대명동) / 3016-48번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,5.0,1/7,3.0,313.0,0.0,"1,352",786,0.0,"339,870",N,35.8467227,128.5745041,2012-11-09 10:32:00
201006301,51000,중남부사업소,,,5.0,급수관,201010070073.0,201010071019.0,201010071040.0,201010071150.0,DTC D=80×15mm 분기점 누수수선,N,남구,남구 경상2길 30 (대명동) / 3016-11번지,406.0,162.0,1186.0,20109010960,남구 대명동 3016-11 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,4.0,1/5,4.0,280.0,0.0,"1,949","2,540",,"224,920",N,35.8469951,128.5758377,2010-10-07 10:19:00
201304510,51000,중남부사업소,,,5.0,급수관,201307190030.0,201307190911.0,201307191000.0,201307191200.0,PFP D=50x15mm 접합부 누수수선,N,남구,남구 경상길 8 (대명동) / 3027-36번지,406.0,162.0,824.0,20139008677,남구 경상길 8 (대명동) / 3027-36번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,199.0,0.0,716,655,0.0,"577,550",N,35.8473827,128.5738981,2013-07-19 09:11:00
800179,51000,중남부사업소,,,5.0,급수관,,200711130900.0,,,분기점 수선,N,남구,남구 계명1길 18-6 (대명동) / 2559-19번지,408.0,10.0,1126.0,20089000475,대명3동 2559-19번지선 누수수선공사,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,901.0,분기점,2.0,부식,1,누수,2.0,반도,5.0,1/7,,316.0,0.0,986,153,,,N,35.8561636,128.5776111,2007-11-13 09:00:00
201305543,51000,중남부사업소,,,5.0,급수관,201309230096.0,201309230949.0,201309271100.0,201309271300.0,D50*15(T)누수수선,N,남구,남구 계명1길 38-4 (대명동) / 2551-18번지,725.0,20.0,1078.0,20139010880,남구 계명1길 38-4 (대명동) / 2551-18번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,5.0,1/7,4.0,266.0,0.0,830,568,0.0,"234,910",N,35.855875,128.578563,2013-09-23 09:49:00
201303746,51000,중남부사업소,,,5.0,급수관,201306110018.0,201306110926.0,201306111030.0,201306111130.0,STS D=15mm 계량기통밑 접합부 누수수선,N,남구,남구 계명1길 5-7 (대명동) / 2563-29번지,,20.0,667.0,20139007070,남구 계명1길 5-7 (대명동) / 2563-29번지,U,지하누수,2.0,사유지,,1.0,자체,1.0,주간,1.0,15.0,12.0,계량기보호통(실),702.0,접합부,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,162.0,0.0,583,655,,"507,540",N,35.8569539,128.5772775,2013-06-11 09:26:00
201302481,51000,중남부사업소,,,4.0,배수지관,201304010009.0,201304010857.0,201304010930.0,201304011030.0,DTC D=80x15mm 분기점 누수수선,N,남구,남구 계명1길 5-7 (대명동) / 2563-29번지,725.0,20.0,418.0,20139004641,남구 계명1길 5-7 (대명동) / 2563-29번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,91.0,0.0,328,655,0.0,"358,690",N,35.8569539,128.5772775,2013-04-01 08:57:00
201303103,51000,중남부사업소,,,,,201305130228.0,201305131504.0,201305131600.0,201305131700.0,미누수,N,남구,남구 계명1길 5-7 (대명동) / 2563-29번지,,20.0,563.0,20139005819,남구 계명1길 5-7 (대명동) / 2563-29번지,U,지하누수,,,,2.0,용역,,,,,,,,,,,2,미누수,,,,,,,,,,0.0,"107,050",N,35.8569539,128.5772775,2013-05-13 15:04:00
200800868,51000,중남부사업소,,,,,,200812090900.0,200812090930.0,200812091130.0,D=15mm 접합부 누수수선,N,남구,남구 계명2길 26-2 (대명동) / 2248-2번지,,20.0,1213.0,20089013349,남구 대명동2248-2 번지,U,지하누수,2.0,사유지,,1.0,자체,1.0,주간,1.0,15.0,12.0,계량기보호통(실),602.0,연결부,2.0,부식,1,누수,1.0,소켓,3.0,1/3,4.0,342.0,0.0,"2,462","2,628",,"388,850",N,35.8556783,128.5776578,2008-12-09 09:00:00
200905520,51000,중남부사업소,,,,,200909110090.0,200909111105.0,200909111300.0,200909111500.0,"DTC D=80x15mm 구, 분기점 패쇄",N,남구,남구 계명2길 26-2 (대명동) / 2248-2번지,790.0,20.0,1178.0,20099010079,남구 대명동 2248-2 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,3.0,1/3,4.0,254.0,0.0,"1,829","2,628",,"258,560",N,35.8556783,128.5776578,2009-09-11 11:05:00
201306248,51000,중남부사업소,,,5.0,급수관,201310280569.0,201310281750.0,201310290900.0,201310291100.0,D40*15(T)누수수선,N,남구,남구 계명2길 26-2 (대명동) / 2248-2번지,725.0,20.0,1223.0,20139012192,남구 계명2길 26-2 (대명동) / 2248-2번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,4.0,1/5,4.0,301.0,0.0,"1,300",786,0.0,"862,900",N,35.8556783,128.5776578,2013-10-28 17:50:00
201306244,51000,중남부사업소,,,5.0,급수관,201310280168.0,201310281054.0,201310281120.0,201310281320.0,D40*15분기점수선,N,남구,남구 계명2길 26-4 (대명동) / 2248-15번지,725.0,20.0,1217.0,20139012188,남구 계명2길 26-4 (대명동) / 2248-15번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,1,누수,1.0,소켓,4.0,1/5,4.0,301.0,0.0,"1,300",786,0.0,"402,880",N,35.8555814,128.5776951,2013-10-28 10:54:00
201303124,51000,중남부사업소,,,4.0,배수지관,201305070222.0,201305071422.0,201305071530.0,201305071630.0,EPS D=40x15mm 접합부 누수수선,N,남구,남구 계명2길 47-2 (대명동) / 2549-10번지,725.0,20.0,543.0,20139005840,남구 계명2길 47-2 (대명동) / 2549-10번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,3.0,1/3,3.0,127.0,0.0,792,"1,136",0.0,"288,280",N,35.8557085,128.5787697,2013-05-07 14:22:00
201305463,51000,중남부사업소,,,5.0,급수관,201309020152.0,201309021043.0,201309021300.0,201309021500.0,D40*15(T)수선,N,남구,남구 계명4길 11-3 (대명동) / 2250-25번지,725.0,40.0,1009.0,20139010787,남구 계명4길 11-3 (대명동) / 2250-25번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,5.0,1/7,4.0,245.0,0.0,764,568,0.0,"241,240",N,35.8546134,128.5775865,2013-09-02 10:43:00
201204317,51000,중남부사업소,,,5.0,급수관,201207250006.0,201207250824.0,201207250830.0,201207251200.0,DTC D=80*15mm 분기점 수선(2개소),N,남구,남구 계명4길 11-6 (대명동) / 2250-12번지,725.0,40.0,831.0,20129008408,남구 계명4길 11-6 (대명동) / 2250-12번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,207.0,0.0,745,655,0.0,"642,990",N,35.8547389,128.5776927,2012-07-25 08:24:00
201205630,51000,중남부사업소,,,4.0,배수지관,201208020058.0,201208021008.0,201208021200.0,201208021700.0,"1차-미누수,2차-PFP D=50*15mm 분기점 수선",N,남구,남구 계명4길 5-2 (대명동) / 2250-28번지,725.0,40.0,871.0,20129010742,남구 계명4길 5-2 (대명동) / 2250-28번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,5.0,PFP관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,214.0,0.0,770,655,0.0,"488,720",N,35.8545931,128.5774943,2012-08-02 10:08:00
201305462,51000,중남부사업소,,,5.0,급수관,201309020148.0,201309021042.0,201309090800.0,201309091000.0,D15보호통하부누수수선(보호통교체),N,남구,남구 계명4길 5-3 (대명동) / 2250-35번지,,40.0,1008.0,20139010786,남구 계명4길 5-3 (대명동) / 2250-35번지,U,지하누수,2.0,사유지,,2.0,용역,,,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,2.0,부식,1,누수,1.0,소켓,4.0,1/5,4.0,245.0,0.0,"1,058",786,,"492,180",N,35.8546667,128.5773291,2013-09-02 10:42:00
9903857,51000,중남부사업소,,,5.0,급수관,,20030923110000.0,,,분기점폐쇄,N,남구,남구 계명5길 31 (대명동) / 2251-40번지,408.0,30.0,,20035100003857,남구 대명3.7동 2251-40번지선 누수수선공사(지하),U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,99.0,기타,1,누수,,,5.0,1/7,,266.0,0.0,702,261,,,,35.85415,128.5774777,2003-09-23 11:00:00
201206689,51000,중남부사업소,,,4.0,배수지관,201211070010.0,201211070842.0,201211071330.0,201211071630.0,DTC D=80*25mm 분기점 수선,N,남구,남구 계명5길 55-2 (대명동) / 2244-13번지,725.0,40.0,1266.0,20129012920,남구 계명5길 55-2 (대명동) / 2244-13번지,U,지하누수,1.0,공도,,2.0,용역,,,3.0,25.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,2.0,반도,6.0,1/10,3.0,311.0,1.0,"4,478","2,621",0.0,"279,210",N,35.8540763,128.5788864,2012-11-07 08:42:00
201302170,51000,중남부사업소,,,4.0,배수지관,201303290046.0,201303290936.0,201303291030.0,201303291230.0,D=15mm 직관부 누수수선(밸브 설치),N,남구,남구 계명7길 23-1 (대명동) / 2241-14번지,,40.0,410.0,20139003783,남구 계명7길 23-1 (대명동) / 2241-14번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,99.0,기타,9901.0,기타,99.0,기타,1,누수,1.0,소켓,6.0,1/10,3.0,88.0,0.0,148,306,,"207,140",N,35.8528852,128.5781883,2013-03-29 09:36:00
9904257,51000,중남부사업소,,,5.0,급수관,,20031114140000.0,,,직선연결,N,남구,남구 계명7길 24-2 (대명동) / 2240-22번지,408.0,30.0,,20035100004257,남구 대명3.7동 2240-22번지선 누수수선공사(지하),U,지하누수,,,,,,,,1.0,15.0,8.0,,901.0,,1.0,노후,1,누수,,,5.0,1/7,,317.0,0.0,"1,369",207,,,,35.8527336,128.5781393,2003-11-14 14:00:00
201305464,51000,중남부사업소,,,5.0,급수관,201309020156.0,201309021044.0,201309021200.0,201309021400.0,D40*15(T)수선,N,남구,남구 계명7길 24-5 (대명동) / 2240-18번지,725.0,40.0,1010.0,20139010788,남구 계명7길 24-5 (대명동) / 2240-18번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,5.0,1/7,4.0,245.0,0.0,764,568,0.0,"184,970",N,35.8525218,128.5782988,2013-09-02 10:44:00
9903597,51000,중남부사업소,,,5.0,급수관,,20030701100000.0,,,"STS D=40mm, L=45m직관교체",N,남구,남구 계명7길 30-1 (대명동) / 2240-1번지,408.0,30.0,,20035100003597,남구 대명3.7동 2240-1번지선 누수수선공사(지하),U,지하누수,,,,,,,,2.0,20.0,1.0,,101.0,,1.0,노후,1,누수,,,5.0,1/7,,182.0,1.0,"4,324","4,348",,,,35.8526958,128.5786338,2003-07-01 10:00:00
201005110,51000,중남부사업소,,,5.0,급수관,201008020345.0,201008021507.0,201008021600.0,201008021700.0,STS D=15mm 접합부 누수수선,N,남구,남구 계명7길 6-6 (대명동) / 2255-13번지,,40.0,899.0,20109008735,남구 대명동 2255-13 번지,U,지하누수,2.0,사유지,,1.0,자체,2.0,야간,1.0,15.0,12.0,계량기보호통(실),602.0,연결부,2.0,부식,1,누수,1.0,소켓,2.0,1/2,4.0,214.0,0.0,"2,311","3,942",,"255,310",N,35.8527262,128.5771324,2010-08-02 15:07:00
9907860,51000,중남부사업소,,,5.0,급수관,,,,,분기점 폐쇄,N,남구,남구 계명8길 13 (대명동) / 2256-33번지,408.0,30.0,,5100007860,대명3동 2256-33번지 서편 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,1.0,노후,1,누수,,,5.0,1/7,,230.0,0.0,"1,104",648,,,,35.8520951,128.5774976,
9907858,51000,중남부사업소,,,5.0,급수관,,,,,분기점 수선,N,남구,남구 계명8길 13 (대명동) / 2256-33번지,408.0,30.0,,5100007858,대명3동 2256-33번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,1.0,노후,1,누수,,,2.0,1/2,,224.0,1.0,"3,763","2,369",,,,35.8520951,128.5774976,
9908086,51000,중남부사업소,,,4.0,배수지관,,,,,분기점 폐쇄,N,남구,남구 계명8길 13 (대명동) / 2256-33번지,408.0,30.0,,5100008086,대명3.7동 2256-33번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,1.0,노후,1,누수,,,5.0,1/7,,254.0,0.0,610,266,,,,35.8520951,128.5774976,
