gap_days,component,cycles_count,amplitude_mean,amplitude_std,amplitude_max
3,Low True,6,0.018052460241696027,0.019505799293273788,0.04509966176634417
3,Low Pred,10,0.009114110771803453,0.01611405242686892,0.056119357209034715
3,High True,1198,0.0761844082073781,0.06155764612504314,0.5574021970701515
3,High Pred,1440,0.08261984819347794,0.059935873203369704,0.41468563883732246
3,Total True,740,0.05452702702702703,0.059358444599024715,0.45000000000000007
3,Total Pred,1441,0.08257335543914085,0.05996005771290725,0.4132869352059707
7,Low True,12,0.01682632446079217,0.017595290085645345,0.049146903052503466
7,Low Pred,17,0.008915664767163212,0.022144230023366768,0.09646168874014305
7,High True,2723,0.07866338035604542,0.06294053899078883,0.557892391105697
7,High Pred,3447,0.06948453782630157,0.05042544970228889,0.34513249170706795
7,Total True,1734,0.05493079584775087,0.0585796005897017,0.45000000000000007
7,Total Pred,3446,0.069423684939102,0.05023313123036648,0.34006421979902546
14,Low True,27,0.0174800178994818,0.016989507431045357,0.0532534460186701
14,Low Pred,34,0.004939934846156657,0.00931174488654498,0.055023314800735856
14,High True,5418,0.07677764655717562,0.06087209947795858,0.6351827361716236
14,High Pred,6935,0.07719205040822533,0.056498617045042616,0.37002466320477334
14,Total True,3394,0.054095462581025336,0.0571444660748776,0.55
14,Total Pred,6928,0.07690134144341569,0.055775518759201385,0.3802931016997957
24,Low True,42,0.016199118929413486,0.017321176866747542,0.06171296930562442
24,Low Pred,59,0.0036718654906253926,0.007622229055645489,0.05741367635373695
24,High True,9234,0.0762731411718983,0.05989687659748903,0.6351827362552382
24,High Pred,12014,0.07083013773638763,0.05200520292700999,0.33609554448374446
24,Total True,5754,0.054005908932916236,0.05644146062447139,0.55
24,Total Pred,12013,0.07083032263308708,0.0520065715260032,0.3363368795803273
